Avaliação;Rede;Ano Escolar;Componente Curricular;Estado;Regional;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%)
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PORTO NOVO; 21192411500000005;31;23;16;70;18;75%;19%;6%;72;3;23;53;44;56;46;59;59;41
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF PORTO NOVO; 21192411500000006;32;23;19;83;46;42%;21%;37%;61;55;67;50;61;53;54;55;74;68
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEM EMILIO MEYER; 21192411500000029;31ALFA;25;17;68;49;35%;35%;29%;44;65;74;56;76;65;71;56;56;65
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEM EMILIO MEYER; 21192411500000030;32;22;18;82;45;44%;11%;44%;68;86;91;50;59;57;50;44;53;47
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEM EMILIO MEYER; 21192411500000031;33;27;20;74;68;25%;25%;50%;87;80;78;70;85;78;77;68;68;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEM EMILIO MEYER; 21192411500000032;34;22;18;82;26;61%;28%;11%;58;78;86;36;42;44;50;47;39;42
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO; 21192411500000054;3A;9;8;89;80;0%;25%;75%;88;88;94;63;88;75;71;75;69;88
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21192411500000067;30;18;16;89;73;13%;31%;56%;69;97;97;56;72;73;83;69;81;59
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21192411500000068;31;17;10;59;48;40%;30%;30%;60;95;85;55;40;67;60;45;55;75
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21192411500000069;32;18;14;78;84;0%;29%;71%;82;86;93;96;82;81;93;96;93;57
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21192411500000070;33;17;15;88;19;73%;27%;0%;57;8;21;57;53;62;47;87;47;40
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21192411500000084;31;25;19;76;46;47%;16%;37%;72;92;83;50;65;69;69;57;56;57
PROVA PORTO ALEGRE - AVALIAÇÃO FORMATIVA;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;LP;RIO GRANDE DO SUL;PORTO ALEGRE;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21192411500000085;32;23;21;91;34;57%;29%;14%;71;26;12;67;45;79;46;64;50;73
