Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000004;20;16;15;94;32;50%;43%;7%;89;64;36;21;43;75;79;61;36;21;25;71;18
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000005;21;16;15;94;40;43%;43%;14%;86;79;46;38;46;79;86;54;71;39;29;43;14
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000006;22;14;11;79;58;10%;80%;10%;90;85;50;35;50;85;90;85;90;15;60;80;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO; 21912411500000023;2A;14;14;100;65;21%;29%;50%;86;82;100;57;75;86;93;54;93;36;57;64;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000035;21;21;19;90;38;50%;39%;11%;72;67;65;14;44;61;72;50;83;44;53;72;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000036;22;18;17;94;35;47%;47%;7%;77;70;43;27;47;63;93;20;93;37;60;60;37
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000037;23;20;19;95;38;50%;22%;28%;79;58;47;28;47;69;72;61;94;31;44;67;17
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000038;24;22;19;86;41;41%;41%;18%;94;82;41;32;56;91;82;47;56;32;38;56;24
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000073;21;23;19;83;44;44%;33%;22%;72;67;31;25;58;72;76;50;89;39;58;53;36
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000074;22;18;17;94;58;19%;31%;50%;88;81;44;47;63;78;81;53;75;50;59;75;56
