Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000011;40;23;23;100;64;22%;26%;52%;72;61;74;78;48;63;48;65;52;74;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000012;41;26;20;77;43;47%;21%;32%;50;55;45;55;50;47;53;55;45;50;53
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000013;42;23;19;83;24;67%;22%;11%;44;56;41;40;25;31;22;53;44;38;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO; 21912411500000025;4A;9;8;89;91;0%;25%;75%;100;88;63;88;81;88;75;100;88;94;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000046;41;23;20;87;65;21%;26%;53%;79;74;74;68;63;62;42;79;58;58;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000047;42;23;19;83;41;50%;25%;25%;59;47;28;44;56;41;44;75;44;44;50
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000048;43;22;18;82;63;29%;6%;65%;74;59;47;76;59;53;62;74;65;62;62
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000049;44;24;24;100;60;26%;30%;43%;70;63;50;66;50;52;57;76;63;61;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000082;41;23;19;83;59;29%;18%;53%;59;56;62;68;56;65;56;74;56;53;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000083;42;24;19;79;58;26%;37%;37%;66;61;53;66;53;58;58;66;55;58;55
