Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000014;50;19;19;100;62;11%;58%;32%;47;64;79;44;50;36;92;58;83;24;78;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;6001 EEF PEQUENA CASA DA CRIANCA; 21912411500000015;51;19;17;89;48;29%;41%;29%;38;53;71;50;56;41;62;50;65;24;62;18
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO; 21912411500000026;5A;5;5;100;88;0%;20%;80%;70;80;100;80;80;90;90;60;100;60;80;60
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000050;51;28;27;96;77;4%;33%;63%;63;81;89;41;78;52;94;63;74;52;80;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000051;52;23;20;87;38;61%;11%;28%;39;36;56;22;41;44;67;42;65;56;36;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000052;53;25;22;88;63;24%;19%;57%;60;69;81;45;67;40;67;64;62;55;69;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA; 21912411500000053;54;23;21;91;59;29%;29%;43%;50;57;79;40;50;38;57;64;71;57;74;48
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000087;51;22;19;86;75;6%;33%;61%;61;78;86;53;67;47;89;72;81;61;67;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000088;52;26;25;96;55;27%;36%;36%;67;64;77;43;57;41;57;48;52;48;68;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000089;53;22;22;100;61;14%;52%;33%;55;71;76;45;64;38;81;50;62;38;74;38
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000090;54;23;18;78;70;12%;35%;53%;68;76;91;47;68;41;82;68;71;35;59;65
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AFONSO GUERREIRO LIMA; 21912411500000091;55;24;21;88;75;17%;11%;72%;67;89;89;42;58;44;81;78;81;56;83;44
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AMERICA; 21912411500000113;51;20;19;95;51;21%;47%;32%;50;61;68;39;29;53;82;42;58;37;71;32
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF AMERICA; 21912411500000114;52;26;25;96;56;20%;56%;24%;62;64;76;46;56;40;82;46;60;36;64;28
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000140;51;26;25;96;72;13%;39%;48%;50;83;91;52;59;46;93;67;67;52;80;26
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000141;52;21;19;90;61;21%;37%;42%;45;76;79;42;63;47;79;61;74;32;66;42
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000142;53;22;21;95;58;30%;20%;50%;61;74;76;53;60;47;71;61;66;58;60;56
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF ARAMY SILVA; 21912411500000143;54;22;22;100;66;23%;27%;50%;66;77;76;64;59;59;68;57;68;45;70;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21912411500000163;51;31;30;97;76;7%;36%;57%;59;80;88;46;68;43;88;63;75;61;79;57
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CAMPOS DO CRISTAL; 21912411500000164;52;24;22;92;69;10%;45%;45%;53;78;80;43;80;43;85;50;68;50;78;70
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000192;51;30;26;87;45;35%;46%;19%;50;63;79;31;33;29;65;52;62;46;60;23
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000193;52;24;20;83;30;59%;29%;12%;38;50;50;24;41;24;65;38;44;12;50;41
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000194;53;26;23;88;79;9%;14%;77%;66;80;86;45;77;50;93;59;91;64;80;62
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000195;54;25;20;80;72;10%;40%;50%;73;73;90;50;70;38;80;48;80;50;78;55
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000228;51;28;26;93;53;30%;35%;35%;61;59;80;36;55;52;65;43;64;36;73;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000229;52;27;24;89;61;30%;30%;39%;57;63;72;48;50;33;80;54;72;61;67;30
