cenario,descricao_cenario,assessora_gerencial,tipo_carteira,carteira_nominal,numero_escolas,carga_potencial_total_cenario,indice_medio_cenario,indice_mediano_cenario,carga_total_rede_cenario,participacao_carga_rede_cenario_pct,ordem_carga_total_todas_categorias,ordem_carga_total_carteiras_nominais,percentil_carga_total_cenario_carteiras_nominais,faixa_carga_total_cenario_carteiras_nominais,carga_total_equilibrado,ordem_equilibrado_nominais,faixa_equilibrado_nominais,diferenca_carga_total_para_equilibrado,mudanca_ordem_nominais_para_equilibrado,mudou_faixa_carga_total_carteira
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,outras,Agrupamento residual,FALSE,2,77.1925505050505,38.59627525252525,38.59627525252525,2228.4262347583426,3.463993974807136,12,,,,77.1925505050505,,,0,,
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,jalize,Carteira nominal,TRUE,5,233.41650299289188,46.68330059857838,48.763468013468014,2228.4262347583426,10.474499866862512,1,1,100,Faixa 4 — maior carga relativa entre carteiras nominais,233.41650299289188,1,Faixa 4 — maior carga relativa entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,clarissa,Carteira nominal,TRUE,6,230.7685185185185,38.46141975308642,37.13194444444444,2228.4262347583426,10.355672308962193,2,2,90,Faixa 4 — maior carga relativa entre carteiras nominais,230.7685185185185,2,Faixa 4 — maior carga relativa entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,andreia,Carteira nominal,TRUE,5,214.14856902356902,42.829713804713805,49.761574074074076,2228.4262347583426,9.609856753763804,3,3,80,Faixa 4 — maior carga relativa entre carteiras nominais,214.14856902356902,3,Faixa 4 — maior carga relativa entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,julia,Carteira nominal,TRUE,5,199.34490740740742,39.868981481481484,40.84911616161616,2228.4262347583426,8.945546605855005,4,4,70,Faixa 3 — intermediária superior entre carteiras nominais,199.34490740740742,4,Faixa 3 — intermediária superior entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,amanda,Carteira nominal,TRUE,5,192.94002525252526,38.58800505050505,39.11132154882155,2228.4262347583426,8.658129322079548,5,5,60,Faixa 3 — intermediária superior entre carteiras nominais,192.94002525252526,5,Faixa 3 — intermediária superior entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,nathalia,Carteira nominal,TRUE,6,192.59806397306397,32.099677328843995,33.53703703703704,2228.4262347583426,8.642783905923181,6,6,50,Faixa 2 — intermediária inferior entre carteiras nominais,192.59806397306397,6,Faixa 2 — intermediária inferior entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,eliane,Carteira nominal,TRUE,5,191.5909090909091,38.31818181818182,35.66687710437711,2228.4262347583426,8.597588114092805,7,7,40,Faixa 2 — intermediária inferior entre carteiras nominais,191.5909090909091,7,Faixa 2 — intermediária inferior entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,priscila,Carteira nominal,TRUE,4,180.5602787130565,45.140069678264126,43.00404508043397,2228.4262347583426,8.10259168092396,8,8,30,Faixa 2 — intermediária inferior entre carteiras nominais,180.5602787130565,8,Faixa 2 — intermediária inferior entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,graziela,Carteira nominal,TRUE,4,165.674031986532,41.418507996633,41.41950757575758,2228.4262347583426,7.4345755494346975,9,9,20,Faixa 1 — menor carga relativa entre carteiras nominais,165.674031986532,9,Faixa 1 — menor carga relativa entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,ruti,Carteira nominal,TRUE,4,154.95854377104376,38.73963594276094,36.33680555555556,2228.4262347583426,6.953721032091868,10,10,10,Faixa 1 — menor carga relativa entre carteiras nominais,154.95854377104376,10,Faixa 1 — menor carga relativa entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,marian,Carteira nominal,TRUE,4,148.13152356902356,37.03288089225589,36.6082702020202,2228.4262347583426,6.64736042227969,11,11,0,Faixa 1 — menor carga relativa entre carteiras nominais,148.13152356902356,11,Faixa 1 — menor carga relativa entre carteiras nominais,0,0,FALSE
equilibrado,Pesos iguais entre as quatro dimensões; cenário principal provisório.,Sem vinculação informada,Sem vinculação informada,FALSE,1,47.10180995475113,47.10180995475113,47.10180995475113,2228.4262347583426,2.113680462923602,13,,,,47.10180995475113,,,0,,
operacional,Maior ênfase no volume e na estrutura operacional.,outras,Agrupamento residual,FALSE,2,69.1723063973064,34.5861531986532,34.5861531986532,2458.347980813667,2.8137719695163605,12,,,,77.1925505050505,,,-8.020244107744105,,
operacional,Maior ênfase no volume e na estrutura operacional.,clarissa,Carteira nominal,TRUE,6,278.4324915824916,46.4054152637486,44.13026094276095,2458.347980813667,11.32599997053044,1,1,100,Faixa 4 — maior carga relativa entre carteiras nominais,230.7685185185185,2,Faixa 4 — maior carga relativa entre carteiras nominais,47.66397306397309,-1,FALSE
operacional,Maior ênfase no volume e na estrutura operacional.,jalize,Carteira nominal,TRUE,5,252.32495323606435,50.46499064721287,53.94267676767677,2458.347980813667,10.264004738358867,2,2,90,Faixa 4 — maior carga relativa entre carteiras nominais,233.41650299289188,1,Faixa 4 — maior carga relativa entre carteiras nominais,18.908450243172467,1,FALSE
operacional,Maior ênfase no volume e na estrutura operacional.,andreia,Carteira nominal,TRUE,5,249.9644781144781,49.992895622895624,57.895538720538724,2458.347980813667,10.167985983487355,3,3,80,Faixa 4 — maior carga relativa entre carteiras nominais,214.14856902356902,3,Faixa 4 — maior carga relativa entre carteiras nominais,35.81590909090909,0,FALSE
