id_escola,codigo_inep,nome_canonico,assessora_gerencial,tipo_carteira,grupo_administrativo_2024_final,tipo_vinculo_rede_final,status_rede_2025_final,matriculas_anos_iniciais,turmas_anos_iniciais,numero_series_resultado_2025,numero_series_resultado_2026,numero_series_comparaveis,taxa_participacao_escola_2025,taxa_participacao_escola_2026,delta_participacao_escola,proficiencia_multisserie_ponderada_2025,proficiencia_multisserie_ponderada_2026,delta_proficiencia_multisserie_ponderada,score_dimensao_volume,score_dimensao_estrutural,score_dimensao_educacional,score_dimensao_administrativa,indice_carga_potencial,faixa_indice_carga_potencial,qualidade_evidencia_educacional,interpretacao_educacional_cautelosa,interpretacao_indice_cautelosa,possui_complexidade_administrativa,possui_alerta_composicao,painel_incompleto,sensibilidade_faixa,participacao_indice_na_carteira_pct,observacoes_composicao_limpa,arquivo_html,arquivo_grafico_dimensoes,arquivo_grafico_participacao,arquivo_grafico_proficiencia,status_geracao,mensagem_erro,html_existe,grafico_dimensoes_existe,grafico_participacao_existe,grafico_proficiencia_existe
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,Sem vinculação informada,Filantrópica supervisionada,filantropica_sob_supervisao_municipal,fora_da_rede_municipal_direta,109,0,5,1,1,78.0952380952381,69.56521739130434,-8.530020703933758,69.79268292682927,48,-21.792682926829272,8.909090909090908,59.230769230769226,50.26737967914438,70,47.10180995475113,Faixa 4 — maior carga potencial relativa,Limitada — uma ou duas séries,TRUE,TRUE,TRUE,TRUE,TRUE,Sensibilidade elevada,100,Escola-série ausente em um dos anos | Queda de participação igual ou superior a 10 p.p.,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_056_eef-aldeia-lumiar.html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_056_eef-aldeia-lumiar_dimensoes.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_056_eef-aldeia-lumiar_participacao.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_056_eef-aldeia-lumiar_proficiencia.png,gerada,,TRUE,TRUE,TRUE,TRUE
ESC_015,43109233,EMEF GABRIEL OBINO,amanda,Carteira nominal,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,255,13,5,5,5,77.81818181818181,81.06060606060606,3.2424242424242493,56.598130841121495,44.49065420560748,-12.107476635514018,37.87037037037037,16.52861952861953,67.66666666666667,0,30.516414141414142,Faixa 1 — menor carga potencial relativa,Completa — cinco séries,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,15.816528530808169,Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_015_emef-gabriel-obino.html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_015_emef-gabriel-obino_dimensoes.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_015_emef-gabriel-obino_participacao.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_015_emef-gabriel-obino_proficiencia.png,gerada,,TRUE,TRUE,TRUE,TRUE
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,Carteira nominal,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,488,19,5,5,5,84.93723849372385,91.2133891213389,6.276150627615053,73.75369458128078,73.88073394495413,0.12703936367334734,66.64562289562289,73.67340067340068,18.40909090909091,0,39.68202861952862,Faixa 3 — intermediária superior,Completa — cinco séries,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade elevada,20.567027794047235,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_029_emef-moradas-da-hipica.html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_029_emef-moradas-da-hipica_dimensoes.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_029_emef-moradas-da-hipica_participacao.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_029_emef-moradas-da-hipica_proficiencia.png,gerada,,TRUE,TRUE,TRUE,TRUE
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,Carteira nominal,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,377,16,5,5,5,77.51937984496124,79.56989247311827,2.050512628157037,50.63333333333333,43.84121621621622,-6.792117117117115,53.26010101010101,32.400673400673405,66.53198653198653,0,38.048190235690235,Faixa 2 — intermediária inferior,Completa — cinco séries,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade elevada,19.72021626196623,Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_032_emef-nossa-senhora-de-fatima.html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_032_emef-nossa-senhora-de-fatima_dimensoes.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_032_emef-nossa-senhora-de-fatima_participacao.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_032_emef-nossa-senhora-de-fatima_proficiencia.png,gerada,,TRUE,TRUE,TRUE,TRUE
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,Carteira nominal,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,408,16,5,5,5,85.1219512195122,86.44859813084112,1.3266469113289219,60.2378223495702,42.74324324324324,-17.49457910632696,57.07828282828282,66.22727272727272,59.02272727272727,0,45.582070707070706,Faixa 3 — intermediária superior,Completa — cinco séries,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,23.624994682887404,Mudança relevante no número de estudantes previstos,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_033_emef-nossa-senhora-do-carmo.html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_033_emef-nossa-senhora-do-carmo_dimensoes.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_033_emef-nossa-senhora-do-carmo_participacao.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_033_emef-nossa-senhora-do-carmo_proficiencia.png,gerada,,TRUE,TRUE,TRUE,TRUE
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,Carteira nominal,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,420,16,5,5,5,80.04434589800444,84.25531914893617,4.21097325093173,53.908587257617725,48.33838383838384,-5.570203419233884,48.48737373737374,52.48148148148148,55.476430976430976,0,39.11132154882155,Faixa 2 — intermediária inferior,Completa — cinco séries,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade elevada,20.271232730290965,Aumento de participação igual ou superior a 10 p.p.,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_042_emef-prof-larry-jose-ribeiro-alves.html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_042_emef-prof-larry-jose-ribeiro-alves_dimensoes.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_042_emef-prof-larry-jose-ribeiro-alves_participacao.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_042_emef-prof-larry-jose-ribeiro-alves_proficiencia.png,gerada,,TRUE,TRUE,TRUE,TRUE
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,andreia,Carteira nominal,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,255,10,5,5,5,88,95.65217391304348,7.652173913043484,64.02272727272727,64.47272727272727,0.45000000000000284,28.493265993265993,60.35858585858586,16.525252525252526,0,26.344276094276097,Faixa 1 — menor carga potencial relativa,Completa — cinco séries,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,12.301868844790958,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_006_emef-campos-do-cristal.html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_006_emef-campos-do-cristal_dimensoes.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_006_emef-campos-do-cristal_participacao.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_006_emef-campos-do-cristal_proficiencia.png,gerada,,TRUE,TRUE,TRUE,TRUE
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,Carteira nominal,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,470,20,5,5,5,68.54838709677419,79.83367983367984,11.285292736905646,49.8235294117647,38.5546875,-11.268841911764703,70.27020202020202,64.5909090909091,68.1986531986532,0,50.76494107744108,Faixa 4 — maior carga potencial relativa,Completa — cinco séries,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,23.705477607862946,Aumento de participação igual ou superior a 10 p.p.,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_017_emef-grande-oriente-do-rgs.html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_017_emef-grande-oriente-do-rgs_dimensoes.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_017_emef-grande-oriente-do-rgs_participacao.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_017_emef-grande-oriente-do-rgs_proficiencia.png,gerada,,TRUE,TRUE,TRUE,TRUE
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,Carteira nominal,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,538,21,5,5,5,79.55911823647294,78.29787234042553,-1.2612458960474129,40.53400503778337,40.35054347826087,-0.18346155952250598,78.21717171717171,47.449494949494955,74.07912457912457,0,49.936447811447806,Faixa 4 — maior carga potencial relativa,Completa — cinco séries,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,23.31859981093399,Mudança relevante no número de estudantes previstos,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_030_emef-morro-da-cruz.html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_030_emef-morro-da-cruz_dimensoes.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_030_emef-morro-da-cruz_participacao.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_030_emef-morro-da-cruz_proficiencia.png,gerada,,TRUE,TRUE,TRUE,TRUE
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,Carteira nominal,Rede municipal direta em 2024,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,471,19,5,5,5,77.63157894736842,89.92628992628993,12.2947109789215,76,65.24043715846994,-10.759562841530055,63.37289562289562,56.994949494949495,28.997474747474747,0,37.341329966329965,Faixa 2 — intermediária inferior,Completa — cinco séries,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,17.437113932907117,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_039_emef-prof-anisio-teixeira.html,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_039_emef-prof-anisio-teixeira_dimensoes.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_039_emef-prof-anisio-teixeira_participacao.png,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/graficos/ESC_039_emef-prof-anisio-teixeira_proficiencia.png,gerada,,TRUE,TRUE,TRUE,TRUE
