assessora_gerencial,tipo_carteira,carteira_nominal,numero_escolas,matriculas_anos_iniciais_total,escolas_com_matriculas_disponiveis,turmas_anos_iniciais_total,escolas_com_turmas_disponiveis,etapas_amplas_total,series_com_resultado_2026_total,series_comparaveis_total,escolas_painel_completo,escolas_painel_incompleto,previstos_total_2026_carteira,avaliados_total_2026_carteira,taxa_participacao_agregada_2026,proficiencia_multisserie_2026_ponderada,pct_defasagem_multisserie_2026_ponderado,pct_intermediario_multisserie_2026_ponderado,pct_adequado_multisserie_2026_ponderado,carga_potencial_total,indice_carga_potencial_medio,indice_carga_potencial_mediano,indice_carga_potencial_desvio,indice_carga_potencial_iqr,indice_carga_potencial_minimo,indice_carga_potencial_maximo,indice_carga_potencial_amplitude,coeficiente_variacao_indice,dimensao_volume_media,dimensao_estrutural_media,dimensao_educacional_media,dimensao_administrativa_media,contribuicao_volume_total,contribuicao_estrutural_total,contribuicao_educacional_total,contribuicao_administrativa_total,numero_escolas_faixa_1,numero_escolas_faixa_2,numero_escolas_faixa_3,numero_escolas_faixa_4,percentual_escolas_faixa_4,numero_escolas_faixas_3_4,percentual_escolas_faixas_3_4,numero_escolas_complexidade_administrativa,numero_escolas_interpretacao_cautelosa,numero_escolas_sensibilidade_elevada,numero_escolas_alerta_composicao,numero_escolas_participacao_2026_abaixo_80,numero_escolas_leitura_detalhada,participacao_maior_escola_carga_total_pct,participacao_duas_maiores_escolas_carga_total_pct,hhi_concentracao_carga_interna,nome_escola_maior_indice,maior_indice_escola,participacao_volume_contribuicoes_pct,participacao_estrutural_contribuicoes_pct,participacao_educacional_contribuicoes_pct,participacao_administrativa_contribuicoes_pct,participacao_escolas_rede_pct,participacao_matriculas_rede_pct,participacao_turmas_rede_pct,participacao_carga_potencial_rede_pct,razao_participacao_carga_sobre_escolas,diferenca_escolas_referencia_nominal,razao_matriculas_referencia_nominal,razao_turmas_referencia_nominal,razao_carga_potencial_referencia_nominal,diferenca_carga_potencial_referencia_nominal,percentil_carga_total_entre_carteiras_nominais,faixa_carga_total_entre_carteiras_nominais,percentil_indice_medio_entre_carteiras_nominais,faixa_indice_medio_entre_carteiras_nominais
outras,Agrupamento residual,FALSE,2,404,2,22,2,5,10,10,2,0,306,274,89.54248366013071,47.13503649635037,37.63503649635037,32.996350364963504,29.394160583941606,77.1925505050505,38.59627525252525,38.59627525252525,6.251317968103549,4.420349326599322,34.175925925925924,43.01662457912458,8.840698653198658,0.16196687186011663,20.555555555555557,41.96043771043771,41.869107744107744,50,10.277777777777779,20.980218855218855,20.934553872053872,25,0,1,1,0,0,1,50,2,0,2,2,0,2,55.726393670993055,100,5065.583168950378,EEF PEQUENA CASA DA CRIANCA,43.01662457912458,13.314468443564811,27.179071967373552,27.11991472633642,32.386544862725216,3.5714285714285716,1.974681069455985,2.5316455696202533,3.463993974807136,0.969918312945998,,,,,,,,,
jalize,Carteira nominal,TRUE,5,2025,5,82,5,14,25,20,4,1,2026,1688,83.31688055281343,45.50059241706161,39.39218009478673,30.636848341232227,29.997037914691944,233.41650299289188,46.68330059857838,48.763468013468014,6.3360551453742815,3.724373363262252,35.95896464646465,52.06818181818182,16.10921717171717,0.13572423252282273,54.92171717171717,56.680134680134685,61.131350542461654,14,68.65214646464646,70.85016835016836,76.41418817807707,17.5,0,1,1,3,60,4,80,1,1,0,3,2,3,22.30698393239463,43.80294942569473,2029.473707670255,EMEF DOLORES ALCARAZ CALDAS,52.06818181818182,29.41186487861019,30.3535386066194,32.73726887271722,7.497327642053192,8.928571428571429,9.897844469426659,9.436133486766398,10.474499866862512,1.1731439850886014,0.18181818181818166,1.1167652662187908,1.0649350649350648,1.2202569450537748,42.13178714756998,100,Faixa 4 — maior carga relativa entre carteiras nominais,100,Faixa 4 — maior carga relativa entre carteiras nominais
clarissa,Carteira nominal,TRUE,6,2753,6,117,6,21,30,30,6,0,2849,2483,87.15338715338716,54.30447039871124,30.296818364881194,29.80547724526782,40.00604107933951,230.7685185185185,38.46141975308642,37.13194444444444,9.025400649522828,9.20617634680135,30.073021885521886,54.34469696969697,24.271675084175083,0.23466114115037487,67.08627946127946,44.380471380471384,42.37892817059484,0,100.62941919191918,66.57070707070707,63.568392255892256,0,2,1,2,1,16.666666666666668,3,50,0,0,1,5,0,2,23.549441370329706,41.438813363340905,1743.1470155083282,EMEF GOV ILDO MENEGHETTI,54.34469696969697,43.606216236918804,28.84739543247749,27.546388330603715,0,10.714285714285714,13.45618065399091,13.463751438434983,10.355672308962193,0.9665294155031381,1.1818181818181817,1.5182492730372004,1.5194805194805194,1.2064137874200274,39.48380267319661,90,Faixa 4 — maior carga relativa entre carteiras nominais,30,Faixa 2 — intermediária inferior entre carteiras nominais
andreia,Carteira nominal,TRUE,5,2228,5,92,5,17,25,25,5,0,2037,1718,84.33971526755032,50.00291036088475,35.239231664726425,29.656577415599536,35.273573923166474,214.14856902356902,42.829713804713805,49.761574074074076,10.763551929641933,12.59511784511784,26.344276094276097,50.76494107744108,24.420664983164983,0.25131038649287696,64.14158249158248,58.01616161616162,49.16111111111111,0,80.1769781144781,72.52020202020202,61.451388888888886,0,1,1,0,3,60,3,60,0,0,0,5,2,3,23.705477607862946,47.024077418796935,2101.0510565747186,EMEF GRANDE ORIENTE DO RGS,50.76494107744108,37.439885066733225,33.86443456095217,28.6956803723146,0,8.928571428571429,10.890072828583998,10.586881472957423,9.609856753763804,1.076303956421546,0.18181818181818166,1.2287175373508472,1.1948051948051948,1.119527862313555,22.863853178247126,80,Faixa 4 — maior carga relativa entre carteiras nominais,80,Faixa 4 — maior carga relativa entre carteiras nominais
julia,Carteira nominal,TRUE,5,1540,5,66,5,13,25,24,4,1,1518,1237,81.48880105401845,54.582861762328214,31.299110751818915,28.773645917542442,40.03961196443007,199.34490740740742,39.868981481481484,40.84911616161616,13.392447006459452,23.17655723905724,25.372474747474747,55.232533670033675,29.860058922558927,0.33591144064415174,40.275252525252526,50.08518518518519,41.11548821548821,28,50.34406565656566,62.60648148148148,51.39436026936027,35,2,0,1,2,40,3,60,2,0,1,5,1,4,27.70702015334318,53.05688772251704,2180.538393529007,EMEF LIDOVINO FANTON,55.232533670033675,25.25475383912162,31.406110291812297,25.781626898711792,17.557508970354284,8.928571428571429,7.527249621193607,7.594936708860759,8.945546605855005,1.0019012198557606,0.18181818181818166,0.8492930913466359,0.8571428571428571,1.0421371437151477,8.060191562085521,70,Faixa 3 — intermediária superior entre carteiras nominais,60,Faixa 3 — intermediária superior entre carteiras nominais
amanda,Carteira nominal,TRUE,5,1948,5,80,5,17,25,25,5,0,2012,1712,85.08946322067594,52.37558411214953,32.89894859813084,29.30140186915888,37.85163551401869,192.94002525252526,38.58800505050505,39.11132154882155,5.381209946967156,1.6338383838383876,30.516414141414142,45.582070707070706,15.065656565656564,0.13945291911110924,52.668350168350166,48.26228956228956,53.42138047138047,0,65.8354377104377,60.32786195286195,66.77672558922559,0,1,2,2,0,0,2,40,0,0,3,5,1,3,23.624994682887404,44.19202247693464,2031.1153866377751,EMEF NOSSA SENHORA DO CARMO,45.582070707070706,34.12222923899302,31.267675990973448,34.61009477003351,0,8.928571428571429,9.521481988366977,9.205983889528193,8.658129322079548,0.9697104840729093,0.18181818181818166,1.0743006116514588,1.0389610389610389,1.0086536417710545,1.6553094072033616,60,Faixa 3 — intermediária superior entre carteiras nominais,40,Faixa 2 — intermediária inferior entre carteiras nominais
nathalia,Carteira nominal,TRUE,6,1789,6,78,6,18,30,30,6,0,1769,1554,87.84624081401923,50.78185328185328,33.997425997426,31.095881595881597,34.925353925353924,192.59806397306397,32.099677328843995,33.53703703703704,6.156876213630506,6.716698232323232,22.656986531986533,39.634469696969695,16.977483164983163,0.1918049253441587,38.00084175084175,40.09231200897868,50.30555555555556,0,57.00126262626263,60.138468013468014,75.45833333333333,0,3,2,1,0,0,1,16.666666666666668,0,0,1,6,0,1,20.578851562346347,39.2849416428292,1717.7626797031642,EMEF DECIO MARTINS COSTA,39.634469696969695,29.595968645995637,31.22485593722206,39.1791754167823,0,10.714285714285714,8.744317904100885,8.975834292289989,8.642783905923181,0.806659831219497,1.1818181818181817,0.9866138574150206,1.0129870129870129,1.006865933443444,1.3133481277420742,50,Faixa 2 — intermediária inferior entre carteiras nominais,0,Faixa 1 — menor carga relativa entre carteiras nominais
eliane,Carteira nominal,TRUE,5,1867,5,80,5,14,25,25,5,0,1848,1624,87.87878787878788,50.57266009852217,34.32573891625616,30.309113300492612,35.47167487684729,191.5909090909091,38.31818181818182,35.66687710437711,10.03966253567109,13.457491582491578,25.658459595959595,50.11447811447812,24.456018518518523,0.26200780045642225,47.66784511784512,58.046127946127946,47.55875420875421,0,59.5848063973064,72.55765993265993,59.448442760942754,0,2,1,1,1,20,2,40,0,0,0,5,0,1,26.157022977900795,50.58630991608453,2109.83694000002,EMEF CHICO MENDES,50.11447811447812,31.100017573920304,37.871139229383594,31.028843196696098,0,8.928571428571429,9.125568209589911,9.205983889528193,8.597588114092805,0.962929868778394,0.18181818181818166,1.0296300010027073,1.0389610389610389,1.0016007198705557,0.3061932455871954,40,Faixa 2 — intermediária inferior entre carteiras nominais,20,Faixa 1 — menor carga relativa entre carteiras nominais
priscila,Carteira nominal,TRUE,4,1383,4,61,4,12,20,15,3,1,1461,1197,81.93018480492813,41.817878028404344,44.9749373433584,28.916457811194654,26.208020050125313,180.5602787130565,45.140069678264126,43.00404508043397,9.495518786679908,7.660809483726155,36.13236531986532,58.41982323232323,22.28745791245791,0.21035675962308484,49.236531986531986,49.840909090909086,63.98283763561542,17.5,49.236531986531986,49.840909090909086,63.98283763561542,17.5,0,1,2,1,25,3,75,1,1,1,3,1,2,32.35474803689414,56.94303257024357,2582.9686868483577,EMEF VER CARLOS PESSOA DE BRUM,58.41982323232323,27.268750545505025,27.60347372420457,35.435721572680954,9.692054157609448,7.142857142857143,6.759861185786207,7.019562715765248,8.10259168092396,1.1343628353293542,-0.8181818181818183,0.7627093151509075,0.7922077922077922,0.9439346887446174,-10.724437132265393,30,Faixa 2 — intermediária inferior entre carteiras nominais,90,Faixa 4 — maior carga relativa entre carteiras nominais
graziela,Carteira nominal,TRUE,4,1585,4,67,4,15,20,20,4,0,1624,1402,86.33004926108374,50.90299572039943,34.9793152639087,28.213266761768903,36.8074179743224,165.674031986532,41.418507996633,41.41950757575758,7.90901009899778,12.236689814814802,33.443813131313135,49.3912037037037,15.947390572390567,0.19095352492274037,57.39604377104377,52.05555555555556,56.222432659932664,0,57.39604377104377,52.05555555555556,56.222432659932664,0,0,2,1,1,25,2,50,0,0,0,4,0,1,29.812278431008927,58.132590186756225,2568.368591275787,EMEF AFONSO GUERREIRO LIMA,49.3912037037037,34.6439590337909,31.420467608217123,33.935573357991984,0,7.142857142857143,7.747201720514199,7.710011507479862,7.4345755494346975,1.0408405769208575,-0.8181818181818183,0.874110097262609,0.8701298701298701,0.8661122309453129,-25.610683858789912,20,Faixa 1 — menor carga relativa entre carteiras nominais,70,Faixa 3 — intermediária superior entre carteiras nominais
