assessora_gerencial,tipo_carteira,carteira_nominal,ordem_interna_carga_potencial,id_escola,codigo_inep,nome_canonico,matriculas_anos_iniciais,turmas_anos_iniciais,turmas_anos_iniciais_validas,numero_etapas_amplas_ofertadas,numero_series_resultado_2026,numero_series_comparaveis,painel_completo_cinco_series,qualidade_evidencia_educacional,interpretacao_educacional_cautelosa,score_dimensao_volume,score_dimensao_estrutural,score_dimensao_educacional,score_dimensao_administrativa,indice_carga_potencial,percentil_indice_carga_potencial,faixa_indice_carga_potencial,indice_carga_potencial_operacional,faixa_indice_operacional,indice_carga_potencial_desafio_educacional,faixa_indice_desafio_educacional,indice_carga_potencial_transicao_administrativa,faixa_indice_transicao_administrativa,contribuicao_volume_indice_principal,contribuicao_estrutural_indice_principal,contribuicao_educacional_indice_principal,contribuicao_administrativa_indice_principal,numero_cenarios_com_mudanca_faixa,sensibilidade_faixa,possui_complexidade_administrativa,interpretacao_indice_cautelosa,painel_incompleto,possui_alerta_composicao,participacao_2026_abaixo_80,caso_para_leitura_detalhada,entre_duas_maiores_cargas_da_carteira,participacao_indice_na_carteira_pct,participacao_acumulada_indice_carteira_pct,tipo_vinculo_rede_final,status_rede_2025_final,municipalizada_apos_2024,escola_nova_recente
outras,Agrupamento residual,FALSE,1,ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,245,14,14,2,5,5,TRUE,Completa — cinco séries,FALSE,24.51936026936027,52.50673400673401,55.04040404040404,40,43.01662457912458,63.63636363636363,Faixa 3 — intermediária superior,39.94250841750842,Faixa 2 — intermediária inferior,46.04671717171718,Faixa 3 — intermediária superior,43.165319865319866,Faixa 4 — maior carga potencial relativa,6.1298400673400675,13.126683501683502,13.76010101010101,10,2,Sensibilidade elevada,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,55.726393670993055,55.726393670993055,privada_conveniada_sob_supervisao_municipal,fora_da_rede_municipal_direta,FALSE,FALSE
outras,Agrupamento residual,FALSE,2,ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,159,8,8,3,5,5,TRUE,Completa — cinco séries,FALSE,16.59175084175084,31.41414141414141,28.697811447811446,60,34.175925925925924,29.09090909090909,Faixa 2 — intermediária inferior,29.22979797979798,Faixa 1 — menor carga potencial relativa,31.6510101010101,Faixa 1 — menor carga potencial relativa,37.77563131313131,Faixa 3 — intermediária superior,4.14793771043771,7.853535353535353,7.174452861952862,15,3,Sensibilidade elevada,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,44.273606329006945,100,privada_conveniada_sob_supervisao_municipal,fora_da_rede_municipal_direta,FALSE,FALSE
amanda,Carteira nominal,TRUE,1,ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,408,16,16,4,5,5,TRUE,Completa — cinco séries,FALSE,57.07828282828282,66.22727272727272,59.02272727272727,0,45.582070707070706,67.27272727272727,Faixa 3 — intermediária superior,51.192676767676765,Faixa 3 — intermediária superior,51.58156565656566,Faixa 3 — intermediária superior,39.416792929292924,Faixa 3 — intermediária superior,14.269570707070706,16.55681818181818,14.755681818181818,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,23.624994682887404,23.624994682887404,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
amanda,Carteira nominal,TRUE,2,ESC_029,43293069,EMEF MORADAS DA HIPICA,488,19,19,3,5,5,TRUE,Completa — cinco séries,FALSE,66.64562289562289,73.67340067340068,18.40909090909091,0,39.68202861952862,52.72727272727273,Faixa 3 — intermediária superior,48.75841750841751,Faixa 3 — intermediária superior,39.111111111111114,Faixa 2 — intermediária inferior,32.66607744107744,Faixa 2 — intermediária inferior,16.661405723905723,18.41835016835017,4.6022727272727275,0,2,Sensibilidade elevada,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,20.567027794047235,44.19202247693464,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
amanda,Carteira nominal,TRUE,3,ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,420,16,16,2,5,5,TRUE,Completa — cinco séries,FALSE,48.48737373737374,52.48148148148148,55.476430976430976,0,39.11132154882155,49.09090909090909,Faixa 2 — intermediária inferior,43.61060606060606,Faixa 3 — intermediária superior,45.00841750841751,Faixa 3 — intermediária superior,34.06287878787879,Faixa 2 — intermediária inferior,12.121843434343434,13.12037037037037,13.869107744107744,0,2,Sensibilidade elevada,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,20.271232730290965,64.4632552072256,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
amanda,Carteira nominal,TRUE,4,ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,377,16,16,4,5,5,TRUE,Completa — cinco séries,FALSE,53.26010101010101,32.400673400673405,66.53198653198653,0,38.048190235690235,47.27272727272727,Faixa 2 — intermediária inferior,42.71060606060607,Faixa 3 — intermediária superior,45.36498316498317,Faixa 3 — intermediária superior,33.765151515151516,Faixa 2 — intermediária inferior,13.315025252525253,8.100168350168351,16.632996632996633,0,2,Sensibilidade elevada,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,19.72021626196623,84.18347146919183,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
amanda,Carteira nominal,TRUE,5,ESC_015,43109233,EMEF GABRIEL OBINO,255,13,13,4,5,5,TRUE,Completa — cinco séries,FALSE,37.87037037037037,16.52861952861953,67.66666666666667,0,30.516414141414142,16.363636363636363,Faixa 1 — menor carga potencial relativa,32.81363636363636,Faixa 1 — menor carga potencial relativa,38.772895622895625,Faixa 2 — intermediária inferior,27.79646464646465,Faixa 1 — menor carga potencial relativa,9.467592592592592,4.132154882154882,16.916666666666668,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15.816528530808169,100,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
andreia,Carteira nominal,TRUE,1,ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,470,20,20,4,5,5,TRUE,Completa — cinco séries,FALSE,70.27020202020202,64.5909090909091,68.1986531986532,0,50.76494107744108,90.9090909090909,Faixa 4 — maior carga potencial relativa,57.895538720538724,Faixa 4 — maior carga potencial relativa,57.48122895622896,Faixa 4 — maior carga potencial relativa,44.02188552188552,Faixa 4 — maior carga potencial relativa,17.567550505050505,16.147727272727273,17.0496632996633,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,23.705477607862946,23.705477607862946,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
andreia,Carteira nominal,TRUE,2,ESC_030,43177034,EMEF MORRO DA CRUZ,538,21,21,3,5,5,TRUE,Completa — cinco séries,FALSE,78.21717171717171,47.449494949494955,74.07912457912457,0,49.936447811447806,83.63636363636364,Faixa 4 — maior carga potencial relativa,57.965067340067336,Faixa 4 — maior carga potencial relativa,57.13745791245791,Faixa 4 — maior carga potencial relativa,43.653114478114475,Faixa 4 — maior carga potencial relativa,19.554292929292927,11.862373737373739,18.519781144781142,0,0,Estável nos cenários,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,23.31859981093399,47.024077418796935,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
andreia,Carteira nominal,TRUE,3,ESC_044,43167179,EMEF SAINT HILAIRE,494,22,22,4,5,5,TRUE,Completa — cinco séries,FALSE,80.3543771043771,60.68686868686869,58.005050505050505,0,49.761574074074076,81.81818181818181,Faixa 4 — maior carga potencial relativa,58.914478114478115,Faixa 4 — maior carga potencial relativa,54.444612794612794,Faixa 4 — maior carga potencial relativa,42.70951178451179,Faixa 3 — intermediária superior,20.088594276094273,15.171717171717173,14.501262626262626,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,23.236939803504995,70.26101722230193,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
andreia,Carteira nominal,TRUE,4,ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,471,19,19,3,5,5,TRUE,Completa — cinco séries,FALSE,63.37289562289562,56.994949494949495,28.997474747474747,0,37.341329966329965,45.45454545454545,Faixa 2 — intermediária inferior,45.39739057239058,Faixa 3 — intermediária superior,38.522306397306394,Faixa 2 — intermediária inferior,31.322937710437714,Faixa 2 — intermediária inferior,15.843223905723905,14.248737373737374,7.249368686868687,0,1,Sensibilidade moderada,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17.437113932907117,87.69813115520904,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,FALSE,FALSE
