ordem_coluna,variavel,origem,classe_r,unidade,nivel_analise,descricao,observacao_metodologica,valores_ausentes,valores_distintos
1,id_escola,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: id escola. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,56
2,codigo_inep,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: codigo inep. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,56
3,nome_canonico,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: nome canonico. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,56
4,nome_inep,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: nome inep. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,56
5,assessora_gerencial,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: assessora gerencial. Consulte o dicionário da base analítica final para a definição operacional completa.,Vínculo administrativo; não representa autoria ou efeito sobre os resultados escolares.,0,13
6,assessora,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: assessora. Consulte o dicionário da base analítica final para a definição operacional completa.,,1,12
7,grupo_administrativo_2024_final,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: grupo administrativo 2024 final. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,5
8,tipo_vinculo_rede_final,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: tipo vinculo rede final. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,5
9,status_rede_2025_final,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: status rede 2025 final. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,3
10,dependencia_administrativa_2024,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: dependencia administrativa 2024. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,3
11,situacao_funcionamento_2024,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: situacao funcionamento 2024. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,1
12,municipalizada_apos_2024,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: municipalizada apos 2024. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
13,possivel_municipalizacao_recente,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: possivel municipalizacao recente. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
14,escola_nova_recente,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: escola nova recente. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
15,privada_vinculada_final,dim_escola_final,logical,indicador lógico,escola,Variável herdada da dimensão final de escolas: privada vinculada final. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,2
16,caso_historico_administrativo,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: caso historico administrativo. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,5
17,observacao_administrativa_final,dim_escola_final,character,conforme variável de origem,escola,Variável herdada da dimensão final de escolas: observacao administrativa final. Consulte o dicionário da base analítica final para a definição operacional completa.,,0,7
