ano,ano_escolar,nome_escola_original,nome_escola_normalizado,arquivo_origem
2025,1,6001 EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,6001 EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,6001 EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,6001 EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,6001 EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,6001 EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,6001 EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,6001 EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,6001 EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,6001 EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,6002 EEF ALDEIA LUMIAR,6002 EEF ALDEIA LUMIAR,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,6002 EEF ALDEIA LUMIAR,6002 EEF ALDEIA LUMIAR,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,6002 EEF ALDEIA LUMIAR,6002 EEF ALDEIA LUMIAR,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,6002 EEF ALDEIA LUMIAR,6002 EEF ALDEIA LUMIAR,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,6002 EEF ALDEIA LUMIAR,6002 EEF ALDEIA LUMIAR,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,6002 EEF ALDEIA LUMIAR,6002 EEF ALDEIA LUMIAR,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,1,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
