id_escola_provisorio,codigo_inep,nome_canonico,nome_vinculo_original,chave_nome,assessora,exposicao_2025_1av,programa_iniciado_apos_2025_1av,dose_assessoramento_observada,status_validacao,caed_2025,caed_2026,contexto_caed_2026
ESC_001,,EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,outras,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_002,,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_003,,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,graziela,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_004,,EMEF AMERICA,EMEF AMERICA,EMEF AMERICA,nathalia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_005,,EMEF ARAMY SILVA,EMEF ARAMY SILVA,EMEF ARAMY SILVA,priscila,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_006,,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,andreia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_007,,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,ruti,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_008,,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,eliane,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_009,,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,nathalia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_010,,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_011,,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,clarissa,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_012,,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,jalize,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_013,,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,priscila,0,TRUE,FALSE,provisorio,FALSE,TRUE,TRUE
ESC_014,,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,jalize,0,TRUE,FALSE,provisorio,FALSE,TRUE,TRUE
ESC_015,,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,amanda,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_016,,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,clarissa,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_017,,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,andreia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_018,,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,jalize,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_019,,EMEF JEAN PIAGET,EMEF JEAN PIAGET,EMEF JEAN PIAGET,clarissa,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_020,,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,eliane,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_021,,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,julia,0,TRUE,FALSE,provisorio,FALSE,TRUE,TRUE
ESC_022,,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,jalize,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_023,,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,nathalia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_024,,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,EMEF LAURO RODRIGUES,clarissa,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_025,,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,EMEF LEOCADIA FELIZARDO PRESTES,graziela,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_026,,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,EMEF LIDOVINO FANTON,julia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_027,,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,EMEF MARIO QUINTANA,ruti,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_028,,EMEF MIGRANTES,EMEF MIGRANTES,EMEF MIGRANTES,nathalia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_029,,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,EMEF MORADAS DA HIPICA,amanda,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_030,,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,EMEF MORRO DA CRUZ,andreia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_031,,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,EMEF NEUSA GOULART BRIZOLA,julia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_032,,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,EMEF NOSSA SENHORA DE FATIMA,amanda,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_033,,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,EMEF NOSSA SENHORA DO CARMO,amanda,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_034,,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,EMEF PEPITA DE LEAO,nathalia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_035,,EMEF PORTO NOVO,EMEF PORTO NOVO,EMEF PORTO NOVO,marian,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_036,,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_037,,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,EMEF PRESIDENTE VARGAS,eliane,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_038,,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,EMEF PROF ANA IRIS DO AMARAL,eliane,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_039,,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,EMEF PROF ANISIO TEIXEIRA,andreia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_040,,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_041,,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_042,,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_043,,EMEF RINCAO,EMEF RINCAO,EMEF RINCAO,jalize,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_044,,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,andreia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_045,,EMEF SAO PEDRO,EMEF SAO PEDRO,EMEF SAO PEDRO,marian,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_046,,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,julia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
ESC_047,,EMEF TIMBAUVA,EMEF TIMBAUVA,EMEF TIMBAUVA,nathalia,0,TRUE,FALSE,provisorio,TRUE,TRUE,TRUE
