id_escola,nome,id_municipio,chave_nome_inep
43191118,CRECHE FRANCESCA ZACARO FARACO,4314902,CRECHE FRANCESCA ZACARO FARACO
43206581,CENTRO DE EDUCACAO TECNOLOGICA E PESQUISA EM SAUDE - CETPS - ESCOLA GHC,4314902,CENTRO DE EDUCACAO TECNOLOGICA E PESQUISA EM SAUDE CETPS GHC
43105009,COLEGIO MILITAR DE PORTO ALEGRE,4314902,COLEGIO MILITAR DE PORTO ALEGRE
43105726,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RS - CAMPUS PORTO ALEGRE,4314902,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RS CAMPUS PORTO ALEGRE
43104932,COLEGIO DE APLICACAO UFRGS,4314902,COLEGIO DE APLICACAO UFRGS
43001190,IFRS - CAMPUS PORTO ALEGRE RESTINGA,4314902,IFRS CAMPUS PORTO ALEGRE RESTINGA
43148670,ESCOLA DE EDUCACAO INFANTIL SMART KIDS,4314902,DE EDUCACAO INFANTIL SMART KIDS
43001831,EEI PEIXINHOS DO MAR,4314902,EEI PEIXINHOS DO MAR
43191975,CENTRO DE APRENDIZAGEM INFANTIL CRIANCA E CIA,4314902,CENTRO DE APRENDIZAGEM INFANTIL CRIANCA E CIA
43004890,EEI AMORMEUZINHO,4314902,EEI AMORMEUZINHO
43047653,EEI IMAGINAR E CRIAR,4314902,EEI IMAGINAR E CRIAR
43209688,ESCOLA DE EDUCACAO INFANTIL BEIJA-FLOR,4314902,DE EDUCACAO INFANTIL BEIJA FLOR
43187641,MAMAE DEIXA RECREACOES INFANTIS LTDA,4314902,MAMAE DEIXA RECREACOES INFANTIS LTDA
43208908,EEI PRIMEIROS PASSOS,4314902,EEI PRIMEIROS PASSOS
43191525,EDUCARTE ESCOLA DE EDUCACAO INFANTIL LTDA,4314902,EDUCARTE DE EDUCACAO INFANTIL LTDA
43190359,ESCOLA DE EDUCACAO INFANTIL O CRESCER,4314902,DE EDUCACAO INFANTIL O CRESCER
43210538,EEI TIA VERA,4314902,EEI TIA VERA
43296190,EEI SEIS MORANGUINHOS,4314902,EEI SEIS MORANGUINHOS
43009298,EEI CADE O AUAU II,4314902,EEI CADE O AUAU II
43002030,EEI CAMBALHOTA,4314902,EEI CAMBALHOTA
43190170,EEI SAO FRANCISCO,4314902,EEI SAO FRANCISCO
43209289,INST EDUC INF MAE COMERCIARIA I,4314902,INST EDUC INF MAE COMERCIARIA I
43004288,EEI ECOVILLE KIDS,4314902,EEI ECOVILLE KIDS
43149057,ESCOLA DE EDUCACAO INFANTIL PROJETO EDUCAR,4314902,DE EDUCACAO INFANTIL PROJETO EDUCAR
43188079,5092 EEI NOSSA SENHORA DA SAUDE,4314902,5092 EEI NOSSA SENHORA DA SAUDE
43188168,EEI MARISTA NOSSA SENHORA APARECIDA DAS AGUAS,4314902,EEI MARISTA NOSSA SENHORA APARECIDA DAS AGUAS
43185223,5101 EEI BEM-ME-QUER,4314902,5101 EEI BEM ME QUER
43004261,EEI SO BEBE,4314902,EEI SO BEBE
43142400,EEI CONSTRUINDO O AMANHA VILA NOVA,4314902,EEI CONSTRUINDO O AMANHA VILA NOVA
43046460,ESCOLA DE EDUCACAO INFANTIL LILADIM LTDA,4314902,DE EDUCACAO INFANTIL LILADIM LTDA
43190367,5011 IEI MARIA DE NAZARE,4314902,5011 IEI MARIA DE NAZARE
43190138,PLANETA INFANTIL,4314902,PLANETA INFANTIL
43191282,ESCOLA DE EDUCACAO INFANTIL PLANETA KIDS,4314902,DE EDUCACAO INFANTIL PLANETA KIDS
43185452,5093 EEI RECANTO DA CRIANCA FELIZ,4314902,5093 EEI RECANTO DA CRIANCA FELIZ
43142532,EEI A CASINHA DA VOVO,4314902,EEI A CASINHA DA VOVO
43009077,EEI BOSQUE ENCANTADO,4314902,EEI BOSQUE ENCANTADO
43209734,CENTRO EDUCACIONAL DESENVOLVER LTDA,4314902,CENTRO EDUCACIONAL DESENVOLVER LTDA
43002803,COLEGIO MARISTA IRMAO JAIME BIAZUS,4314902,COLEGIO MARISTA IRMAO JAIME BIAZUS
43186700,COLEGIO UNIFICADO INDEPENDENCIA,4314902,COLEGIO UNIFICADO INDEPENDENCIA
43191983,COLEGIO UNIFICADO IGUATEMI,4314902,COLEGIO UNIFICADO IGUATEMI
43203876,COL UNIFICADO LINDOIA,4314902,COL UNIFICADO LINDOIA
43181147,ESC NEO-HUMANISTA DE ENS FUND ANANDA MARGA,4314902,ESC NEO HUMANISTA DE ENS FUND ANANDA MARGA
43203884,ESCOLA DE ENSINO FUNDAMENTAL CORONEL ESCOBAR,4314902,DE CORONEL ESCOBAR
43155995,ESCOLA DE ENSINO FUNDAMENTAL SANTA DOROTEIA - PLANALTO,4314902,DE SANTA DOROTEIA PLANALTO
43179037,ESC ESP EDUCANDARIO SAO JOAO BATISTA,4314902,ESC ESP EDUCANDARIO SAO JOAO BATISTA
43114946,ESCOLA DE ENSINO FUNDAMENTAL LUMIAR,4314902,DE LUMIAR
43174590,ESC DE ENS FUND DESENVOLVER,4314902,ESC DE ENS FUND DESENVOLVER
43211429,ESC ENS FUND DIVINO MESTRE,4314902,ESC ENS FUND DIVINO MESTRE
43201717,CENTRO DE ENSINO MEDIO PASTOR DOHMS- UNIDADE DE ENSINO ZONA NORTE,4314902,CENTRO DE ENSINO MEDIO PASTOR DOHMS UNIDADE DE ENSINO ZONA NORTE
43089518,UNIDADE ENSINO FARROUPILHA TEN CEL CORREIA LIMA,4314902,UNIDADE ENSINO FARROUPILHA TEN CEL CORREIA LIMA
43189768,6002 EEF ALDEIA LUMIAR,4314902,6002 ALDEIA LUMIAR
43005020,EEI GENTE PEQUENA,4314902,EEI GENTE PEQUENA
43148549,ESCOLA DE EDUCACAO INFANTIL CONSTRUIR - ZONA SUL,4314902,DE EDUCACAO INFANTIL CONSTRUIR ZONA SUL
43190251,CRECHE BALAO VERMELHO,4314902,CRECHE BALAO VERMELHO
43190316,5031 IEI TIA ROSA,4314902,5031 IEI TIA ROSA
43206450,ESC EDUC INF CADE O AUAU LTDA,4314902,ESC EDUC INF CADE O AUAU LTDA
43212263,APRENDENDO A CRESCER,4314902,APRENDENDO A CRESCER
43108466,ESCOLA DE ED INFANTIL TARTARUGUINHA VERDE,4314902,DE ED INFANTIL TARTARUGUINHA VERDE
43142265,EEI INTEGRAR,4314902,EEI INTEGRAR
43185282,5072 IEI AMAVTRON,4314902,5072 IEI AMAVTRON
43187579,ALGODAO DOCE EDUCACAO INFANTIL,4314902,ALGODAO DOCE EDUCACAO INFANTIL
43187595,CENTRO INFANTIL RECANTO FELIZ-LTDA,4314902,CENTRO INFANTIL RECANTO FELIZ LTDA
43189083,5102 IEI RENASCER VILA AMERICA,4314902,5102 IEI RENASCER VILA AMERICA
43190120,5045 EEI SOMAI,4314902,5045 EEI SOMAI
43190553,5077 EEI NOSSA SENHORA DE NAZARE-DOM ORIONE,4314902,5077 EEI NOSSA SENHORA DE NAZARE DOM ORIONE
43200990,ESCOLA DE EDUCACAO INFANTIL CANTO DOS ANJOS LTDA,4314902,DE EDUCACAO INFANTIL CANTO DOS ANJOS LTDA
43208185,5135 EEI ANTONIO GIANELLI,4314902,5135 EEI ANTONIO GIANELLI
43211100,5139 IEI ACOMPAR NUCLEO III,4314902,5139 IEI ACOMPAR NUCLEO III
43211399,5138 IEI BRINCANDO E APRENDENDO,4314902,5138 IEI BRINCANDO E APRENDENDO
43282008,5153 EEI MEU DENGO,4314902,5153 EEI MEU DENGO
43367399,ESC EDUC INF GERACAO ALEGRIA,4314902,ESC EDUC INF GERACAO ALEGRIA
43004679,EEI PEQUENO APRENDIZ,4314902,EEI PEQUENO APRENDIZ
43009387,EEI EDUCARE III,4314902,EEI EDUCARE III
43108946,EEI PIAZITO,4314902,EEI PIAZITO
43142273,EEI HAPPY KIDS,4314902,EEI HAPPY KIDS
43188338,CRECHE HAPPY BABY AND KIDS,4314902,CRECHE HAPPY BABY AND KIDS
43201342,ESCOLA DE EDUCACAO INFANTIL MORANGUINHO EREILI,4314902,DE EDUCACAO INFANTIL MORANGUINHO EREILI
43210341,ESC EDUC INF CIA DA CRIANCA,4314902,ESC EDUC INF CIA DA CRIANCA
43297110,5185 EEI SAO MARCOS,4314902,5185 EEI SAO MARCOS
43367380,5198 EEI MEUS PRIMEIROS PASSOS,4314902,5198 EEI MEUS PRIMEIROS PASSOS
43008682,EEI SEMEARTE,4314902,EEI SEMEARTE
43047670,5230 EEI ABRASCE ILHA DO PAVAO,4314902,5230 EEI ABRASCE ILHA DO PAVAO
43142249,EEI TURMINHA DA JU,4314902,EEI TURMINHA DA JU
43185347,5098 EEI MENINO JESUS,4314902,5098 EEI MENINO JESUS
43190880,ESCOLA INFANTIL VIVER E CONVIVER,4314902,INFANTIL VIVER E CONVIVER
43204627,ESCOLA DE EDUCACAO INFANTIL TURMA DO PIU-PIU,4314902,DE EDUCACAO INFANTIL TURMA DO PIU PIU
43207715,5136 IEI UNIAO ESPERANCA,4314902,5136 IEI UNIAO ESPERANCA
43240410,5170 IEI INTEGRACAO DOS ANJOS,4314902,5170 IEI INTEGRACAO DOS ANJOS
43004709,EEI JOAO E MARIA,4314902,EEI JOAO E MARIA
43004741,KINDERHOUSE ESCOLA DE EDUCACAO INFANTIL LTDA - ME,4314902,KINDERHOUSE DE EDUCACAO INFANTIL LTDA ME
43008640,EEI FONTE DOS ANJOS,4314902,EEI FONTE DOS ANJOS
43009115,5228 IEI APRENDENDO FELIZ,4314902,5228 IEI APRENDENDO FELIZ
43009140,EEI SONHO DE CRIANCA II,4314902,EEI SONHO DE CRIANCA II
