id_escola_local,nome_canonico,codigo_inep,nome_inep,metodo_correspondencia_inep
ESC_002,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,exata_normalizada
ESC_003,EMEF AFONSO GUERREIRO LIMA,43105440,EMEF AFONSO GUERREIRO LIMA,exata_normalizada
ESC_004,EMEF AMERICA,43105459,EMEF AMERICA,exata_normalizada
ESC_005,EMEF ARAMY SILVA,43105467,EMEF ARAMY SILVA,exata_normalizada
ESC_006,EMEF CAMPOS DO CRISTAL,43173713,EMEF CAMPOS DO CRISTAL,exata_normalizada
ESC_007,EMEF CHAPEU DO SOL,43187560,EMEF CHAPEU DO SOL,exata_normalizada
ESC_008,EMEF CHICO MENDES,43177581,EMEF CHICO MENDES,exata_normalizada
ESC_009,EMEF DECIO MARTINS COSTA,43105475,EMEF DECIO MARTINS COSTA,exata_normalizada
ESC_010,EMEF DEP MARCIRIO GOULART LOUREIRO,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,exata_normalizada
ESC_011,EMEF DEP VICTOR ISSLER,43109225,EMEF DEP VICTOR ISSLER,exata_normalizada
ESC_012,EMEF DOLORES ALCARAZ CALDAS,43105483,EMEF DOLORES ALCARAZ CALDAS,exata_normalizada
ESC_015,EMEF GABRIEL OBINO,43109233,EMEF GABRIEL OBINO,exata_normalizada
ESC_016,EMEF GOV ILDO MENEGHETTI,43107508,EMEF GOV ILDO MENEGHETTI,exata_normalizada
ESC_017,EMEF GRANDE ORIENTE DO RGS,43108571,EMEF GRANDE ORIENTE DO RGS,exata_normalizada
ESC_018,EMEF HEITOR VILLA LOBOS,43105548,EMEF HEITOR VILLA LOBOS,exata_normalizada
ESC_019,EMEF JEAN PIAGET,43172474,EMEF JEAN PIAGET,exata_normalizada
ESC_020,EMEF JOAO ANTONIO SATTE,43109217,EMEF JOAO ANTONIO SATTE,exata_normalizada
ESC_022,EMEF JOSE LOUREIRO DA SILVA,43105491,EMEF JOSE LOUREIRO DA SILVA,exata_normalizada
ESC_023,EMEF JOSE MARIANO BECK,43169490,EMEF JOSE MARIANO BECK,exata_normalizada
ESC_024,EMEF LAURO RODRIGUES,43109209,EMEF LAURO RODRIGUES,exata_normalizada
ESC_025,EMEF LEOCADIA FELIZARDO PRESTES,43109063,EMEF LEOCADIA FELIZARDO PRESTES,exata_normalizada
ESC_026,EMEF LIDOVINO FANTON,43109144,EMEF LIDOVINO FANTON,exata_normalizada
ESC_027,EMEF MARIO QUINTANA,43183018,EMEF MARIO QUINTANA,exata_normalizada
ESC_028,EMEF MIGRANTES,43177018,EMEF MIGRANTES,exata_normalizada
ESC_029,EMEF MORADAS DA HIPICA,43293069,EMEF MORADAS DA HIPICA,exata_normalizada
ESC_030,EMEF MORRO DA CRUZ,43177034,EMEF MORRO DA CRUZ,exata_normalizada
ESC_031,EMEF NEUSA GOULART BRIZOLA,43177042,EMEF NEUSA GOULART BRIZOLA,exata_normalizada
ESC_032,EMEF NOSSA SENHORA DE FATIMA,43105513,EMEF NOSSA SENHORA DE FATIMA,exata_normalizada
ESC_033,EMEF NOSSA SENHORA DO CARMO,43204643,EMEF NOSSA SENHORA DO CARMO,exata_normalizada
ESC_034,EMEF PEPITA DE LEAO,43105521,EMEF PEPITA DE LEAO,exata_normalizada
ESC_035,EMEF PORTO NOVO,43048200,EMEF PORTO NOVO,exata_normalizada
ESC_036,EMEF PRES JOAO BELCHIOR MARQUES GOULART,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,exata_normalizada
ESC_037,EMEF PRESIDENTE VARGAS,43105530,EMEF PRESIDENTE VARGAS,exata_normalizada
ESC_038,EMEF PROF ANA IRIS DO AMARAL,43109195,EMEF PROF ANA IRIS DO AMARAL,exata_normalizada
ESC_039,EMEF PROF ANISIO TEIXEIRA,43172490,EMEF PROF ANISIO TEIXEIRA,exata_normalizada
ESC_040,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,exata_normalizada
ESC_041,EMEF PROF JUDITH MACEDO DE ARAUJO,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,exata_normalizada
ESC_042,EMEF PROF LARRY JOSE RIBEIRO ALVES,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,exata_normalizada
ESC_043,EMEF RINCAO,43293050,EMEF RINCAO,exata_normalizada
ESC_044,EMEF SAINT HILAIRE,43167179,EMEF SAINT HILAIRE,exata_normalizada
ESC_045,EMEF SAO PEDRO,43167535,EMEF SAO PEDRO,exata_normalizada
ESC_046,EMEF SEN ALBERTO PASQUALINI,43107842,EMEF SEN ALBERTO PASQUALINI,exata_normalizada
ESC_047,EMEF TIMBAUVA,43189253,EMEF TIMBAUVA,exata_normalizada
ESC_048,EMEF VER ANTONIO GIUDICE,43172482,EMEF VER ANTONIO GIUDICE,exata_normalizada
ESC_049,EMEF VER CARLOS PESSOA DE BRUM,43109080,EMEF VER CARLOS PESSOA DE BRUM,exata_normalizada
ESC_050,EMEF VER MARTIM ARANHA,43109101,EMEF VER MARTIM ARANHA,exata_normalizada
ESC_051,EMEF VILA MONTE CRISTO,43175120,EMEF VILA MONTE CRISTO,exata_normalizada
ESC_052,EMEF WENCESLAU FONTOURA,43173721,EMEF WENCESLAU FONTOURA,exata_normalizada
ESC_053,EMEM EMILIO MEYER,43105246,EMEM EMILIO MEYER,exata_normalizada
ESC_054,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,exata_normalizada
ESC_055,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,exata_normalizada
