id_escola,codigo_inep,nome_canonico,assessora,ano_escolar,componente,numero_turmas_2025,numero_turmas_2026,previstos_2025,previstos_2026,avaliados_2025,avaliados_2026,taxa_participacao_2025,taxa_participacao_2026,proficiencia_media_2025,proficiencia_media_2026,pct_defasagem_2025,pct_defasagem_2026,pct_intermediario_2025,pct_intermediario_2026,pct_adequado_2025,pct_adequado_2026,presente_2025,presente_2026,painel_balanceado,resultado_disponivel_2025,resultado_disponivel_2026,painel_resultado_balanceado,delta_numero_turmas,delta_previstos,delta_avaliados,delta_participacao,delta_proficiencia,delta_pct_defasagem,delta_pct_intermediario,delta_pct_adequado,variacao_relativa_previstos,variacao_relativa_avaliados,participacao_minima_70_ambos,participacao_minima_80_ambos,participacao_minima_90_ambos,aumento_participacao_10pp,queda_participacao_10pp,mudanca_previstos_20pct,turma_escola_pequena_2025,turma_escola_pequena_2026,observacao_composicao,peso_medio_avaliados,participacao_70_ambos,participacao_80_ambos,participacao_estavel_5pp,previstos_estaveis_20pct,faixa_delta_participacao,ano_escolar_fator,delta_proficiencia_predita_observada,delta_proficiencia_predita_participacao_estavel
ESC_056,,EEF ALDEIA LUMIAR,,1,Língua Portuguesa,3,1,20,23,18,16,90,69.56521739130434,62.166666666666664,48,16.666666666666668,36,22.444444444444443,36,61.333333333333336,29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-2,3,-2,-20.434782608695656,-14.166666666666664,19.333333333333332,13.555555555555555,-32.333333333333336,15,-11.11111111111111,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Queda de participação igual ou superior a 10 p.p.,17,FALSE,FALSE,FALSE,TRUE,Queda de 10 p.p. ou mais,1,-27.207919193507752,-20.38214436780159
ESC_001,,EEF PEQUENA CASA DA CRIANCA,outras,1,Língua Portuguesa,3,3,46,49,36,38,78.26086956521739,77.55102040816327,59.916666666666664,31.210526315789473,19.694444444444443,62.8421052631579,39.05555555555556,18.842105263157897,41.611111111111114,18.31578947368421,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,3,2,-0.7098491570541228,-28.70614035087719,43.147660818713454,-20.213450292397663,-23.295321637426905,6.521739130434782,5.555555555555555,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,37,TRUE,FALSE,TRUE,TRUE,Variação entre -5 e 5 p.p.,1,-27.04530278920808,-26.80819380698641
ESC_002,,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,1,Língua Portuguesa,4,4,90,75,75,57,83.33333333333333,76,38.53333333333333,39.49122807017544,49.266666666666666,48.80701754385965,29.573333333333338,24.31578947368421,21.4,27.05263157894737,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,-15,-18,-7.333333333333329,0.9578947368421068,-0.459649122807015,-5.257543859649125,5.652631578947371,-16.666666666666668,-24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,66,TRUE,FALSE,FALSE,TRUE,Queda entre 5 e 10 p.p.,1,-11.42584942807265,-8.976316050904357
ESC_003,,EMEF AFONSO GUERREIRO LIMA,graziela,1,Língua Portuguesa,4,4,87,94,64,77,73.5632183908046,81.91489361702128,52.9375,14.48051948051948,28,81.6103896103896,30.96875,14.155844155844155,40.828125,4.48051948051948,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,7,13,8.351675226216685,-38.45698051948052,53.6103896103896,-16.812905844155843,-36.34760551948052,8.045977011494253,20.3125,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,70.5,TRUE,FALSE,FALSE,TRUE,Aumento entre 5 e 10 p.p.,1,-22.065344120439335,-24.855031468878536
ESC_004,,EMEF AMERICA,nathalia,1,Língua Portuguesa,2,3,47,38,38,35,80.85106382978724,92.10526315789474,26.05263157894737,30.02857142857143,55.473684210526315,55.857142857142854,41.89473684210526,32.22857142857143,2.6315789473684212,11.571428571428571,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,-9,-3,11.254199328107504,3.9759398496240586,0.38345864661653906,-9.666165413533832,8.93984962406015,-19.148936170212767,-7.894736842105263,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,36.5,TRUE,TRUE,FALSE,TRUE,Aumento de 10 p.p. ou mais,1,1.9930035589304813,-1.766206016638308
ESC_005,,EMEF ARAMY SILVA,priscila,1,Língua Portuguesa,4,5,83,83,64,69,77.10843373493977,83.13253012048193,75.3125,25.55072463768116,15.578125,66.52173913043478,15.875,22.07246376811594,68.5625,11.405797101449275,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,5,6.024096385542165,-49.76177536231884,50.94361413043478,6.1974637681159415,-57.156702898550726,0,7.8125,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,66.5,TRUE,FALSE,FALSE,TRUE,Aumento entre 5 e 10 p.p.,1,-36.80608640835645,-38.81829893067433
ESC_006,,EMEF CAMPOS DO CRISTAL,andreia,1,Língua Portuguesa,2,2,38,45,32,45,84.21052631578948,100,66.125,47.06666666666667,15.46875,23.066666666666663,34.15625,53.266666666666666,50.375,23.133333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,7,13,15.78947368421052,-19.05833333333333,7.597916666666666,19.110416666666666,-27.241666666666667,18.42105263157895,40.625,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,38.5,TRUE,TRUE,FALSE,TRUE,Aumento de 10 p.p. ou mais,1,-21.636769998042706,-26.910884924960097
ESC_007,,EMEF CHAPEU DO SOL,ruti,1,Língua Portuguesa,5,5,114,95,77,81,67.54385964912281,85.26315789473684,45.285714285714285,13.77777777777778,42.714285714285715,84.18518518518519,24.818181818181817,8.012345679012345,32.467532467532465,7.802469135802469,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,-19,4,17.719298245614027,-31.507936507936503,41.470899470899475,-16.80583613916947,-24.665063331729996,-16.666666666666668,5.194805194805195,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,79,FALSE,FALSE,FALSE,TRUE,Aumento de 10 p.p. ou mais,1,-18.298266108466382,-24.21699508200702
ESC_008,,EMEF CHICO MENDES,eliane,1,Língua Portuguesa,4,4,97,92,72,78,74.22680412371135,84.78260869565217,58.611111111111114,13.884615384615383,19.680555555555557,83.15384615384616,38.97222222222222,11.294871794871796,41.56944444444444,5.82051282051282,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,-5,6,10.555804571940826,-44.72649572649573,63.4732905982906,-27.677350427350422,-35.748931623931625,-5.154639175257732,8.333333333333334,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Aumento de participação igual ou superior a 10 p.p.,75,TRUE,FALSE,FALSE,TRUE,Aumento de 10 p.p. ou mais,1,-25.418545818960002,-28.944472494664755
ESC_009,,EMEF DECIO MARTINS COSTA,nathalia,1,Língua Portuguesa,4,4,98,83,76,71,77.55102040816327,85.5421686746988,35.38157894736842,32.80281690140845,52.55263157894737,53.08450704225352,27.63157894736842,33.29577464788732,19.81578947368421,13.366197183098592,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,-15,-5,7.991148266535532,-2.5787620459599694,0.5318754633061502,5.664195700518899,-6.449592290585617,-15.306122448979592,-6.578947368421052,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sem alerta principal de composição,73.5,TRUE,FALSE,FALSE,TRUE,Aumento entre 5 e 10 p.p.,1,-7.814290518097575,-10.48355202729476
