ano,codigo_inep,sigla_uf,id_municipio,rede,tipo_categoria_escola_privada,tipo_localizacao,tipo_localizacao_diferenciada,tipo_situacao_funcionamento,vinculo_secretaria_educacao,poder_publico_parceria,tipo_poder_publico_parceria,conveniada_poder_publico,tipo_convenio_poder_publico,etapa_ensino_infantil,etapa_ensino_fundamental,etapa_ensino_fundamental_anos_iniciais,etapa_ensino_fundamental_anos_finais,etapa_ensino_medio,etapa_ensino_eja,etapa_ensino_especial,quantidade_matricula_educacao_basica,quantidade_matricula_infantil,quantidade_matricula_fundamental,quantidade_matricula_fundamental_anos_iniciais,quantidade_matricula_fundamental_1_ano,quantidade_matricula_fundamental_2_ano,quantidade_matricula_fundamental_3_ano,quantidade_matricula_fundamental_4_ano,quantidade_matricula_fundamental_5_ano,quantidade_matricula_fundamental_anos_finais,quantidade_matricula_eja,quantidade_matricula_especial,quantidade_matricula_especial_comum,quantidade_matricula_especial_exclusiva,quantidade_matricula_feminino,quantidade_matricula_masculino,quantidade_matricula_branca,quantidade_matricula_preta,quantidade_matricula_parda,quantidade_matricula_amarela,quantidade_matricula_indigena,quantidade_matricula_nao_declarada,quantidade_matricula_fundamental_integral,quantidade_matricula_fundamental_anos_iniciais_integral,quantidade_matricula_fundamental_anos_finais_integral,quantidade_matricula_utiliza_transporte_publico,quantidade_docente_educacao_basica,quantidade_docente_fundamental,quantidade_docente_fundamental_anos_iniciais,quantidade_docente_fundamental_anos_finais,quantidade_docente_especial,quantidade_turma_educacao_basica,quantidade_turma_fundamental,quantidade_turma_fundamental_anos_iniciais,quantidade_turma_fundamental_anos_finais,quantidade_turma_fundamental_integral,quantidade_sala_existente,quantidade_sala_utilizada,quantidade_sala_utilizada_climatizada,quantidade_sala_utilizada_acessivel,agua_potavel,agua_rede_publica,energia_rede_publica,esgoto_rede_publica,biblioteca,biblioteca_sala_leitura,sala_leitura,laboratorio_ciencias,laboratorio_informatica,quadra_esportes,quadra_esportes_coberta,internet,internet_aprendizagem,internet_alunos,acessibilidade_rampas,acessibilidade_corrimao,acessibilidade_pisos_tateis,acessibilidade_elevador,acessibilidade_inexistente,banheiro,banheiro_pne,cozinha,refeitorio,alimentacao,sala_atendimento_especial,quantidade_computador,quantidade_computador_aluno,quantidade_computador_portatil_aluno,quantidade_tablet_aluno,quantidade_profissional_bibliotecario,quantidade_profissional_coordenador,quantidade_profissional_psicologo,quantidade_profissional_assistente_social,quantidade_profissional_monitor,quantidade_profissional_pedagogia
2024,43106331,RS,4314902,2,,1,0.0,1,1,0,,,,0,1,1,0,0,0,0,54,0,54,54,16,13,14,11,0,0,0,0,0,0,26,28,14,19,14,0,0,7,0,0,0,0,5,5,5,0,0,4,4,4,0,0,,6,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,,,30,0,0,0,0,0,0,2
2024,43106382,RS,4314902,2,,1,0.0,1,1,0,,,,0,1,1,0,0,0,1,100,0,100,100,19,23,24,17,17,0,0,1,1,0,49,51,42,20,13,0,0,25,0,0,0,0,7,7,7,0,2,5,5,5,0,0,,5,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,,,30,0,0,0,0,0,0,2
2024,43106668,RS,4314902,2,,1,0.0,1,1,0,,,,0,1,1,0,0,0,1,154,0,154,154,44,23,24,28,35,0,0,8,8,0,79,75,101,22,28,0,0,3,154,154,0,0,17,17,17,0,16,8,8,8,0,8,,17,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,,,30,0,0,0,0,0,5,2
2024,43219543,RS,4314902,3,,1,0.0,1,1,0,,,,1,1,1,0,0,0,1,110,40,70,70,25,23,22,0,0,0,0,10,10,0,48,62,80,12,15,0,0,3,0,0,0,0,14,11,11,0,14,6,4,4,0,0,,12,0,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,,,102,0,0,1,0,0,0,5
2024,43109071,RS,4314902,3,,1,0.0,1,1,0,,,,1,1,1,1,0,0,1,212,36,176,109,23,22,24,19,21,67,0,40,40,0,106,106,150,27,32,0,0,3,176,109,67,0,31,28,19,16,31,11,9,5,4,9,,16,0,6,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,,,217,3,1,2,1,0,0,3
2024,43177018,RS,4314902,3,,1,0.0,1,1,0,,,,1,1,1,1,0,0,1,163,28,135,80,20,20,13,14,13,55,0,13,13,0,67,96,115,9,34,0,0,5,0,0,0,0,19,17,10,10,15,11,9,5,4,0,,10,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,,,118,10,2,2,1,1,0,2
2024,43177042,RS,4314902,3,,1,0.0,1,1,0,,,,1,1,1,1,0,0,1,381,41,340,218,43,41,52,43,39,122,0,56,56,0,188,193,241,58,74,0,0,8,340,218,122,12,48,44,31,26,44,19,17,10,7,17,,27,2,9,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,0,0,2,2,0,0,0,5
2024,43293050,RS,4314902,3,,1,0.0,1,1,0,,,,0,1,1,1,0,0,1,487,0,487,270,47,52,57,57,57,217,0,49,49,0,221,266,348,41,68,0,0,30,5,0,5,80,28,28,17,15,28,18,18,10,8,0,,9,1,8,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,,,220,1,2,0,0,5,0,4
2024,43048200,RS,4314902,3,,1,0.0,1,1,0,,,,1,1,1,1,0,0,1,477,82,395,237,46,45,53,45,48,158,0,59,59,0,235,242,275,89,87,1,1,24,395,237,158,2,59,49,33,28,59,22,18,10,8,18,,28,1,14,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,,594,2,1,2,1,1,0,5
2024,43183018,RS,4314902,3,,1,0.0,1,1,0,,,,0,1,1,1,0,0,1,402,0,402,233,49,48,48,45,43,169,0,32,32,0,189,213,215,77,84,0,1,25,365,233,132,25,30,30,20,13,28,18,18,10,8,16,,21,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,,,434,0,0,0,0,0,0,4
2024,43173713,RS,4314902,3,,1,0.0,1,1,0,,,,1,1,1,1,0,0,1,481,54,427,255,45,53,55,52,50,172,0,59,59,0,242,239,269,81,84,0,2,45,153,89,64,5,29,28,16,15,28,21,18,10,8,0,,16,8,12,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,,,302,5,3,1,1,1,0,4
