id_escola,codigo_inep,nome_canonico,nome_vinculo_original,assessora,tipo_vinculo_rede,status_rede_2025,observacao_historico,ano_contexto,fonte_contexto,contexto_pre_programa,rede,tipo_categoria_escola_privada,tipo_localizacao,tipo_localizacao_diferenciada,tipo_situacao_funcionamento,poder_publico_parceria,tipo_poder_publico_parceria,conveniada_poder_publico,tipo_convenio_poder_publico,matriculas_anos_iniciais,turmas_anos_iniciais,docentes_anos_iniciais,alunos_por_turma_anos_iniciais,alunos_por_docente_anos_iniciais,porte_anos_iniciais,quartil_porte_anos_iniciais,pct_matriculas_anos_iniciais_integral,pct_matriculas_educacao_especial,pct_matriculas_transporte_publico,pct_matriculas_preta_parda_indigena,indice_infraestrutura_basica,nome_inep,chave_nome,metodo_correspondencia_inep,status_codigo_inep,observacao_codigo_inep,exposicao_2025_1av,programa_iniciado_apos_2025_1av,dose_assessoramento_observada,possivel_municipalizacao_recente,escola_nova_recente,status_validacao,ano,sigla_uf,id_municipio,vinculo_secretaria_educacao,etapa_ensino_infantil,etapa_ensino_fundamental,etapa_ensino_fundamental_anos_iniciais,etapa_ensino_fundamental_anos_finais,etapa_ensino_medio,etapa_ensino_eja,etapa_ensino_especial,quantidade_matricula_educacao_basica,quantidade_matricula_infantil,quantidade_matricula_fundamental,quantidade_matricula_fundamental_anos_iniciais,quantidade_matricula_fundamental_1_ano,quantidade_matricula_fundamental_2_ano,quantidade_matricula_fundamental_3_ano,quantidade_matricula_fundamental_4_ano,quantidade_matricula_fundamental_5_ano,quantidade_matricula_fundamental_anos_finais,quantidade_matricula_eja,quantidade_matricula_especial,quantidade_matricula_especial_comum,quantidade_matricula_especial_exclusiva,quantidade_matricula_feminino,quantidade_matricula_masculino,quantidade_matricula_branca,quantidade_matricula_preta,quantidade_matricula_parda,quantidade_matricula_amarela,quantidade_matricula_indigena,quantidade_matricula_nao_declarada,quantidade_matricula_fundamental_integral,quantidade_matricula_fundamental_anos_iniciais_integral,quantidade_matricula_fundamental_anos_finais_integral,quantidade_matricula_utiliza_transporte_publico,quantidade_docente_educacao_basica,quantidade_docente_fundamental,quantidade_docente_fundamental_anos_iniciais,quantidade_docente_fundamental_anos_finais,quantidade_docente_especial,quantidade_turma_educacao_basica,quantidade_turma_fundamental,quantidade_turma_fundamental_anos_iniciais,quantidade_turma_fundamental_anos_finais,quantidade_turma_fundamental_integral,quantidade_sala_existente,quantidade_sala_utilizada,quantidade_sala_utilizada_climatizada,quantidade_sala_utilizada_acessivel,agua_potavel,agua_rede_publica,energia_rede_publica,esgoto_rede_publica,biblioteca,biblioteca_sala_leitura,sala_leitura,laboratorio_ciencias,laboratorio_informatica,quadra_esportes,quadra_esportes_coberta,internet,internet_aprendizagem,internet_alunos,acessibilidade_rampas,acessibilidade_corrimao,acessibilidade_pisos_tateis,acessibilidade_elevador,acessibilidade_inexistente,banheiro,banheiro_pne,cozinha,refeitorio,alimentacao,sala_atendimento_especial,quantidade_computador,quantidade_computador_aluno,quantidade_computador_portatil_aluno,quantidade_tablet_aluno,quantidade_profissional_bibliotecario,quantidade_profissional_coordenador,quantidade_profissional_psicologo,quantidade_profissional_assistente_social,quantidade_profissional_monitor,quantidade_profissional_pedagogia,oferta_educacao_infantil,oferta_anos_iniciais,oferta_anos_finais,oferta_eja,oferta_educacao_especial,numero_etapas_amplas_ofertadas,numero_itens_infraestrutura_disponiveis,numero_itens_infraestrutura_presentes,possui_espaco_leitura,possui_recurso_acessibilidade,codigo_situacao_funcionamento,situacao_funcionamento_2024,codigo_rede_2024,dependencia_administrativa_2024,alerta_sem_linha_2024,alerta_sem_matriculas_anos_iniciais,alerta_sem_turmas_anos_iniciais,alerta_sem_docentes_anos_iniciais,alerta_matriculas_sem_turmas,alerta_matriculas_sem_docentes,alerta_nao_ativa_2024,caso_historico_administrativo,requer_revisao_tecnica,motivo_revisao_tecnica,escola_ativa_2024,vinculo_privado_explicito,grupo_administrativo_2024,divergencia_censo_cadastro,tipo_divergencia_administrativa,incluir_universo_municipal_direto_2024,incluir_universo_municipal_ampliado_2024,incluir_contexto_descritivo_2024,motivo_nao_inclusao_universo_estrito
ESC_056,43189768,EEF ALDEIA LUMIAR,,Sem vinculação informada,filantropica_sob_supervisao_municipal,fora_da_rede_municipal_direta,Possível escola estadual posteriormente municipalizada; situação administrativa e data de ingresso na rede devem ser confirmadas em fonte oficial. | escola filantropica sob supervisao municipal,2024,Censo Escolar/INEP via Base dos Dados,TRUE,4,4,1,0,1,1,1,,,109,0,0,,,Até 149 matrículas,1,100,6.598984771573604,0,20.304568527918786,80,6002 EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,aceite_manual,consolidado,escola filantropica sob supervisao municipal,0,TRUE,FALSE,FALSE,FALSE,codigo_inep_consolidado,2024,RS,4314902,,0,1,1,1,0,0,1,197,0,197,109,26,22,19,21,21,88,0,13,13,0,96,101,108,20,18,0,2,49,197,109,88,0,10,10,0,10,9,10,10,0,10,10,,6,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,,,0,0,0,0,0,0,0,2,FALSE,TRUE,TRUE,FALSE,TRUE,2,10,8,TRUE,FALSE,1,Em atividade,4,Privada,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Instituição filantrópica supervisionada,TRUE,"Matrículas positivas, mas nenhuma turma dos anos iniciais | Matrículas positivas, mas nenhum docente dos anos iniciais",TRUE,TRUE,Filantrópica supervisionada,FALSE,,FALSE,FALSE,FALSE,"Matrículas positivas, mas nenhuma turma dos anos iniciais | Matrículas positivas, mas nenhum docente dos anos iniciais"
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,outras,privada_conveniada_sob_supervisao_municipal,fora_da_rede_municipal_direta,escola privada conveniada sob supervisao municipal,2024,Censo Escolar/INEP via Base dos Dados,TRUE,4,4,1,0,1,1,1,,,245,14,11,17.5,22.272727272727273,150 a 299 matrículas,1,18.367346938775512,6.128133704735376,0,20.33426183844011,70,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,aceite_manual,consolidado,escola privada conveniada sob supervisao municipal,0,TRUE,FALSE,FALSE,FALSE,codigo_inep_consolidado,2024,RS,4314902,,1,1,1,0,0,0,1,359,114,245,245,44,48,69,43,41,0,0,22,22,0,165,194,92,36,37,0,0,194,45,45,0,0,19,11,11,0,15,22,14,14,0,3,,23,6,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,,,0,0,0,0,1,1,0,1,TRUE,TRUE,FALSE,FALSE,TRUE,2,10,7,TRUE,FALSE,1,Em atividade,4,Privada,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Instituição privada conveniada ou supervisionada,FALSE,,TRUE,TRUE,Privada conveniada ou supervisionada,FALSE,,FALSE,TRUE,TRUE,Dependência privada no Censo 2024
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,,2024,Censo Escolar/INEP via Base dos Dados,TRUE,3,,1,0,1,0,,,,465,21,33,22.142857142857142,14.090909090909092,300 a 499 matrículas,3,0.21505376344086025,7.790262172284645,1.198501872659176,24.04494382022472,100,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,exata_normalizada,consolidado,,0,TRUE,FALSE,FALSE,FALSE,codigo_inep_consolidado,2024,RS,4314902,1,1,1,1,1,1,1,1,1335,118,840,465,83,90,103,81,108,375,146,104,104,0,730,605,829,193,127,0,1,185,1,1,0,16,82,53,33,24,77,56,35,21,14,0,,28,3,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,,,520,6,4,6,0,0,0,10,TRUE,TRUE,TRUE,TRUE,TRUE,4,10,10,TRUE,TRUE,1,Em atividade,3,Municipal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,TRUE,TRUE,
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,graziela,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,,2024,Censo Escolar/INEP via Base dos Dados,TRUE,3,,1,0,1,0,,,,517,22,27,23.5,19.14814814814815,500 matrículas ou mais,4,15.667311411992262,7.41901776384535,5.851619644723093,33.751306165099265,90,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,exata_normalizada,consolidado,,0,TRUE,FALSE,FALSE,FALSE,codigo_inep_consolidado,2024,RS,4314902,1,1,1,1,1,0,1,1,957,19,866,517,92,100,147,91,87,349,72,71,71,0,476,481,514,153,169,0,1,120,100,81,19,56,49,42,27,18,48,40,35,22,13,0,,30,0,8,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,,,468,0,4,4,0,0,0,6,TRUE,TRUE,TRUE,TRUE,TRUE,4,10,9,TRUE,TRUE,1,Em atividade,3,Municipal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,TRUE,TRUE,
ESC_004,43105459,EMEF AMERICA,EMEF AMERICA,nathalia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,,2024,Censo Escolar/INEP via Base dos Dados,TRUE,3,,1,0,1,0,,,,261,10,18,26.1,14.5,150 a 299 matrículas,2,0.3831417624521073,7.205240174672489,0,39.956331877729255,100,EMEF AMERICA,EMEF AMERICA,exata_normalizada,consolidado,,0,TRUE,FALSE,FALSE,FALSE,codigo_inep_consolidado,2024,RS,4314902,1,0,1,1,1,0,0,1,458,0,458,261,47,52,52,58,52,197,0,33,33,0,220,238,247,115,67,1,1,27,1,1,0,0,32,32,18,19,32,19,19,10,9,0,,12,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,380,0,2,2,0,0,0,4,FALSE,TRUE,TRUE,FALSE,TRUE,2,10,10,TRUE,TRUE,1,Em atividade,3,Municipal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,TRUE,TRUE,
ESC_005,43105467,EMEF ARAMY SILVA,EMEF ARAMY SILVA,priscila,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,,2024,Censo Escolar/INEP via Base dos Dados,TRUE,3,,1,0,1,0,,,,422,20,27,21.1,15.62962962962963,300 a 499 matrículas,3,0,11.951219512195122,1.0975609756097562,18.29268292682927,100,EMEF ARAMY SILVA,EMEF ARAMY SILVA,exata_normalizada,consolidado,,0,TRUE,FALSE,FALSE,FALSE,codigo_inep_consolidado,2024,RS,4314902,1,1,1,1,1,0,0,1,820,75,745,422,85,66,94,80,97,323,0,98,98,0,364,456,627,62,88,0,0,43,0,0,0,9,48,45,27,23,46,39,35,20,15,0,,20,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,525,0,3,4,0,0,0,6,TRUE,TRUE,TRUE,FALSE,TRUE,3,10,10,TRUE,TRUE,1,Em atividade,3,Municipal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,TRUE,TRUE,
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,andreia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,,2024,Censo Escolar/INEP via Base dos Dados,TRUE,3,,1,0,1,0,,,,255,10,16,25.5,15.9375,150 a 299 matrículas,2,34.90196078431372,12.266112266112266,1.0395010395010396,34.71933471933472,100,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,exata_normalizada,consolidado,,0,TRUE,FALSE,FALSE,FALSE,codigo_inep_consolidado,2024,RS,4314902,1,1,1,1,1,0,0,1,481,54,427,255,45,53,55,52,50,172,0,59,59,0,242,239,269,81,84,0,2,45,153,89,64,5,29,28,16,15,28,21,18,10,8,0,,16,8,12,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,,,302,5,3,1,1,1,0,4,TRUE,TRUE,TRUE,FALSE,TRUE,3,10,10,TRUE,TRUE,1,Em atividade,3,Municipal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,TRUE,TRUE,
ESC_007,43187560,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,ruti,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,,2024,Censo Escolar/INEP via Base dos Dados,TRUE,3,,1,0,1,0,,,,542,22,26,24.636363636363637,20.846153846153847,500 matrículas ou mais,4,28.59778597785978,8.558558558558559,3.4234234234234235,27.74774774774775,100,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,exata_normalizada,consolidado,,0,TRUE,FALSE,FALSE,FALSE,codigo_inep_consolidado,2024,RS,4314902,1,1,1,1,1,0,1,1,1110,69,948,542,90,94,102,133,123,406,93,95,95,0,552,558,772,135,172,0,1,30,218,155,63,38,52,47,26,26,52,46,38,22,16,0,,21,0,10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,,,400,0,1,2,0,0,0,5,TRUE,TRUE,TRUE,TRUE,TRUE,4,10,10,TRUE,TRUE,1,Em atividade,3,Municipal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,TRUE,TRUE,
ESC_008,43177581,EMEF CHICO MENDES,EMEF CHICO MENDES,eliane,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,,2024,Censo Escolar/INEP via Base dos Dados,TRUE,3,,1,0,1,0,,,,541,22,29,24.59090909090909,18.655172413793103,500 matrículas ou mais,4,13.67837338262477,9.099181073703368,1.1828935395814375,34.303912647861694,100,EMEF CHICO MENDES,EMEF CHICO MENDES,exata_normalizada,consolidado,,0,TRUE,FALSE,FALSE,FALSE,codigo_inep_consolidado,2024,RS,4314902,1,0,1,1,1,0,1,1,1099,0,994,541,96,80,125,132,108,453,105,100,100,0,499,600,385,186,188,0,3,337,122,74,48,13,66,61,29,39,64,47,42,22,20,0,,21,0,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,,,595,3,2,1,2,1,0,7,FALSE,TRUE,TRUE,TRUE,TRUE,3,10,10,TRUE,TRUE,1,Em atividade,3,Municipal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,TRUE,TRUE,
ESC_009,43105475,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,nathalia,rede_municipal_direta_ou_nao_classificada,rede_municipal_direta,,2024,Censo Escolar/INEP via Base dos Dados,TRUE,3,,1,0,1,0,,,,511,21,35,24.333333333333332,14.6,500 matrículas ou mais,4,9.001956947162427,6.335797254487856,1.0559662090813091,26.504751847940867,100,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,exata_normalizada,consolidado,,0,TRUE,FALSE,FALSE,FALSE,codigo_inep_consolidado,2024,RS,4314902,1,1,1,1,1,0,0,1,947,77,870,511,88,103,127,99,94,359,0,60,60,0,476,471,514,110,140,2,1,180,87,46,41,10,56,52,35,22,49,41,37,21,16,0,,20,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,,,490,0,3,1,0,0,0,5,TRUE,TRUE,TRUE,FALSE,TRUE,3,10,10,TRUE,FALSE,1,Em atividade,3,Municipal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,FALSE,Rede municipal direta em 2024,FALSE,,TRUE,TRUE,TRUE,
