ano,periodo_programa,exposicao_programa,id_escola,codigo_inep,nome_canonico,nome_escola_caed,assessora,ano_escolar,componente,avaliacao,codigo_turma,turma,Estado,Regional,Município,arquivo_origem,previstos,avaliados,taxa_participacao_caed,proficiencia_media,pct_defasagem,pct_intermediario,pct_adequado,nome_sem_codigo,chave_nome_caed,taxa_participacao_calculada,possivel_municipalizacao_recente,status_rede_2025
2025,linha_base_pre_programa,0,ESC_035,,EMEF PORTO NOVO,EMEF PORTO NOVO,marian,1,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000001,11,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,23,17,74,51,24,47,29,EMEF PORTO NOVO,EMEF PORTO NOVO,73.91304347826087,FALSE,
2025,linha_base_pre_programa,0,ESC_035,,EMEF PORTO NOVO,EMEF PORTO NOVO,marian,1,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000002,12,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,24,16,67,86,6,13,81,EMEF PORTO NOVO,EMEF PORTO NOVO,66.66666666666667,FALSE,
2025,linha_base_pre_programa,0,ESC_053,,EMEM EMILIO MEYER,EMEM EMILIO MEYER,ruti,1,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000019,11,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,19,12,63,70,25,8,67,EMEM EMILIO MEYER,EMEM EMILIO MEYER,63.1578947368421,FALSE,
2025,linha_base_pre_programa,0,ESC_053,,EMEM EMILIO MEYER,EMEM EMILIO MEYER,ruti,1,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000020,12,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,21,15,71,85,0,13,87,EMEM EMILIO MEYER,EMEM EMILIO MEYER,71.42857142857143,FALSE,
2025,linha_base_pre_programa,0,ESC_053,,EMEM EMILIO MEYER,EMEM EMILIO MEYER,ruti,1,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000021,13,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,18,16,89,85,0,19,81,EMEM EMILIO MEYER,EMEM EMILIO MEYER,88.88888888888889,FALSE,
2025,linha_base_pre_programa,0,ESC_053,,EMEM EMILIO MEYER,EMEM EMILIO MEYER,ruti,1,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000022,14,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,21,11,52,75,9,27,64,EMEM EMILIO MEYER,EMEM EMILIO MEYER,52.38095238095238,FALSE,
2025,linha_base_pre_programa,0,ESC_055,,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,1,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000052,1A,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,13,13,100,100,0,0,100,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,100,FALSE,
2025,linha_base_pre_programa,0,ESC_001,,EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,outras,1,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000061,10,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,16,11,69,26,55,36,9,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,68.75,FALSE,
2025,linha_base_pre_programa,0,ESC_001,,EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,outras,1,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000062,11,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,16,13,81,59,8,62,31,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,81.25,FALSE,
2025,linha_base_pre_programa,0,ESC_001,,EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,outras,1,Língua Portuguesa,1ª Avaliação Formativa, 21192411500000063,12,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,14,12,86,92,0,17,83,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,85.71428571428571,FALSE,
