ano,periodo_programa,exposicao_programa,ano_escolar,componente,avaliacao,numero_escolas,numero_turmas,previstos,avaliados,taxa_participacao,proficiencia_media,pct_defasagem,pct_intermediario,pct_adequado
2025,linha_base_pre_programa,0,1,Língua Portuguesa,1ª Avaliação Formativa,54,175,3711,2705,72.89140393424952,55.971903881700555,29.90536044362292,25.53086876155268,44.597042513863215
2026,pos_inicio_programa,1,1,Língua Portuguesa,1ª Avaliação Formativa,56,190,3926,3198,81.45695364238411,31.944340212632895,56.21263289555972,27.62539086929331,16.316135084427767
2025,linha_base_pre_programa,0,2,Língua Portuguesa,1ª Avaliação Formativa,54,171,3937,3024,76.80975361950723,58.08465608465608,30.672949735449734,27.305886243386244,42.074074074074076
2026,pos_inicio_programa,1,2,Língua Portuguesa,1ª Avaliação Formativa,55,170,3691,3149,85.31563261988622,52.305811368688474,34.18450301683074,29.810098443950462,36.04922197523023
2025,linha_base_pre_programa,0,3,Língua Portuguesa,1ª Avaliação Formativa,54,185,4502,3450,76.63260772989783,52.498260869565215,35.07826086956522,28.88231884057971,36.09101449275362
2026,pos_inicio_programa,1,3,Língua Portuguesa,1ª Avaliação Formativa,55,181,4390,3688,84.00911161731207,48.409978308026034,35.54338394793926,27.12472885032538,37.373373101952275
2025,linha_base_pre_programa,0,4,Língua Portuguesa,1ª Avaliação Formativa,54,175,4321,3454,79.93520018514232,59.65634047481181,27.927620150550087,26.26577880718008,45.86508396062536
2026,pos_inicio_programa,1,4,Língua Portuguesa,1ª Avaliação Formativa,55,176,4219,3719,88.14885043849253,53.580801290669534,33.16886259747244,25.98736219413821,40.939230976068835
2025,linha_base_pre_programa,0,5,Língua Portuguesa,1ª Avaliação Formativa,53,164,4046,3268,80.77113198220465,61.99296205630355,23.25091799265606,25.59547123623011,51.21481028151775
2026,pos_inicio_programa,1,5,Língua Portuguesa,1ª Avaliação Formativa,55,168,4095,3632,88.69352869352869,59.85958149779736,22.332048458149778,36.842235682819386,40.84471365638767
