ordem_coluna,variavel,classe_r,descricao,unidade_analise,observacao_metodologica
1,assessora_gerencial,character,Categoria administrativa responsável pela carteira.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
2,tipo_carteira,character,"Classificação da categoria como carteira nominal, agrupamento residual ou sem vinculação informada.",carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
3,carteira_nominal,logical,Indica se a categoria entra nas referências comparativas entre carteiras nominais.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
4,numero_escolas,integer,Quantidade de escolas vinculadas à categoria administrativa.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
5,matriculas_anos_iniciais_total,numeric,Soma das matrículas dos anos iniciais nas escolas da carteira.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
6,escolas_com_matriculas_disponiveis,integer,Variável escolas com matriculas disponiveis. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
7,turmas_anos_iniciais_total,numeric,Soma das turmas válidas dos anos iniciais nas escolas da carteira.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
8,escolas_com_turmas_disponiveis,integer,Variável escolas com turmas disponiveis. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
9,etapas_amplas_total,numeric,Variável etapas amplas total. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
10,series_com_resultado_2026_total,numeric,Variável series com resultado 2026 total. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
11,series_comparaveis_total,numeric,Variável series comparaveis total. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
12,escolas_painel_completo,integer,Variável escolas painel completo. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
13,escolas_painel_incompleto,integer,Variável escolas painel incompleto. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
14,previstos_total_2026_carteira,numeric,Variável previstos total 2026 carteira. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
15,avaliados_total_2026_carteira,numeric,Variável avaliados total 2026 carteira. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
16,taxa_participacao_agregada_2026,numeric,Variável taxa participacao agregada 2026. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
17,proficiencia_multisserie_2026_ponderada,numeric,Variável proficiencia multisserie 2026 ponderada. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Resultado descritivo; não representa efeito ou qualidade da assessora.
18,pct_defasagem_multisserie_2026_ponderado,numeric,Variável pct defasagem multisserie 2026 ponderado. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Resultado descritivo; não representa efeito ou qualidade da assessora.
19,pct_intermediario_multisserie_2026_ponderado,numeric,Variável pct intermediario multisserie 2026 ponderado. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Resultado descritivo; não representa efeito ou qualidade da assessora.
20,pct_adequado_multisserie_2026_ponderado,numeric,Variável pct adequado multisserie 2026 ponderado. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Resultado descritivo; não representa efeito ou qualidade da assessora.
21,carga_potencial_total,numeric,Soma do índice de carga potencial das escolas; representa carga acumulada relativa.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
22,indice_carga_potencial_medio,numeric,Média simples do índice escolar na carteira.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
23,indice_carga_potencial_mediano,numeric,Mediana do índice escolar na carteira.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
24,indice_carga_potencial_desvio,numeric,Desvio-padrão do índice escolar dentro da carteira.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
25,indice_carga_potencial_iqr,numeric,Variável indice carga potencial iqr. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
26,indice_carga_potencial_minimo,numeric,Variável indice carga potencial minimo. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
27,indice_carga_potencial_maximo,numeric,Variável indice carga potencial maximo. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
28,indice_carga_potencial_amplitude,numeric,Variável indice carga potencial amplitude. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
29,coeficiente_variacao_indice,numeric,Variável coeficiente variacao indice. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
30,dimensao_volume_media,numeric,Média do escore de volume das escolas da carteira.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
31,dimensao_estrutural_media,numeric,Média do escore de complexidade estrutural das escolas da carteira.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
32,dimensao_educacional_media,numeric,Média do escore de desafio educacional observado das escolas da carteira.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
33,dimensao_administrativa_media,numeric,Média do escore de complexidade administrativa das escolas da carteira.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
34,contribuicao_volume_total,numeric,Variável contribuicao volume total. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
35,contribuicao_estrutural_total,numeric,Variável contribuicao estrutural total. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
36,contribuicao_educacional_total,numeric,Variável contribuicao educacional total. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
37,contribuicao_administrativa_total,numeric,Variável contribuicao administrativa total. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
38,numero_escolas_faixa_1,integer,Variável numero escolas faixa 1. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
39,numero_escolas_faixa_2,integer,Variável numero escolas faixa 2. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
40,numero_escolas_faixa_3,integer,Variável numero escolas faixa 3. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
41,numero_escolas_faixa_4,integer,Quantidade de escolas no quartil superior do índice relativo da rede.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
42,percentual_escolas_faixa_4,numeric,Percentual da carteira composto por escolas no quartil superior do índice.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
43,numero_escolas_faixas_3_4,integer,Variável numero escolas faixas 3 4. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
44,percentual_escolas_faixas_3_4,numeric,Variável percentual escolas faixas 3 4. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,"Medida relativa usada para diagnóstico de carga, não para avaliação de desempenho."
45,numero_escolas_complexidade_administrativa,integer,Variável numero escolas complexidade administrativa. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
46,numero_escolas_interpretacao_cautelosa,integer,Quantidade de escolas com evidência que exige interpretação cautelosa.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
47,numero_escolas_sensibilidade_elevada,integer,Quantidade de escolas que mudam de faixa em dois ou três cenários.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
48,numero_escolas_alerta_composicao,integer,Variável numero escolas alerta composicao. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
49,numero_escolas_participacao_2026_abaixo_80,integer,Variável numero escolas participacao 2026 abaixo 80. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
50,numero_escolas_leitura_detalhada,integer,Variável numero escolas leitura detalhada. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
51,participacao_maior_escola_carga_total_pct,numeric,Parcela da carga acumulada da carteira concentrada na escola com maior índice.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
52,participacao_duas_maiores_escolas_carga_total_pct,numeric,Parcela da carga acumulada concentrada nas duas escolas com maiores índices.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
53,hhi_concentracao_carga_interna,numeric,Índice Herfindahl-Hirschman das parcelas do índice escolar dentro da carteira; maior valor indica maior concentração.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
54,nome_escola_maior_indice,character,Variável nome escola maior indice. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
55,maior_indice_escola,numeric,Variável maior indice escola. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
56,participacao_volume_contribuicoes_pct,numeric,Variável participacao volume contribuicoes pct. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
57,participacao_estrutural_contribuicoes_pct,numeric,Variável participacao estrutural contribuicoes pct. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
58,participacao_educacional_contribuicoes_pct,numeric,Variável participacao educacional contribuicoes pct. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
59,participacao_administrativa_contribuicoes_pct,numeric,Variável participacao administrativa contribuicoes pct. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
60,participacao_escolas_rede_pct,numeric,Variável participacao escolas rede pct. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
61,participacao_matriculas_rede_pct,numeric,Variável participacao matriculas rede pct. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
62,participacao_turmas_rede_pct,numeric,Variável participacao turmas rede pct. Consulte o script do módulo 18 para definição operacional.,carteira administrativa,Usar em conjunto com as demais dimensões e com validação qualitativa.
63,participacao_carga_potencial_rede_pct,numeric,Parcela da carga potencial acumulada da rede atribuída à carteira.,carteira administrativa,Escore relativo e descritivo; não é percentual de carga absoluta.
