assessora_gerencial,tipo_carteira,numero_escolas,matriculas_anos_iniciais_total,turmas_anos_iniciais_total,etapas_amplas_total,series_com_resultado_2026_total,series_comparaveis_total,previstos_total_2026_carteira,avaliados_total_2026_carteira,taxa_participacao_agregada_2026,participacao_escolas_rede_pct,participacao_matriculas_rede_pct,participacao_turmas_rede_pct,diferenca_escolas_referencia_nominal,razao_matriculas_referencia_nominal,razao_turmas_referencia_nominal
outras,Agrupamento residual,2,404,22,5,10,10,306,274,89.54248366013071,3.5714285714285716,1.974681069455985,2.5316455696202533,,,
jalize,Carteira nominal,5,2025,82,14,25,20,2026,1688,83.31688055281343,8.928571428571429,9.897844469426659,9.436133486766398,0.18181818181818166,1.1167652662187908,1.0649350649350648
clarissa,Carteira nominal,6,2753,117,21,30,30,2849,2483,87.15338715338716,10.714285714285714,13.45618065399091,13.463751438434983,1.1818181818181817,1.5182492730372004,1.5194805194805194
andreia,Carteira nominal,5,2228,92,17,25,25,2037,1718,84.33971526755032,8.928571428571429,10.890072828583998,10.586881472957423,0.18181818181818166,1.2287175373508472,1.1948051948051948
julia,Carteira nominal,5,1540,66,13,25,24,1518,1237,81.48880105401845,8.928571428571429,7.527249621193607,7.594936708860759,0.18181818181818166,0.8492930913466359,0.8571428571428571
amanda,Carteira nominal,5,1948,80,17,25,25,2012,1712,85.08946322067594,8.928571428571429,9.521481988366977,9.205983889528193,0.18181818181818166,1.0743006116514588,1.0389610389610389
nathalia,Carteira nominal,6,1789,78,18,30,30,1769,1554,87.84624081401923,10.714285714285714,8.744317904100885,8.975834292289989,1.1818181818181817,0.9866138574150206,1.0129870129870129
eliane,Carteira nominal,5,1867,80,14,25,25,1848,1624,87.87878787878788,8.928571428571429,9.125568209589911,9.205983889528193,0.18181818181818166,1.0296300010027073,1.0389610389610389
priscila,Carteira nominal,4,1383,61,12,20,15,1461,1197,81.93018480492813,7.142857142857143,6.759861185786207,7.019562715765248,-0.8181818181818183,0.7627093151509075,0.7922077922077922
graziela,Carteira nominal,4,1585,67,15,20,20,1624,1402,86.33004926108374,7.142857142857143,7.747201720514199,7.710011507479862,-0.8181818181818183,0.874110097262609,0.8701298701298701
ruti,Carteira nominal,4,1261,55,12,20,20,1279,1120,87.56841282251759,7.142857142857143,6.163546605405934,6.329113924050633,-0.8181818181818183,0.6954276546676025,0.7142857142857143
marian,Carteira nominal,4,1567,69,13,20,20,1569,1361,86.74314850223072,7.142857142857143,7.659220880785962,7.940161104718067,-0.8181818181818183,0.8641832948962198,0.8961038961038961
Sem vinculação informada,Sem vinculação informada,1,109,,2,1,1,23,16,69.56521739130434,1.7857142857142858,0.5327728627987682,,,,
