assessora_gerencial,tipo_carteira,numero_escolas,carga_potencial_total,indice_carga_potencial_medio,indice_carga_potencial_mediano,indice_carga_potencial_desvio,indice_carga_potencial_iqr,indice_carga_potencial_minimo,indice_carga_potencial_maximo,indice_carga_potencial_amplitude,coeficiente_variacao_indice,participacao_carga_potencial_rede_pct,razao_participacao_carga_sobre_escolas,razao_carga_potencial_referencia_nominal,diferenca_carga_potencial_referencia_nominal,percentil_carga_total_entre_carteiras_nominais,faixa_carga_total_entre_carteiras_nominais,percentil_indice_medio_entre_carteiras_nominais,faixa_indice_medio_entre_carteiras_nominais
outras,Agrupamento residual,2,77.1925505050505,38.59627525252525,38.59627525252525,6.251317968103549,4.420349326599322,34.175925925925924,43.01662457912458,8.840698653198658,0.16196687186011663,3.463993974807136,0.969918312945998,,,,,,
jalize,Carteira nominal,5,233.41650299289188,46.68330059857838,48.763468013468014,6.3360551453742815,3.724373363262252,35.95896464646465,52.06818181818182,16.10921717171717,0.13572423252282273,10.474499866862512,1.1731439850886014,1.2202569450537748,42.13178714756998,100,Faixa 4 — maior carga relativa entre carteiras nominais,100,Faixa 4 — maior carga relativa entre carteiras nominais
clarissa,Carteira nominal,6,230.7685185185185,38.46141975308642,37.13194444444444,9.025400649522828,9.20617634680135,30.073021885521886,54.34469696969697,24.271675084175083,0.23466114115037487,10.355672308962193,0.9665294155031381,1.2064137874200274,39.48380267319661,90,Faixa 4 — maior carga relativa entre carteiras nominais,30,Faixa 2 — intermediária inferior entre carteiras nominais
andreia,Carteira nominal,5,214.14856902356902,42.829713804713805,49.761574074074076,10.763551929641933,12.59511784511784,26.344276094276097,50.76494107744108,24.420664983164983,0.25131038649287696,9.609856753763804,1.076303956421546,1.119527862313555,22.863853178247126,80,Faixa 4 — maior carga relativa entre carteiras nominais,80,Faixa 4 — maior carga relativa entre carteiras nominais
julia,Carteira nominal,5,199.34490740740742,39.868981481481484,40.84911616161616,13.392447006459452,23.17655723905724,25.372474747474747,55.232533670033675,29.860058922558927,0.33591144064415174,8.945546605855005,1.0019012198557606,1.0421371437151477,8.060191562085521,70,Faixa 3 — intermediária superior entre carteiras nominais,60,Faixa 3 — intermediária superior entre carteiras nominais
amanda,Carteira nominal,5,192.94002525252526,38.58800505050505,39.11132154882155,5.381209946967156,1.6338383838383876,30.516414141414142,45.582070707070706,15.065656565656564,0.13945291911110924,8.658129322079548,0.9697104840729093,1.0086536417710545,1.6553094072033616,60,Faixa 3 — intermediária superior entre carteiras nominais,40,Faixa 2 — intermediária inferior entre carteiras nominais
nathalia,Carteira nominal,6,192.59806397306397,32.099677328843995,33.53703703703704,6.156876213630506,6.716698232323232,22.656986531986533,39.634469696969695,16.977483164983163,0.1918049253441587,8.642783905923181,0.806659831219497,1.006865933443444,1.3133481277420742,50,Faixa 2 — intermediária inferior entre carteiras nominais,0,Faixa 1 — menor carga relativa entre carteiras nominais
eliane,Carteira nominal,5,191.5909090909091,38.31818181818182,35.66687710437711,10.03966253567109,13.457491582491578,25.658459595959595,50.11447811447812,24.456018518518523,0.26200780045642225,8.597588114092805,0.962929868778394,1.0016007198705557,0.3061932455871954,40,Faixa 2 — intermediária inferior entre carteiras nominais,20,Faixa 1 — menor carga relativa entre carteiras nominais
priscila,Carteira nominal,4,180.5602787130565,45.140069678264126,43.00404508043397,9.495518786679908,7.660809483726155,36.13236531986532,58.41982323232323,22.28745791245791,0.21035675962308484,8.10259168092396,1.1343628353293542,0.9439346887446174,-10.724437132265393,30,Faixa 2 — intermediária inferior entre carteiras nominais,90,Faixa 4 — maior carga relativa entre carteiras nominais
graziela,Carteira nominal,4,165.674031986532,41.418507996633,41.41950757575758,7.90901009899778,12.236689814814802,33.443813131313135,49.3912037037037,15.947390572390567,0.19095352492274037,7.4345755494346975,1.0408405769208575,0.8661122309453129,-25.610683858789912,20,Faixa 1 — menor carga relativa entre carteiras nominais,70,Faixa 3 — intermediária superior entre carteiras nominais
ruti,Carteira nominal,4,154.95854377104376,38.73963594276094,36.33680555555556,10.698670931554638,6.475431397306394,28.488005050505052,53.79692760942761,25.30892255892256,0.2761685976440839,6.953721032091868,0.9735209444928614,0.8100937029195135,-36.326172074278134,10,Faixa 1 — menor carga relativa entre carteiras nominais,50,Faixa 2 — intermediária inferior entre carteiras nominais
marian,Carteira nominal,4,148.13152356902356,37.03288089225589,36.6082702020202,7.6310577037507645,10.89220328282829,29.3141835016835,45.60079966329967,16.286616161616166,0.20606168140017778,6.64736042227969,0.9306304591191565,0.7744033438029978,-43.15319227629834,0,Faixa 1 — menor carga relativa entre carteiras nominais,10,Faixa 1 — menor carga relativa entre carteiras nominais
Sem vinculação informada,Sem vinculação informada,1,47.10180995475113,47.10180995475113,47.10180995475113,,,47.10180995475113,47.10180995475113,0,,2.113680462923602,1.1836610592372172,,,,,,
