assessora_gerencial,tipo_carteira,numero_escolas,numero_escolas_faixa_4,percentual_escolas_faixa_4,numero_escolas_faixas_3_4,percentual_escolas_faixas_3_4,numero_escolas_complexidade_administrativa,numero_escolas_interpretacao_cautelosa,numero_escolas_sensibilidade_elevada,numero_escolas_alerta_composicao,numero_escolas_participacao_2026_abaixo_80,numero_escolas_leitura_detalhada,nome_escola_maior_indice,maior_indice_escola,participacao_maior_escola_carga_total_pct,participacao_duas_maiores_escolas_carga_total_pct,hhi_concentracao_carga_interna
outras,Agrupamento residual,2,0,0,1,50,2,0,2,2,0,2,EEF PEQUENA CASA DA CRIANCA,43.01662457912458,55.726393670993055,100,5065.583168950378
jalize,Carteira nominal,5,3,60,4,80,1,1,0,3,2,3,EMEF DOLORES ALCARAZ CALDAS,52.06818181818182,22.30698393239463,43.80294942569473,2029.473707670255
clarissa,Carteira nominal,6,1,16.666666666666668,3,50,0,0,1,5,0,2,EMEF GOV ILDO MENEGHETTI,54.34469696969697,23.549441370329706,41.438813363340905,1743.1470155083282
andreia,Carteira nominal,5,3,60,3,60,0,0,0,5,2,3,EMEF GRANDE ORIENTE DO RGS,50.76494107744108,23.705477607862946,47.024077418796935,2101.0510565747186
julia,Carteira nominal,5,2,40,3,60,2,0,1,5,1,4,EMEF LIDOVINO FANTON,55.232533670033675,27.70702015334318,53.05688772251704,2180.538393529007
amanda,Carteira nominal,5,0,0,2,40,0,0,3,5,1,3,EMEF NOSSA SENHORA DO CARMO,45.582070707070706,23.624994682887404,44.19202247693464,2031.1153866377751
nathalia,Carteira nominal,6,0,0,1,16.666666666666668,0,0,1,6,0,1,EMEF DECIO MARTINS COSTA,39.634469696969695,20.578851562346347,39.2849416428292,1717.7626797031642
eliane,Carteira nominal,5,1,20,2,40,0,0,0,5,0,1,EMEF CHICO MENDES,50.11447811447812,26.157022977900795,50.58630991608453,2109.83694000002
priscila,Carteira nominal,4,1,25,3,75,1,1,1,3,1,2,EMEF VER CARLOS PESSOA DE BRUM,58.41982323232323,32.35474803689414,56.94303257024357,2582.9686868483577
graziela,Carteira nominal,4,1,25,2,50,0,0,0,4,0,1,EMEF AFONSO GUERREIRO LIMA,49.3912037037037,29.812278431008927,58.132590186756225,2568.368591275787
ruti,Carteira nominal,4,1,25,1,25,0,0,0,4,0,1,EMEF CHAPEU DO SOL,53.79692760942761,34.71698061961288,58.230112050714126,2643.004551858813
marian,Carteira nominal,4,0,0,2,50,0,0,0,4,0,0,EMEF DEP MARCIRIO GOULART LOUREIRO,45.60079966329967,30.783994226624866,58.56694146076052,2579.6151560152534
Sem vinculação informada,Sem vinculação informada,1,1,100,1,100,1,1,1,1,1,1,EEF ALDEIA LUMIAR,47.10180995475113,100,100,10000
