assessora_gerencial,tipo_carteira,ordem_interna_carga_potencial,id_escola,codigo_inep,nome_canonico,indice_carga_potencial,faixa_indice_carga_potencial,score_dimensao_volume,score_dimensao_estrutural,score_dimensao_educacional,score_dimensao_administrativa,sensibilidade_faixa,interpretacao_indice_cautelosa,caso_para_leitura_detalhada,participacao_indice_na_carteira_pct,participacao_acumulada_indice_carteira_pct
outras,Agrupamento residual,1,ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,43.01662457912458,Faixa 3 — intermediária superior,24.51936026936027,52.50673400673401,55.04040404040404,40,Sensibilidade elevada,FALSE,TRUE,55.726393670993055,55.726393670993055
outras,Agrupamento residual,2,ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,34.175925925925924,Faixa 2 — intermediária inferior,16.59175084175084,31.41414141414141,28.697811447811446,60,Sensibilidade elevada,FALSE,TRUE,44.273606329006945,100
amanda,Carteira nominal,1,ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,45.582070707070706,Faixa 3 — intermediária superior,57.07828282828282,66.22727272727272,59.02272727272727,0,Estável nos cenários,FALSE,FALSE,23.624994682887404,23.624994682887404
amanda,Carteira nominal,2,ESC_029,43293069,EMEF MORADAS DA HIPICA,39.68202861952862,Faixa 3 — intermediária superior,66.64562289562289,73.67340067340068,18.40909090909091,0,Sensibilidade elevada,FALSE,TRUE,20.567027794047235,44.19202247693464
amanda,Carteira nominal,3,ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,39.11132154882155,Faixa 2 — intermediária inferior,48.48737373737374,52.48148148148148,55.476430976430976,0,Sensibilidade elevada,FALSE,TRUE,20.271232730290965,64.4632552072256
amanda,Carteira nominal,4,ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,38.048190235690235,Faixa 2 — intermediária inferior,53.26010101010101,32.400673400673405,66.53198653198653,0,Sensibilidade elevada,FALSE,TRUE,19.72021626196623,84.18347146919183
andreia,Carteira nominal,1,ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,50.76494107744108,Faixa 4 — maior carga potencial relativa,70.27020202020202,64.5909090909091,68.1986531986532,0,Estável nos cenários,FALSE,TRUE,23.705477607862946,23.705477607862946
andreia,Carteira nominal,2,ESC_030,43177034,EMEF MORRO DA CRUZ,49.936447811447806,Faixa 4 — maior carga potencial relativa,78.21717171717171,47.449494949494955,74.07912457912457,0,Estável nos cenários,FALSE,TRUE,23.31859981093399,47.024077418796935
andreia,Carteira nominal,3,ESC_044,43167179,EMEF SAINT HILAIRE,49.761574074074076,Faixa 4 — maior carga potencial relativa,80.3543771043771,60.68686868686869,58.005050505050505,0,Sensibilidade moderada,FALSE,TRUE,23.236939803504995,70.26101722230193
clarissa,Carteira nominal,1,ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,54.34469696969697,Faixa 4 — maior carga potencial relativa,95.99158249158249,61.48821548821549,59.8989898989899,0,Estável nos cenários,FALSE,TRUE,23.549441370329706,23.549441370329706
clarissa,Carteira nominal,2,ESC_011,43109225,EMEF DEP VICTOR ISSLER,41.28303872053872,Faixa 3 — intermediária superior,88.06986531986531,42.053872053872055,35.00841750841751,0,Sensibilidade moderada,FALSE,FALSE,17.8893719930112,41.438813363340905
clarissa,Carteira nominal,4,ESC_019,43172474,EMEF JEAN PIAGET,34.43834175084175,Faixa 2 — intermediária inferior,54.89646464646464,39.23063973063974,43.62626262626263,0,Sensibilidade elevada,FALSE,TRUE,14.923327485017492,73.61993120629721
eliane,Carteira nominal,1,ESC_008,43177581,EMEF CHICO MENDES,50.11447811447812,Faixa 4 — maior carga potencial relativa,81.85437710437711,52.64309764309765,65.9604377104377,0,Estável nos cenários,FALSE,TRUE,26.157022977900795,26.157022977900795
eliane,Carteira nominal,2,ESC_052,43173721,EMEF WENCESLAU FONTOURA,46.80429292929293,Faixa 3 — intermediária superior,56.46296296296297,71.8989898989899,58.85521885521885,0,Estável nos cenários,FALSE,FALSE,24.429286938183733,50.58630991608453
graziela,Carteira nominal,1,ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,49.3912037037037,Faixa 4 — maior carga potencial relativa,84.71801346801347,59.14646464646465,53.7003367003367,0,Sensibilidade moderada,FALSE,TRUE,29.812278431008927,29.812278431008927
graziela,Carteira nominal,2,ESC_051,43175120,EMEF VILA MONTE CRISTO,46.91940235690235,Faixa 3 — intermediária superior,68.08838383838383,69.48653198653199,50.102693602693606,0,Sensibilidade moderada,FALSE,FALSE,28.320311755747298,58.132590186756225
jalize,Carteira nominal,1,ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,52.06818181818182,Faixa 4 — maior carga potencial relativa,97.54545454545455,62.61784511784512,48.109427609427605,0,Estável nos cenários,FALSE,TRUE,22.30698393239463,22.30698393239463
jalize,Carteira nominal,2,ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,50.17513093901983,Faixa 4 — maior carga potencial relativa,4.934343434343434,38.10437710437711,87.66180321735877,70,Sensibilidade moderada,TRUE,TRUE,21.495965493300098,43.80294942569473
jalize,Carteira nominal,3,ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,48.763468013468014,Faixa 4 — maior carga potencial relativa,75.08080808080807,52.92255892255893,67.05050505050505,0,Sensibilidade moderada,FALSE,TRUE,20.89118266627145,64.69413209196618
julia,Carteira nominal,1,ESC_026,43109144,EMEF LIDOVINO FANTON,55.232533670033675,Faixa 4 — maior carga potencial relativa,92.02441077441078,55.95454545454545,72.95117845117845,0,Estável nos cenários,FALSE,TRUE,27.70702015334318,27.70702015334318
julia,Carteira nominal,2,ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,50.533670033670035,Faixa 4 — maior carga potencial relativa,77.12626262626263,66.55555555555556,58.45286195286195,0,Estável nos cenários,FALSE,TRUE,25.34986756917386,53.05688772251704
julia,Carteira nominal,3,ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,40.84911616161616,Faixa 3 — intermediária superior,9.364478114478114,43.734006734006734,20.297979797979796,90,Sensibilidade elevada,FALSE,TRUE,20.491677812531996,73.54856553504904
julia,Carteira nominal,4,ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,27.357112794612796,Faixa 1 — menor carga potencial relativa,3.095117845117845,38.976430976430976,17.35690235690236,50,Sensibilidade moderada,FALSE,TRUE,13.723507236983089,87.27207277203212
marian,Carteira nominal,1,ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,45.60079966329967,Faixa 3 — intermediária superior,68.82744107744108,45.24074074074075,68.33501683501684,0,Estável nos cenários,FALSE,FALSE,30.783994226624866,30.783994226624866
marian,Carteira nominal,2,ESC_045,43167535,EMEF SAO PEDRO,41.15530303030303,Faixa 3 — intermediária superior,77.62710437710437,31.481481481481485,55.51262626262626,0,Estável nos cenários,FALSE,FALSE,27.78294723413565,58.56694146076052
nathalia,Carteira nominal,1,ESC_009,43105475,EMEF DECIO MARTINS COSTA,39.634469696969695,Faixa 3 — intermediária superior,74.94444444444444,36.06734006734007,47.52609427609428,0,Estável nos cenários,FALSE,FALSE,20.578851562346347,20.578851562346347
