base,ordem_coluna,variavel,classe_r,valores_ausentes,valores_distintos
analise_carteiras_assessoras,1,assessora_gerencial,character,0,13
analise_carteiras_assessoras,2,tipo_carteira,character,0,3
analise_carteiras_assessoras,3,carteira_nominal,logical,0,2
analise_carteiras_assessoras,4,numero_escolas,integer,0,5
analise_carteiras_assessoras,5,matriculas_anos_iniciais_total,numeric,0,13
analise_carteiras_assessoras,6,escolas_com_matriculas_disponiveis,integer,0,5
analise_carteiras_assessoras,7,turmas_anos_iniciais_total,numeric,1,11
analise_carteiras_assessoras,8,escolas_com_turmas_disponiveis,integer,0,5
analise_carteiras_assessoras,9,etapas_amplas_total,numeric,0,9
analise_carteiras_assessoras,10,series_com_resultado_2026_total,numeric,0,5
analise_carteiras_assessoras,11,series_comparaveis_total,numeric,0,7
analise_carteiras_assessoras,12,escolas_painel_completo,integer,0,6
analise_carteiras_assessoras,13,escolas_painel_incompleto,integer,0,2
analise_carteiras_assessoras,14,previstos_total_2026_carteira,numeric,0,13
analise_carteiras_assessoras,15,avaliados_total_2026_carteira,numeric,0,13
analise_carteiras_assessoras,16,taxa_participacao_agregada_2026,numeric,0,13
analise_carteiras_assessoras,17,proficiencia_multisserie_2026_ponderada,numeric,0,13
analise_carteiras_assessoras,18,pct_defasagem_multisserie_2026_ponderado,numeric,0,13
analise_carteiras_assessoras,19,pct_intermediario_multisserie_2026_ponderado,numeric,0,13
analise_carteiras_assessoras,20,pct_adequado_multisserie_2026_ponderado,numeric,0,13
analise_carteiras_assessoras,21,carga_potencial_total,numeric,0,13
analise_carteiras_assessoras,22,indice_carga_potencial_medio,numeric,0,13
analise_carteiras_assessoras,23,indice_carga_potencial_mediano,numeric,0,13
analise_carteiras_assessoras,24,indice_carga_potencial_desvio,numeric,1,12
analise_carteiras_assessoras,25,indice_carga_potencial_iqr,numeric,1,12
analise_carteiras_assessoras,26,indice_carga_potencial_minimo,numeric,0,13
analise_carteiras_assessoras,27,indice_carga_potencial_maximo,numeric,0,13
analise_carteiras_assessoras,28,indice_carga_potencial_amplitude,numeric,0,13
analise_carteiras_assessoras,29,coeficiente_variacao_indice,numeric,1,12
analise_carteiras_assessoras,30,dimensao_volume_media,numeric,0,13
analise_carteiras_assessoras,31,dimensao_estrutural_media,numeric,0,13
analise_carteiras_assessoras,32,dimensao_educacional_media,numeric,0,13
analise_carteiras_assessoras,33,dimensao_administrativa_media,numeric,0,6
analise_carteiras_assessoras,34,contribuicao_volume_total,numeric,0,13
analise_carteiras_assessoras,35,contribuicao_estrutural_total,numeric,0,13
