produto,ordem_coluna,variavel,classe_r,valores_ausentes,valores_distintos
analise_carteiras_assessoras,1,assessora_gerencial_2026,character,0,11
analise_carteiras_assessoras,2,numero_escolas,integer,0,3
analise_carteiras_assessoras,3,matriculas_anos_iniciais_total,numeric,0,11
analise_carteiras_assessoras,4,escolas_com_matriculas_disponiveis,integer,0,3
analise_carteiras_assessoras,5,turmas_anos_iniciais_total,numeric,0,10
analise_carteiras_assessoras,6,escolas_com_turmas_disponiveis,integer,0,3
analise_carteiras_assessoras,7,etapas_amplas_total,numeric,0,7
analise_carteiras_assessoras,8,soma_indice_operacional_carteira,numeric,0,11
analise_carteiras_assessoras,9,media_indice_operacional_escolas,numeric,0,11
analise_carteiras_assessoras,10,mediana_indice_operacional_escolas,numeric,0,11
analise_carteiras_assessoras,11,desvio_indice_operacional_escolas,numeric,0,11
analise_carteiras_assessoras,12,iqr_indice_operacional_escolas,numeric,0,11
analise_carteiras_assessoras,13,minimo_indice_operacional_escolas,numeric,0,11
analise_carteiras_assessoras,14,maximo_indice_operacional_escolas,numeric,0,11
analise_carteiras_assessoras,15,soma_contribuicao_volume,numeric,0,11
analise_carteiras_assessoras,16,soma_contribuicao_estrutural,numeric,0,11
analise_carteiras_assessoras,17,soma_contribuicao_administrativa,numeric,0,3
analise_carteiras_assessoras,18,media_score_dimensao_volume,numeric,0,11
analise_carteiras_assessoras,19,media_score_dimensao_estrutural,numeric,0,11
analise_carteiras_assessoras,20,media_score_dimensao_administrativa,numeric,0,4
analise_carteiras_assessoras,21,escolas_complexidade_administrativa,integer,0,3
analise_carteiras_assessoras,22,escolas_leitura_operacional_cautelosa,integer,0,1
analise_carteiras_assessoras,23,escolas_divergencia_vinculo_gerencial,integer,0,1
analise_carteiras_assessoras,24,participacao_maior_contribuicao_escola_pct,numeric,0,11
analise_carteiras_assessoras,25,participacao_duas_maiores_contribuicoes_pct,numeric,0,11
analise_carteiras_assessoras,26,hhi_concentracao_escore_operacional,numeric,0,11
analise_carteiras_assessoras,27,participacao_volume_soma_escore_pct,numeric,0,11
analise_carteiras_assessoras,28,participacao_estrutural_soma_escore_pct,numeric,0,11
analise_carteiras_assessoras,29,participacao_administrativa_soma_escore_pct,numeric,0,4
analise_carteiras_assessoras,30,nota_interpretacao,character,0,1
carteira_escola_detalhe,1,assessora_gerencial_2026,character,0,11
carteira_escola_detalhe,2,assessora_vinculo_administrativo,character,0,11
carteira_escola_detalhe,3,divergencia_vinculo_gerencial,logical,0,1
carteira_escola_detalhe,4,id_escola,character,0,53
carteira_escola_detalhe,5,codigo_inep,character,0,53
carteira_escola_detalhe,6,nome_canonico,character,0,53
carteira_escola_detalhe,7,incluir_indice_carga_2026,logical,0,1
