produto,ordem_coluna,variavel,classe_r,descricao,unidade_analise,observacao_metodologica
analise_carteiras_assessoras,1,assessora_gerencial_2026,character,Assessora utilizada para a carteira gerencial de 2026.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,2,numero_escolas,integer,Quantidade de escolas elegíveis incluídas na carteira operacional.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,3,matriculas_anos_iniciais_total,numeric,Variável matriculas anos iniciais total. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,4,escolas_com_matriculas_disponiveis,integer,Variável escolas com matriculas disponiveis. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,5,turmas_anos_iniciais_total,numeric,Variável turmas anos iniciais total. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,6,escolas_com_turmas_disponiveis,integer,Variável escolas com turmas disponiveis. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,7,etapas_amplas_total,numeric,Variável etapas amplas total. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,8,soma_indice_operacional_carteira,numeric,"Soma dos índices operacionais das escolas da carteira; agregado relativo, não carga real total.",assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,9,media_indice_operacional_escolas,numeric,Média simples do índice operacional das escolas da carteira.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,10,mediana_indice_operacional_escolas,numeric,Mediana do índice operacional das escolas da carteira.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,11,desvio_indice_operacional_escolas,numeric,Variável desvio indice operacional escolas. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,12,iqr_indice_operacional_escolas,numeric,Variável iqr indice operacional escolas. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,13,minimo_indice_operacional_escolas,numeric,Variável minimo indice operacional escolas. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,14,maximo_indice_operacional_escolas,numeric,Variável maximo indice operacional escolas. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,15,soma_contribuicao_volume,numeric,Variável soma contribuicao volume. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,16,soma_contribuicao_estrutural,numeric,Variável soma contribuicao estrutural. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,17,soma_contribuicao_administrativa,numeric,Variável soma contribuicao administrativa. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Medida relativa do índice operacional; não equivale à carga real total.
analise_carteiras_assessoras,18,media_score_dimensao_volume,numeric,Variável media score dimensao volume. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,19,media_score_dimensao_estrutural,numeric,Variável media score dimensao estrutural. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,20,media_score_dimensao_administrativa,numeric,Variável media score dimensao administrativa. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
analise_carteiras_assessoras,21,escolas_complexidade_administrativa,integer,Variável escolas complexidade administrativa. Consultar o script canônico do módulo 18.,assessora gerencial de 2026,Usar em conjunto com as demais dimensões e com validação qualitativa.
