arquivo,caminho,existe,tamanho_bytes,md5
analise_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/analise_carteiras_assessoras.csv,TRUE,6717,09a39c8ff8e99a2e08fa8dcaf1934c8d
analise_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/analise_carteiras_assessoras.rds,TRUE,2051,fd5e0f3a600d7effe9fb49b8f94ae43a
detalhe_escolas_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/carteira_escola_detalhe.csv,TRUE,24570,b67c3e52c04086242866809eed56089c
detalhe_escolas_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/carteira_escola_detalhe.rds,TRUE,4071,2ff7621b617715722b652d956d5e2b11
diagnostico_carteiras_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/diagnostico_educacional_carteiras.csv,TRUE,6653,8526e7bb50d2a85ac34e60197ec94595
diagnostico_carteiras_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/diagnostico_educacional_carteiras.rds,TRUE,1699,4f471bbb40ec0020ddea61a6cfec230b
composicao_operacional_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/composicao_operacional_carteiras.csv,TRUE,19967,1381da73d8e195fd691e41ee8d873274
composicao_operacional_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/composicao_operacional_carteiras.rds,TRUE,1318,82d8ea30fb598c6a9380d500219fa79c
universo_institucional_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/universo_institucional_carteiras.csv,TRUE,9009,e2e9d076ae09d8f605c994a97afb722c
universo_institucional_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/universo_institucional_carteiras.rds,TRUE,2051,36cb738f4233fdab02e38ca0344f0db4
dicionario_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/historico/analise_carteiras/transacoes/execucao_20260729_221336/candidatos/dicionario_analise_carteiras.csv,TRUE,26329,fb056b54c2198ac78d24d883a8d0e6eb
