fonte,coluna_obrigatoria,presente
dim_escola,id_escola,TRUE
dim_escola,codigo_inep,TRUE
dim_escola,nome_canonico,TRUE
dim_escola,assessora,TRUE
contexto_2024,id_escola,TRUE
contexto_2024,codigo_inep,TRUE
contexto_2024,nome_canonico,TRUE
contexto_2024,assessora,TRUE
contexto_2024,dependencia_administrativa_2024,TRUE
contexto_2024,situacao_funcionamento_2024,TRUE
contexto_2024,incluir_universo_municipal_direto_2024,TRUE
contexto_2024,incluir_universo_municipal_ampliado_2024,TRUE
contexto_2024,incluir_rede_municipal_operacional_2025,TRUE
contexto_2024,matriculas_anos_iniciais,TRUE
contexto_2024,indice_infraestrutura_basica,TRUE
variacao_qualidade,id_escola,TRUE
variacao_qualidade,ano_escolar,TRUE
variacao_qualidade,componente,TRUE
variacao_qualidade,painel_balanceado,TRUE
variacao_qualidade,painel_resultado_balanceado,TRUE
variacao_qualidade,previstos_2025,TRUE
variacao_qualidade,previstos_2026,TRUE
variacao_qualidade,avaliados_2025,TRUE
variacao_qualidade,avaliados_2026,TRUE
variacao_qualidade,taxa_participacao_2025,TRUE
variacao_qualidade,taxa_participacao_2026,TRUE
variacao_qualidade,proficiencia_media_2025,TRUE
variacao_qualidade,proficiencia_media_2026,TRUE
variacao_qualidade,pct_defasagem_2025,TRUE
variacao_qualidade,pct_defasagem_2026,TRUE
variacao_qualidade,pct_intermediario_2025,TRUE
variacao_qualidade,pct_intermediario_2026,TRUE
variacao_qualidade,pct_adequado_2025,TRUE
variacao_qualidade,pct_adequado_2026,TRUE
variacao_qualidade,delta_participacao,TRUE
variacao_qualidade,delta_proficiencia,TRUE
variacao_qualidade,observacao_composicao,TRUE
base_integrada_anterior,id_escola,TRUE
base_integrada_anterior,codigo_inep,TRUE
base_integrada_anterior,nome_canonico,TRUE
base_integrada_anterior,assessora,TRUE
base_integrada_anterior,ano_escolar,TRUE
base_integrada_anterior,componente,TRUE
estratos_corrigidos,id_escola,TRUE
estratos_corrigidos,ano_escolar,TRUE
estratos_corrigidos,componente,TRUE
estratos_corrigidos,quartil_infraestrutura_escola,TRUE
estratos_corrigidos,faixa_porte_contextual_escola,TRUE
