fonte,ordem_coluna,variavel,classe_r,tipo_r,numero_linhas,valores_ausentes,valores_distintos
cadastro_temporal_56_escolas,1,id_escola,character,character,56,0,56
cadastro_temporal_56_escolas,2,avaliacao_id_2025,character,character,56,0,1
cadastro_temporal_56_escolas,3,avaliacao_id_2026,character,character,56,0,1
cadastro_temporal_56_escolas,4,periodo_programa_2025,character,character,56,0,1
cadastro_temporal_56_escolas,5,periodo_programa_2026,character,character,56,0,1
cadastro_temporal_56_escolas,6,pertence_universo_avaliativo_2025,character,character,56,0,2
cadastro_temporal_56_escolas,7,pertence_universo_avaliativo_2026,character,character,56,0,1
cadastro_temporal_56_escolas,8,elegivel_assessoramento_2025,character,character,56,0,1
cadastro_temporal_56_escolas,9,elegivel_assessoramento_2026,character,character,56,0,2
cadastro_temporal_56_escolas,10,recebe_assessoramento_2025,character,character,56,0,1
cadastro_temporal_56_escolas,11,recebe_assessoramento_2026,character,character,56,0,2
cadastro_temporal_56_escolas,12,exposicao_programa_binaria_2025,integer,integer,56,0,1
cadastro_temporal_56_escolas,13,exposicao_programa_binaria_2026,integer,integer,56,0,2
cadastro_temporal_56_escolas,14,assessora_gerencial_2025,character,character,56,56,0
cadastro_temporal_56_escolas,15,assessora_gerencial_2026,character,character,56,3,11
cadastro_temporal_56_escolas,16,status_carga_operacional_2025,character,character,56,0,1
cadastro_temporal_56_escolas,17,status_carga_operacional_2026,character,character,56,0,2
cadastro_temporal_56_escolas,18,grupo_exposicao_2025,character,character,56,0,1
cadastro_temporal_56_escolas,19,grupo_exposicao_2026,character,character,56,0,2
cadastro_temporal_56_escolas,20,incluir_diagnostico_avaliativo_ampliado_2025,logical,logical,56,0,2
cadastro_temporal_56_escolas,21,incluir_diagnostico_avaliativo_ampliado_2026,logical,logical,56,0,1
cadastro_temporal_56_escolas,22,incluir_resultados_rede_assessorada_2025,logical,logical,56,0,1
cadastro_temporal_56_escolas,23,incluir_resultados_rede_assessorada_2026,logical,logical,56,0,2
cadastro_temporal_56_escolas,24,incluir_indice_carga_2025,logical,logical,56,0,1
cadastro_temporal_56_escolas,25,incluir_indice_carga_2026,logical,logical,56,0,2
cadastro_temporal_56_escolas,26,incluir_nao_exposto_descritivo_2025,logical,logical,56,0,1
cadastro_temporal_56_escolas,27,incluir_nao_exposto_descritivo_2026,logical,logical,56,0,2
cadastro_temporal_56_escolas,28,fonte_validacao_2025,character,character,56,0,1
cadastro_temporal_56_escolas,29,fonte_validacao_2026,character,character,56,0,1
cadastro_temporal_56_escolas,30,data_validacao_2025,Date,double,56,56,0
cadastro_temporal_56_escolas,31,data_validacao_2026,Date,double,56,0,1
cadastro_temporal_56_escolas,32,responsavel_validacao_2025,character,character,56,0,1
cadastro_temporal_56_escolas,33,responsavel_validacao_2026,character,character,56,0,1
cadastro_temporal_56_escolas,34,status_homologacao_2025,character,character,56,0,1
cadastro_temporal_56_escolas,35,status_homologacao_2026,character,character,56,0,1
cadastro_temporal_56_escolas,36,versao_regra_2025,character,character,56,0,1
cadastro_temporal_56_escolas,37,versao_regra_2026,character,character,56,0,1
