ordem_coluna,variavel,classe_r,valores_ausentes,valores_vazios_texto,percentual_ausente,valores_distintos
1,id_escola,character,0,0,0,56
2,codigo_inep,character,0,0,0,56
3,codigo_inep_valido,logical,0,0,0,1
4,nome_canonico,character,0,0,0,56
5,nome_vinculo_original,character,5,0,1.7857142857142858,55
6,chave_nome,character,0,0,0,56
7,assessora,character,5,0,1.7857142857142858,12
8,assessora_vinculo_administrativo,character,0,0,0,13
9,pertence_universo_avaliativo_2025,character,0,0,0,2
10,pertence_universo_avaliativo_2026,character,0,0,0,1
11,elegivel_assessoramento_2025,character,0,0,0,1
12,elegivel_assessoramento_2026,character,0,0,0,2
13,recebe_assessoramento_2025,character,0,0,0,1
14,recebe_assessoramento_2026,character,0,0,0,2
15,exposicao_programa_binaria_2025,integer,0,0,0,1
16,exposicao_programa_binaria_2026,integer,0,0,0,2
17,assessora_gerencial_2025,character,280,0,100,0
18,assessora_gerencial_2026,character,15,0,5.357142857142857,11
19,status_carga_operacional_2025,character,0,0,0,1
20,status_carga_operacional_2026,character,0,0,0,2
21,grupo_exposicao_2025,character,0,0,0,1
22,grupo_exposicao_2026,character,0,0,0,2
23,incluir_diagnostico_avaliativo_ampliado_2025,logical,0,0,0,2
24,incluir_diagnostico_avaliativo_ampliado_2026,logical,0,0,0,1
25,incluir_resultados_rede_assessorada_2025,logical,0,0,0,1
26,incluir_resultados_rede_assessorada_2026,logical,0,0,0,2
27,incluir_indice_carga_2025,logical,0,0,0,1
28,incluir_indice_carga_2026,logical,0,0,0,2
29,incluir_nao_exposto_descritivo_2025,logical,0,0,0,1
30,incluir_nao_exposto_descritivo_2026,logical,0,0,0,2
31,status_homologacao_2025,character,0,0,0,1
32,status_homologacao_2026,character,0,0,0,1
33,versao_regra_2025,character,0,0,0,1
34,versao_regra_2026,character,0,0,0,1
35,ano_escolar,integer,0,0,0,5
36,componente,character,0,0,0,1
37,painel_balanceado,logical,0,0,0,2
38,painel_resultado_balanceado,logical,0,0,0,2
39,contexto_2024_encontrado,logical,0,0,0,1
40,amostra_principal_descritiva,logical,0,0,0,2
41,amostra_municipal_direta_2024,logical,0,0,0,2
42,amostra_municipal_ampliada_2024,logical,0,0,0,2
43,amostra_rede_operacional_2025,logical,0,0,0,2
44,incluir_universo_municipal_direto_2024,logical,0,0,0,2
45,incluir_universo_municipal_ampliado_2024,logical,0,0,0,2
46,incluir_rede_municipal_operacional_2025,logical,0,0,0,2
47,grupo_administrativo_2024_final,character,0,0,0,5
48,tipo_vinculo_rede_final,character,0,0,0,5
49,status_rede_2025_final,character,0,0,0,3
50,dependencia_administrativa_2024,character,0,0,0,3
51,situacao_funcionamento_2024,character,0,0,0,1
52,municipalizada_apos_2024,logical,0,0,0,2
53,privada_vinculada_final,logical,0,0,0,2
54,matriculas_anos_iniciais,numeric,0,0,0,51
55,turmas_anos_iniciais,numeric,0,0,0,20
56,docentes_anos_iniciais,numeric,0,0,0,26
57,alunos_por_turma_anos_iniciais,numeric,5,0,1.7857142857142858,50
58,alunos_por_docente_anos_iniciais,numeric,5,0,1.7857142857142858,55
59,pct_matriculas_anos_iniciais_integral,numeric,0,0,0,38
60,pct_matriculas_educacao_especial,numeric,0,0,0,56
61,pct_matriculas_transporte_publico,numeric,0,0,0,42
62,pct_matriculas_preta_parda_indigena,numeric,0,0,0,56
63,numero_etapas_amplas_ofertadas,numeric,0,0,0,4
64,indice_infraestrutura_basica,numeric,0,0,0,5
65,quartil_infraestrutura_escola,character,10,0,3.5714285714285716,3
66,faixa_porte_contextual_escola,character,10,0,3.5714285714285716,4
67,estratos_corrigidos_disponiveis,logical,0,0,0,2
68,previstos_2025,numeric,11,0,3.9285714285714284,110
69,avaliados_2025,numeric,11,0,3.9285714285714284,95
70,taxa_participacao_2025,numeric,11,0,3.9285714285714284,217
71,proficiencia_media_2025,numeric,11,0,3.9285714285714284,261
72,pct_defasagem_2025,numeric,11,0,3.9285714285714284,250
73,pct_intermediario_2025,numeric,11,0,3.9285714285714284,258
74,pct_adequado_2025,numeric,11,0,3.9285714285714284,259
75,previstos_2026,numeric,4,0,1.4285714285714286,105
76,avaliados_2026,numeric,4,0,1.4285714285714286,103
77,taxa_participacao_2026,numeric,4,0,1.4285714285714286,220
78,proficiencia_media_2026,numeric,4,0,1.4285714285714286,269
79,pct_defasagem_2026,numeric,4,0,1.4285714285714286,261
80,pct_intermediario_2026,numeric,4,0,1.4285714285714286,263
81,pct_adequado_2026,numeric,4,0,1.4285714285714286,263
82,peso_medio_avaliados,numeric,15,0,5.357142857142857,142
83,delta_participacao,numeric,15,0,5.357142857142857,260
84,delta_proficiencia,numeric,15,0,5.357142857142857,263
85,delta_pct_defasagem,numeric,15,0,5.357142857142857,261
86,delta_pct_intermediario,numeric,15,0,5.357142857142857,263
87,delta_pct_adequado,numeric,15,0,5.357142857142857,264
88,variacao_relativa_previstos,numeric,15,0,5.357142857142857,221
89,variacao_relativa_avaliados,numeric,15,0,5.357142857142857,234
90,observacao_composicao,character,0,0,0,8
91,numero_turmas_2025,numeric,11,0,3.9285714285714284,6
92,numero_turmas_2026,numeric,4,0,1.4285714285714286,7
93,presente_2025,logical,0,0,0,2
94,presente_2026,logical,0,0,0,2
95,resultado_disponivel_2025,logical,0,0,0,2
96,resultado_disponivel_2026,logical,0,0,0,2
97,delta_numero_turmas,numeric,15,0,5.357142857142857,5
98,delta_previstos,numeric,15,0,5.357142857142857,66
99,delta_avaliados,numeric,15,0,5.357142857142857,62
