variavel,observacoes_comparaveis,divergencias_maiores_1e_8,diferenca_absoluta_maxima
matriculas_anos_iniciais,280,0,0
turmas_anos_iniciais,280,0,0
docentes_anos_iniciais,280,0,0
alunos_por_turma_anos_iniciais,275,0,0
alunos_por_docente_anos_iniciais,275,0,0
pct_matriculas_anos_iniciais_integral,280,0,0
pct_matriculas_educacao_especial,280,0,0
pct_matriculas_transporte_publico,280,0,0
pct_matriculas_preta_parda_indigena,280,0,0
numero_etapas_amplas_ofertadas,280,0,0
indice_infraestrutura_basica,280,0,0
previstos_2025,269,0,0
avaliados_2025,269,0,0
taxa_participacao_2025,269,0,0
proficiencia_media_2025,269,0,0
pct_defasagem_2025,269,0,0
pct_intermediario_2025,269,0,0
pct_adequado_2025,269,0,0
previstos_2026,276,0,0
avaliados_2026,276,0,0
taxa_participacao_2026,276,0,0
proficiencia_media_2026,276,0,0
pct_defasagem_2026,276,0,0
pct_intermediario_2026,276,0,0
pct_adequado_2026,276,0,0
peso_medio_avaliados,265,0,0
delta_participacao,265,0,0
delta_proficiencia,265,0,0
delta_pct_defasagem,265,0,0
delta_pct_intermediario,265,0,0
delta_pct_adequado,265,0,0
variacao_relativa_previstos,265,0,0
variacao_relativa_avaliados,265,0,0
numero_turmas_2025,269,0,0
numero_turmas_2026,276,0,0
delta_numero_turmas,265,0,0
delta_previstos,265,0,0
delta_avaliados,265,0,0
quartil_porte_anos_iniciais,280,0,0
