fonte,ordem_coluna,variavel,classe_r,numero_na,numero_distintos
cadastro_manual,1,id_escola,character,0,56
cadastro_manual,2,codigo_inep,character,0,56
cadastro_manual,3,nome_canonico,character,0,56
cadastro_manual,4,ano,character,0,1
cadastro_manual,5,avaliacao_id,character,0,1
cadastro_manual,6,elegivel_assessoramento,character,0,2
cadastro_manual,7,recebe_assessoramento,character,0,2
cadastro_manual,8,assessora_gerencial,character,3,11
cadastro_manual,9,status_carga_operacional,character,0,2
cadastro_manual,10,fonte_validacao,character,0,1
cadastro_manual,11,data_validacao,character,0,1
cadastro_manual,12,responsavel_validacao,character,0,1
cadastro_manual,13,observacao_validacao,character,54,2
cadastro_manual,14,status_homologacao,character,0,1
cadastro_manual,15,versao_regra,character,0,1
dim_escola,1,id_escola,character,0,56
dim_escola,2,codigo_inep,character,0,56
dim_escola,3,nome_inep,character,0,56
dim_escola,4,nome_canonico,character,0,56
dim_escola,5,nome_vinculo_original,character,1,55
dim_escola,6,chave_nome,character,0,56
dim_escola,7,assessora,character,1,12
dim_escola,8,metodo_correspondencia_inep,character,0,2
dim_escola,9,status_codigo_inep,character,0,1
dim_escola,10,observacao_codigo_inep,character,51,4
dim_escola,11,tipo_vinculo_rede,character,0,5
dim_escola,12,exposicao_2025_1av,character,0,1
dim_escola,13,programa_iniciado_apos_2025_1av,character,0,1
dim_escola,14,dose_assessoramento_observada,character,0,1
dim_escola,15,possivel_municipalizacao_recente,character,0,2
dim_escola,16,escola_nova_recente,character,0,2
dim_escola,17,status_rede_2025,character,0,3
dim_escola,18,observacao_historico,character,0,7
dim_escola,19,status_validacao,character,0,1
dim_escola,20,dependencia_administrativa_2024,character,0,3
dim_escola,21,situacao_funcionamento_2024,character,0,1
dim_escola,22,grupo_administrativo_2024_final,character,0,5
painel,1,ano,integer,0,2
painel,2,periodo_programa,character,0,2
painel,3,exposicao_programa,numeric,0,2
painel,4,id_escola,character,0,56
painel,5,codigo_inep,logical,545,0
painel,6,nome_canonico,character,0,56
painel,7,assessora,character,6,12
painel,8,ano_escolar,numeric,0,5
painel,9,componente,character,0,1
painel,10,avaliacao,character,0,1
painel,11,numero_turmas,numeric,0,7
painel,12,previstos,numeric,0,129
painel,13,avaliados,numeric,0,115
painel,14,proficiencia_min_turma,numeric,0,93
painel,15,proficiencia_max_turma,numeric,0,81
painel,16,desvio_proficiencia_entre_turmas,numeric,53,375
painel,17,cv_proficiencia_entre_turmas,numeric,53,488
painel,18,menor_participacao_turma,numeric,0,125
painel,19,maior_participacao_turma,numeric,0,89
painel,20,taxa_participacao,numeric,0,390
painel,21,proficiencia_media,numeric,0,516
painel,22,pct_defasagem,numeric,0,503
painel,23,pct_intermediario,numeric,0,509
painel,24,pct_adequado,numeric,0,511
painel,25,soma_niveis_aprendizagem,numeric,0,271
painel,26,diferenca_soma_100,numeric,0,264
painel,27,participacao_70,logical,0,2
painel,28,participacao_80,logical,0,2
painel,29,participacao_90,logical,0,2
painel,30,presente_2025,logical,0,2
painel,31,presente_2026,logical,0,2
painel,32,painel_balanceado,logical,0,2
