fonte,coluna,presente
cadastro_manual,id_escola,TRUE
cadastro_manual,codigo_inep,TRUE
cadastro_manual,nome_canonico,TRUE
cadastro_manual,ano,TRUE
cadastro_manual,avaliacao_id,TRUE
cadastro_manual,elegivel_assessoramento,TRUE
cadastro_manual,recebe_assessoramento,TRUE
cadastro_manual,assessora_gerencial,TRUE
cadastro_manual,status_carga_operacional,TRUE
cadastro_manual,fonte_validacao,TRUE
cadastro_manual,data_validacao,TRUE
cadastro_manual,responsavel_validacao,TRUE
cadastro_manual,observacao_validacao,TRUE
cadastro_manual,status_homologacao,TRUE
cadastro_manual,versao_regra,TRUE
dim_escola,id_escola,TRUE
dim_escola,codigo_inep,TRUE
dim_escola,nome_canonico,TRUE
dim_escola,assessora,TRUE
painel,ano,TRUE
painel,id_escola,TRUE
painel,avaliacao,TRUE
painel,periodo_programa,TRUE
