id_escola,codigo_inep,nome_canonico,assessora,ano_escolar,componente,presente_2025,presente_2026,painel_balanceado,painel_resultado_balanceado,previstos_2025,previstos_2026,variacao_relativa_previstos,avaliados_2025,avaliados_2026,taxa_participacao_2025,taxa_participacao_2026,delta_participacao,proficiencia_media_2025,proficiencia_media_2026,delta_proficiencia,observacao_composicao
ESC_040,,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,23,22,-4.3478260869565215,13,21,56.52173913043478,95.45454545454544,38.93280632411067,94,36,-58,Aumento de participação igual ou superior a 10 p.p.
ESC_036,,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,59,83,40.67796610169491,31,71,52.54237288135593,85.5421686746988,32.99979579334287,95.19354838709675,24.802816901408452,-70.39073148568832,Mudança relevante no público previsto e aumento de participação
ESC_054,,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,24,19,-20.833333333333332,15,18,62.5,94.73684210526316,32.236842105263165,69,48,-21,Mudança relevante no público previsto e aumento de participação
ESC_021,,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,19,41,115.78947368421052,12,36,63.1578947368421,87.8048780487805,24.646983311938392,69,46,-23,Mudança relevante no público previsto e aumento de participação
ESC_038,,EMEF PROF ANA IRIS DO AMARAL,eliane,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,48,40,-16.666666666666668,33,36,68.75,90,21.25,62,55.44444444444444,-6.555555555555557,Aumento de participação igual ou superior a 10 p.p.
ESC_035,,EMEF PORTO NOVO,marian,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,47,45,-4.25531914893617,33,41,70.2127659574468,91.11111111111111,20.89834515366431,67.96969696969697,22.536585365853657,-45.433111603843315,Aumento de participação igual ou superior a 10 p.p.
ESC_056,,EEF ALDEIA LUMIAR,,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,20,23,15,18,16,90,69.56521739130434,-20.434782608695656,62.166666666666664,48,-14.166666666666664,Queda de participação igual ou superior a 10 p.p.
ESC_022,,EMEF JOSE LOUREIRO DA SILVA,jalize,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,79,70,-11.39240506329114,42,51,53.16455696202531,72.85714285714286,19.692585895117546,87.45238095238095,26.84313725490196,-60.60924369747899,Aumento de participação igual ou superior a 10 p.p.
ESC_017,,EMEF GRANDE ORIENTE DO RGS,andreia,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,85,82,-3.5294117647058822,51,65,60,79.26829268292683,19.268292682926827,74.62745098039215,19.123076923076923,-55.50437405731523,Aumento de participação igual ou superior a 10 p.p.
ESC_027,,EMEF MARIO QUINTANA,ruti,1,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,45,46,2.2222222222222223,32,41,71.11111111111111,89.1304347826087,18.019323671497588,16.5,3.7560975609756095,-12.74390243902439,Aumento de participação igual ou superior a 10 p.p.
