id_escola_local,nome_canonico,assessora,chave_nome_local,codigo_inep_candidato,nome_inep_candidato,distancia_edicao,distancia_relativa,decisao_manual,observacao_validacao,observacao_historico
ESC_056,EEF ALDEIA LUMIAR,,ALDEIA LUMIAR,43189768,6002 EEF ALDEIA LUMIAR,5,0.2777777777777778,aceitar,escola filantropica sob supervisao municipal,
ESC_056,EEF ALDEIA LUMIAR,,ALDEIA LUMIAR,43114946,ESCOLA DE ENSINO FUNDAMENTAL LUMIAR,4,0.3076923076923077,rejeitar,,
ESC_056,EEF ALDEIA LUMIAR,,ALDEIA LUMIAR,43009158,EEI SEMEAR,7,0.5384615384615384,rejeitar,,
ESC_056,EEF ALDEIA LUMIAR,,ALDEIA LUMIAR,43004857,EEI CATIVAR,8,0.6153846153846154,rejeitar,,
ESC_056,EEF ALDEIA LUMIAR,,ALDEIA LUMIAR,43008704,EEI PIMPAO,8,0.6153846153846154,rejeitar,,
ESC_001,EEF PEQUENA CASA DA CRIANCA,outras,PEQUENA CASA DA CRIANCA,43105416,6001 EEF PEQUENA CASA DA CRIANCA,5,0.17857142857142858,aceitar,escola privada conveniada sob supervisao municipal,
ESC_001,EEF PEQUENA CASA DA CRIANCA,outras,PEQUENA CASA DA CRIANCA,43187412,CRECHE RECANTO DA CRIANCA,10,0.4,rejeitar,,
ESC_001,EEF PEQUENA CASA DA CRIANCA,outras,PEQUENA CASA DA CRIANCA,43210341,ESC EDUC INF CIA DA CRIANCA,11,0.4074074074074074,rejeitar,,
ESC_001,EEF PEQUENA CASA DA CRIANCA,outras,PEQUENA CASA DA CRIANCA,43045049,EEI TEMPO DA CRIANCA,10,0.43478260869565216,rejeitar,,
ESC_001,EEF PEQUENA CASA DA CRIANCA,outras,PEQUENA CASA DA CRIANCA,43211224,EEI ESPACO CRIANCA,11,0.4782608695652174,rejeitar,,
ESC_013,EMEF ESPIRITO SANTO,priscila,ESPIRITO SANTO,43106331,ESC EST ENS FUN ESPIRITO SANTO,8,0.5333333333333333,aceitar,municipalização recente,
ESC_013,EMEF ESPIRITO SANTO,priscila,ESPIRITO SANTO,43109144,EMEF LIDOVINO FANTON,8,0.5333333333333333,rejeitar,,
ESC_013,EMEF ESPIRITO SANTO,priscila,ESPIRITO SANTO,43004300,EEI IGORZINHO,8,0.5714285714285714,rejeitar,,
ESC_013,EMEF ESPIRITO SANTO,priscila,ESPIRITO SANTO,43048200,EMEF PORTO NOVO,8,0.5714285714285714,rejeitar,,
ESC_013,EMEF ESPIRITO SANTO,priscila,ESPIRITO SANTO,43002200,EEI PAMPEANO,9,0.6428571428571429,rejeitar,,
ESC_014,EMEF EVARISTO GONCALVES NETTO,jalize,EVARISTO GONCALVES NETTO,43106382,ESC EST ENS FUN EVARISTO GONCALVES NETTO,16,0.4,aceitar,municipalização recente,
ESC_014,EMEF EVARISTO GONCALVES NETTO,jalize,EVARISTO GONCALVES NETTO,43046096,EEI BRINCAR E ARTE,16,0.6666666666666666,rejeitar,,
ESC_014,EMEF EVARISTO GONCALVES NETTO,jalize,EVARISTO GONCALVES NETTO,43106056,ESC EST ENS MED CEARA,16,0.6666666666666666,rejeitar,,
ESC_014,EMEF EVARISTO GONCALVES NETTO,jalize,EVARISTO GONCALVES NETTO,43105572,ESC EST NORMAL 1 DE MAIO,16,0.6666666666666666,rejeitar,,
ESC_014,EMEF EVARISTO GONCALVES NETTO,jalize,EVARISTO GONCALVES NETTO,43173632,EMEI VALE VERDE,16,0.6666666666666666,rejeitar,,
ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,23,0.575,aceitar,escola nova,
ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,43215408,ESC EDUC INF PAIXAO DE APRENDER,26,0.65,rejeitar,,
ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,43009166,5226 EEI PROF MARIETA PAIXAO ARAUJO,26,0.65,rejeitar,,
ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,43108083,COL ESTADUAL ODILA GAY DA FONSECA,26,0.65,rejeitar,,
ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,43106048,COL ESTADUAL CARLOS FAGUNDES DE MELLO,26,0.65,rejeitar,,
