nome_completo,grupo,ordinal_position,column_name,data_type,is_nullable,erro_colunas,coluna_normalizada,papel_sugerido
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,1,ano,INT64,YES,,ano,tempo
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,2,sigla_uf,STRING,YES,,sigla_uf,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,3,id_municipio,STRING,YES,,id_municipio,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,4,id_escola,STRING,YES,,id_escola,chave_escola
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,5,rede,STRING,YES,,rede,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,6,tipo_categoria_escola_privada,STRING,YES,,tipo_categoria_escola_privada,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,7,tipo_localizacao,STRING,YES,,tipo_localizacao,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,8,tipo_localizacao_diferenciada,STRING,YES,,tipo_localizacao_diferenciada,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,9,tipo_situacao_funcionamento,STRING,YES,,tipo_situacao_funcionamento,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,10,id_orgao_regional,STRING,YES,,id_orgao_regional,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,11,data_ano_letivo_inicio,DATE,YES,,data_ano_letivo_inicio,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,12,data_ano_letivo_termino,DATE,YES,,data_ano_letivo_termino,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,13,vinculo_secretaria_educacao,INT64,YES,,vinculo_secretaria_educacao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,14,vinculo_seguranca_publica,INT64,YES,,vinculo_seguranca_publica,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,15,vinculo_secretaria_saude,INT64,YES,,vinculo_secretaria_saude,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,16,vinculo_outro_orgao,INT64,YES,,vinculo_outro_orgao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,17,poder_publico_parceria,INT64,YES,,poder_publico_parceria,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,18,tipo_poder_publico_parceria,STRING,YES,,tipo_poder_publico_parceria,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,19,conveniada_poder_publico,INT64,YES,,conveniada_poder_publico,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,20,tipo_convenio_poder_publico,STRING,YES,,tipo_convenio_poder_publico,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,21,forma_contratacao_termo_colaboracao,INT64,YES,,forma_contratacao_termo_colaboracao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,22,forma_contratacao_termo_fomento,INT64,YES,,forma_contratacao_termo_fomento,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,23,forma_contratacao_acordo_cooperacao,INT64,YES,,forma_contratacao_acordo_cooperacao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,24,forma_contratacao_prestacao_servico,INT64,YES,,forma_contratacao_prestacao_servico,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,25,forma_contratacao_cooperacao_tecnica_financeira,INT64,YES,,forma_contratacao_cooperacao_tecnica_financeira,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,26,forma_contratacao_consorcio_publico,INT64,YES,,forma_contratacao_consorcio_publico,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,27,forma_contratacao_parceria_municipal_termo_colaboracao,INT64,YES,,forma_contratacao_parceria_municipal_termo_colaboracao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,28,forma_contratacao_parceria_municipal_termo_fomento,INT64,YES,,forma_contratacao_parceria_municipal_termo_fomento,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,29,forma_contratacao_parceria_municipal_acordo_cooperacao,INT64,YES,,forma_contratacao_parceria_municipal_acordo_cooperacao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,30,forma_contratacao_parceria_municipal_prestacao_servico,INT64,YES,,forma_contratacao_parceria_municipal_prestacao_servico,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,31,forma_contratacao_parceria_municipal_cooperacao_tecnica_financeira,INT64,YES,,forma_contratacao_parceria_municipal_cooperacao_tecnica_financeira,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,32,forma_contratacao_parceria_municipal_consorcio_publico,INT64,YES,,forma_contratacao_parceria_municipal_consorcio_publico,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,33,forma_contratacao_parceria_estadual_termo_colaboracao,INT64,YES,,forma_contratacao_parceria_estadual_termo_colaboracao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,34,forma_contratacao_parceria_estadual_termo_fomento,INT64,YES,,forma_contratacao_parceria_estadual_termo_fomento,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,35,forma_contratacao_parceria_estadual_acordo_cooperacao,INT64,YES,,forma_contratacao_parceria_estadual_acordo_cooperacao,outra
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,36,forma_contratacao_parceria_estadual_prestacao_servico,INT64,YES,,forma_contratacao_parceria_estadual_prestacao_servico,outra
