nome_completo,grupo,ordinal_position,column_name,data_type,is_nullable,erro_colunas,coluna_normalizada,papel_sugerido
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,1,ano,INT64,YES,,ano,tempo
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,4,id_escola,STRING,YES,,id_escola,chave_escola
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,7,tipo_localizacao,STRING,YES,,tipo_localizacao,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,8,tipo_localizacao_diferenciada,STRING,YES,,tipo_localizacao_diferenciada,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,9,tipo_situacao_funcionamento,STRING,YES,,tipo_situacao_funcionamento,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,140,dependencia_pne,INT64,YES,,dependencia_pne,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,142,dependencia_outras,INT64,YES,,dependencia_outras,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,297,etapa_ensino_infantil,INT64,YES,,etapa_ensino_infantil,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,298,etapa_ensino_infantil_creche,INT64,YES,,etapa_ensino_infantil_creche,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,299,etapa_ensino_infantil_pre_escola,INT64,YES,,etapa_ensino_infantil_pre_escola,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,300,etapa_ensino_fundamental,INT64,YES,,etapa_ensino_fundamental,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,301,etapa_ensino_fundamental_anos_iniciais,INT64,YES,,etapa_ensino_fundamental_anos_iniciais,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,302,etapa_ensino_fundamental_anos_finais,INT64,YES,,etapa_ensino_fundamental_anos_finais,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,303,etapa_ensino_medio,INT64,YES,,etapa_ensino_medio,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,304,etapa_ensino_profissional,INT64,YES,,etapa_ensino_profissional,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,305,etapa_ensino_profissional_tecnica,INT64,YES,,etapa_ensino_profissional_tecnica,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,306,etapa_ensino_eja,INT64,YES,,etapa_ensino_eja,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,307,etapa_ensino_eja_fundamental,INT64,YES,,etapa_ensino_eja_fundamental,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,308,etapa_ensino_eja_medio,INT64,YES,,etapa_ensino_eja_medio,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,309,etapa_ensino_especial,INT64,YES,,etapa_ensino_especial,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,310,etapa_ensino_especial_comum,INT64,YES,,etapa_ensino_especial_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,311,etapa_ensino_especial_exclusiva,INT64,YES,,etapa_ensino_especial_exclusiva,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,312,etapa_ensino_creche_comum,INT64,YES,,etapa_ensino_creche_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,313,etapa_ensino_pre_escola_comum,INT64,YES,,etapa_ensino_pre_escola_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,314,etapa_ensino_fundamental_anos_iniciais_comum,INT64,YES,,etapa_ensino_fundamental_anos_iniciais_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,315,etapa_ensino_fundamental_anos_finais_comum,INT64,YES,,etapa_ensino_fundamental_anos_finais_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,316,etapa_ensino_medio_comum,INT64,YES,,etapa_ensino_medio_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,317,etapa_ensino_medio_integrado_comum,INT64,YES,,etapa_ensino_medio_integrado_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,318,etapa_ensino_medio_normal_comum,INT64,YES,,etapa_ensino_medio_normal_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,319,etapa_ensino_profissional_comum,INT64,YES,,etapa_ensino_profissional_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,320,etapa_ensino_eja_fundamental_comum,INT64,YES,,etapa_ensino_eja_fundamental_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,321,etapa_ensino_eja_medio_comum,INT64,YES,,etapa_ensino_eja_medio_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,322,etapa_ensino_eja_profissional_comum,INT64,YES,,etapa_ensino_eja_profissional_comum,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,323,etapa_ensino_creche_especial_exclusiva,INT64,YES,,etapa_ensino_creche_especial_exclusiva,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,324,etapa_ensino_pre_escola_especial_exclusiva,INT64,YES,,etapa_ensino_pre_escola_especial_exclusiva,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,325,etapa_ensino_fundamental_anos_iniciais_especial_exclusiva,INT64,YES,,etapa_ensino_fundamental_anos_iniciais_especial_exclusiva,caracterizacao
basedosdados.br_inep_censo_escolar.escola,Censo Escolar,326,etapa_ensino_fundamental_anos_finais_especial_exclusiva,INT64,YES,,etapa_ensino_fundamental_anos_finais_especial_exclusiva,caracterizacao
