variavel,numero_escolas_com_dado,numero_escolas,cobertura_percentual
conveniada_poder_publico,0,56,0
quantidade_computador,0,56,0
quantidade_computador_aluno,0,56,0
quantidade_sala_existente,0,56,0
tipo_convenio_poder_publico,0,56,0
tipo_categoria_escola_privada,3,56,5.357142857142857
tipo_poder_publico_parceria,3,56,5.357142857142857
observacao_codigo_inep,5,56,8.928571428571429
observacao_historico,5,56,8.928571428571429
vinculo_secretaria_educacao,53,56,94.64285714285714
alunos_por_docente_anos_iniciais,55,56,98.21428571428571
alunos_por_turma_anos_iniciais,55,56,98.21428571428571
assessora,55,56,98.21428571428571
nome_vinculo_original,55,56,98.21428571428571
acessibilidade_corrimao,56,56,100
acessibilidade_elevador,56,56,100
acessibilidade_inexistente,56,56,100
acessibilidade_pisos_tateis,56,56,100
acessibilidade_rampas,56,56,100
agua_potavel,56,56,100
agua_rede_publica,56,56,100
alimentacao,56,56,100
ano,56,56,100
ano_contexto,56,56,100
banheiro,56,56,100
banheiro_pne,56,56,100
biblioteca,56,56,100
biblioteca_sala_leitura,56,56,100
chave_nome,56,56,100
codigo_inep,56,56,100
contexto_pre_programa,56,56,100
cozinha,56,56,100
docentes_anos_iniciais,56,56,100
dose_assessoramento_observada,56,56,100
energia_rede_publica,56,56,100
escola_nova_recente,56,56,100
esgoto_rede_publica,56,56,100
etapa_ensino_eja,56,56,100
etapa_ensino_especial,56,56,100
etapa_ensino_fundamental,56,56,100
etapa_ensino_fundamental_anos_finais,56,56,100
etapa_ensino_fundamental_anos_iniciais,56,56,100
etapa_ensino_infantil,56,56,100
etapa_ensino_medio,56,56,100
exposicao_2025_1av,56,56,100
fonte_contexto,56,56,100
id_escola,56,56,100
id_municipio,56,56,100
indice_infraestrutura_basica,56,56,100
internet,56,56,100
internet_alunos,56,56,100
internet_aprendizagem,56,56,100
laboratorio_ciencias,56,56,100
laboratorio_informatica,56,56,100
matriculas_anos_iniciais,56,56,100
metodo_correspondencia_inep,56,56,100
nome_canonico,56,56,100
nome_inep,56,56,100
numero_etapas_amplas_ofertadas,56,56,100
numero_itens_infraestrutura_disponiveis,56,56,100
numero_itens_infraestrutura_presentes,56,56,100
oferta_anos_finais,56,56,100
oferta_anos_iniciais,56,56,100
oferta_educacao_especial,56,56,100
oferta_educacao_infantil,56,56,100
oferta_eja,56,56,100
pct_matriculas_anos_iniciais_integral,56,56,100
pct_matriculas_educacao_especial,56,56,100
pct_matriculas_preta_parda_indigena,56,56,100
pct_matriculas_transporte_publico,56,56,100
poder_publico_parceria,56,56,100
porte_anos_iniciais,56,56,100
possivel_municipalizacao_recente,56,56,100
possui_espaco_leitura,56,56,100
possui_recurso_acessibilidade,56,56,100
programa_iniciado_apos_2025_1av,56,56,100
quadra_esportes,56,56,100
quadra_esportes_coberta,56,56,100
quantidade_computador_portatil_aluno,56,56,100
quantidade_docente_educacao_basica,56,56,100
quantidade_docente_especial,56,56,100
quantidade_docente_fundamental,56,56,100
quantidade_docente_fundamental_anos_finais,56,56,100
quantidade_docente_fundamental_anos_iniciais,56,56,100
quantidade_matricula_amarela,56,56,100
quantidade_matricula_branca,56,56,100
quantidade_matricula_educacao_basica,56,56,100
quantidade_matricula_eja,56,56,100
quantidade_matricula_especial,56,56,100
quantidade_matricula_especial_comum,56,56,100
quantidade_matricula_especial_exclusiva,56,56,100
quantidade_matricula_feminino,56,56,100
quantidade_matricula_fundamental,56,56,100
quantidade_matricula_fundamental_1_ano,56,56,100
quantidade_matricula_fundamental_2_ano,56,56,100
quantidade_matricula_fundamental_3_ano,56,56,100
quantidade_matricula_fundamental_4_ano,56,56,100
quantidade_matricula_fundamental_5_ano,56,56,100
quantidade_matricula_fundamental_anos_finais,56,56,100
quantidade_matricula_fundamental_anos_finais_integral,56,56,100
quantidade_matricula_fundamental_anos_iniciais,56,56,100
quantidade_matricula_fundamental_anos_iniciais_integral,56,56,100
quantidade_matricula_fundamental_integral,56,56,100
quantidade_matricula_indigena,56,56,100
quantidade_matricula_infantil,56,56,100
quantidade_matricula_masculino,56,56,100
quantidade_matricula_nao_declarada,56,56,100
quantidade_matricula_parda,56,56,100
quantidade_matricula_preta,56,56,100
quantidade_matricula_utiliza_transporte_publico,56,56,100
quantidade_profissional_assistente_social,56,56,100
quantidade_profissional_bibliotecario,56,56,100
quantidade_profissional_coordenador,56,56,100
quantidade_profissional_monitor,56,56,100
quantidade_profissional_pedagogia,56,56,100
quantidade_profissional_psicologo,56,56,100
quantidade_sala_utilizada,56,56,100
quantidade_sala_utilizada_acessivel,56,56,100
quantidade_sala_utilizada_climatizada,56,56,100
quantidade_tablet_aluno,56,56,100
quantidade_turma_educacao_basica,56,56,100
quantidade_turma_fundamental,56,56,100
quantidade_turma_fundamental_anos_finais,56,56,100
quantidade_turma_fundamental_anos_iniciais,56,56,100
quantidade_turma_fundamental_integral,56,56,100
quartil_porte_anos_iniciais,56,56,100
rede,56,56,100
refeitorio,56,56,100
sala_atendimento_especial,56,56,100
sala_leitura,56,56,100
sigla_uf,56,56,100
status_codigo_inep,56,56,100
status_rede_2025,56,56,100
status_validacao,56,56,100
tipo_localizacao,56,56,100
tipo_localizacao_diferenciada,56,56,100
tipo_situacao_funcionamento,56,56,100
tipo_vinculo_rede,56,56,100
turmas_anos_iniciais,56,56,100
