fonte,ano,ano_escolar,nome_original,nome_sem_codigo,chave_nome,arquivo_origem,nome_vinculo_original,assessora,status_correspondencia
CAEd,2025,1,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada
CAEd,2025,2,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada
CAEd,2025,3,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada
CAEd,2025,4,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada
CAEd,2025,5,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada
CAEd,2026,1,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada
CAEd,2026,2,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada
CAEd,2026,3,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada
CAEd,2026,4,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada
CAEd,2026,5,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada
CAEd,2025,1,6002 EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,,,nao_correspondida
CAEd,2025,2,6002 EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,,,nao_correspondida
CAEd,2025,3,6002 EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,,,nao_correspondida
