ano,ano_escolar,etapa,linhas,escolas_nome,escolas_id,linhas_sem_id,proficiencia_valida
2025,1,Painel escola-série-ano,54,54,54,0,54
2025,1,Tabela fato,175,54,54,0,175
2026,1,Painel escola-série-ano,56,56,56,0,56
2026,1,Tabela fato,190,56,56,0,190
2025,2,Painel escola-série-ano,54,54,54,0,54
2025,2,Tabela fato,171,54,54,0,171
2026,2,Painel escola-série-ano,55,55,55,0,55
2026,2,Tabela fato,170,55,55,0,170
2025,3,Painel escola-série-ano,54,54,54,0,54
2025,3,Tabela fato,185,54,54,0,185
2026,3,Painel escola-série-ano,55,55,55,0,55
2026,3,Tabela fato,181,55,55,0,181
2025,4,Painel escola-série-ano,54,54,54,0,54
2025,4,Tabela fato,175,54,54,0,175
2026,4,Painel escola-série-ano,55,55,55,0,55
2026,4,Tabela fato,176,55,55,0,176
2025,5,Painel escola-série-ano,53,53,53,0,53
2025,5,Tabela fato,164,53,53,0,164
2026,5,Painel escola-série-ano,55,55,55,0,55
2026,5,Tabela fato,168,55,55,0,168
