id_escola,nome_canonico,ano_escolar,ano
ESC_013,EMEF ESPIRITO SANTO,1,2026
ESC_013,EMEF ESPIRITO SANTO,2,2026
ESC_013,EMEF ESPIRITO SANTO,3,2026
ESC_013,EMEF ESPIRITO SANTO,4,2026
ESC_013,EMEF ESPIRITO SANTO,5,2026
ESC_014,EMEF EVARISTO GONCALVES NETTO,1,2026
ESC_014,EMEF EVARISTO GONCALVES NETTO,2,2026
ESC_014,EMEF EVARISTO GONCALVES NETTO,3,2026
ESC_014,EMEF EVARISTO GONCALVES NETTO,4,2026
ESC_014,EMEF EVARISTO GONCALVES NETTO,5,2026
ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,5,2026
