fonte,nome_original,chave_origem,chave_dimensao,id_escola_provisorio,nome_canonico,metodo_correspondencia
CAEd,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,ESC_001,EEF PEQUENA CASA DA CRIANCA,exata_normalizada
Contexto CAEd,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,ESC_001,EEF PEQUENA CASA DA CRIANCA,exata_normalizada
CAEd,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,ESC_002,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,exata_normalizada
Contexto CAEd,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,ESC_002,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,exata_normalizada
CAEd,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,ESC_003,EMEF AFONSO GUERREIRO LIMA,exata_normalizada
Contexto CAEd,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,ESC_003,EMEF AFONSO GUERREIRO LIMA,exata_normalizada
CAEd,EMEF AMERICA,EMEF AMERICA,EMEF AMERICA,ESC_004,EMEF AMERICA,exata_normalizada
Contexto CAEd,EMEF AMERICA,EMEF AMERICA,EMEF AMERICA,ESC_004,EMEF AMERICA,exata_normalizada
CAEd,EMEF ARAMY SILVA,EMEF ARAMY SILVA,EMEF ARAMY SILVA,ESC_005,EMEF ARAMY SILVA,exata_normalizada
Contexto CAEd,EMEF ARAMY SILVA,EMEF ARAMY SILVA,EMEF ARAMY SILVA,ESC_005,EMEF ARAMY SILVA,exata_normalizada
CAEd,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,ESC_006,EMEF CAMPOS DO CRISTAL,exata_normalizada
Contexto CAEd,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,ESC_006,EMEF CAMPOS DO CRISTAL,exata_normalizada
CAEd,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,ESC_007,EMEF CHAPEU DO SOL,exata_normalizada
Contexto CAEd,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,ESC_007,EMEF CHAPEU DO SOL,exata_normalizada
CAEd,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,ESC_008,EMEF CHICO MENDES,exata_normalizada
Contexto CAEd,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,ESC_008,EMEF CHICO MENDES,exata_normalizada
CAEd,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,ESC_009,EMEF DECIO MARTINS COSTA,exata_normalizada
Contexto CAEd,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,ESC_009,EMEF DECIO MARTINS COSTA,exata_normalizada
CAEd,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,ESC_010,EMEF DEP MARCIRIO GOULART LOUREIRO,exata_normalizada
Contexto CAEd,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,ESC_010,EMEF DEP MARCIRIO GOULART LOUREIRO,exata_normalizada
CAEd,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,ESC_011,EMEF DEP VICTOR ISSLER,exata_normalizada
Contexto CAEd,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,EMEF DEP VICTOR ISSLER,ESC_011,EMEF DEP VICTOR ISSLER,exata_normalizada
CAEd,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,ESC_012,EMEF DOLORES ALCARAZ CALDAS,exata_normalizada
Contexto CAEd,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,EMEF DOLORES ALCARAZ CALDAS,ESC_012,EMEF DOLORES ALCARAZ CALDAS,exata_normalizada
CAEd,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,ESC_013,EMEF ESPIRITO SANTO,exata_normalizada
Contexto CAEd,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,EMEF ESPIRITO SANTO,ESC_013,EMEF ESPIRITO SANTO,exata_normalizada
CAEd,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,ESC_014,EMEF EVARISTO GONCALVES NETTO,exata_normalizada
Contexto CAEd,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,EMEF EVARISTO GONCALVES NETTO,ESC_014,EMEF EVARISTO GONCALVES NETTO,exata_normalizada
CAEd,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,ESC_015,EMEF GABRIEL OBINO,exata_normalizada
Contexto CAEd,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,EMEF GABRIEL OBINO,ESC_015,EMEF GABRIEL OBINO,exata_normalizada
CAEd,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,ESC_016,EMEF GOV ILDO MENEGHETTI,exata_normalizada
Contexto CAEd,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,EMEF GOV ILDO MENEGHETTI,ESC_016,EMEF GOV ILDO MENEGHETTI,exata_normalizada
CAEd,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,ESC_017,EMEF GRANDE ORIENTE DO RGS,exata_normalizada
Contexto CAEd,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,EMEF GRANDE ORIENTE DO RGS,ESC_017,EMEF GRANDE ORIENTE DO RGS,exata_normalizada
CAEd,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,ESC_018,EMEF HEITOR VILLA LOBOS,exata_normalizada
Contexto CAEd,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,EMEF HEITOR VILLA LOBOS,ESC_018,EMEF HEITOR VILLA LOBOS,exata_normalizada
CAEd,EMEF JEAN PIAGET,EMEF JEAN PIAGET,EMEF JEAN PIAGET,ESC_019,EMEF JEAN PIAGET,exata_normalizada
Contexto CAEd,EMEF JEAN PIAGET,EMEF JEAN PIAGET,EMEF JEAN PIAGET,ESC_019,EMEF JEAN PIAGET,exata_normalizada
CAEd,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,ESC_020,EMEF JOAO ANTONIO SATTE,exata_normalizada
Contexto CAEd,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,EMEF JOAO ANTONIO SATTE,ESC_020,EMEF JOAO ANTONIO SATTE,exata_normalizada
CAEd,EMEF JOAO CARLOS D AVILA PAIXAO CORTES (LACADOR),EMEF JOAO CARLOS D AVILA PAIXAO CORTES LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,validada_manualmente
CAEd,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,exata_normalizada
Contexto CAEd,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,EMEF JOAO CARLOS DAVILA PAIXAO CORTES LACADOR,ESC_021,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,exata_normalizada
CAEd,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,ESC_022,EMEF JOSE LOUREIRO DA SILVA,exata_normalizada
Contexto CAEd,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,EMEF JOSE LOUREIRO DA SILVA,ESC_022,EMEF JOSE LOUREIRO DA SILVA,exata_normalizada
CAEd,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,EMEF JOSE MARIANO BECK,ESC_023,EMEF JOSE MARIANO BECK,exata_normalizada
