fonte,coluna,classe,valores_nao_ausentes,valores_ausentes,valores_distintos
analise_carteiras,assessora_gerencial,character,13,0,13
analise_carteiras,tipo_carteira,character,13,0,3
analise_carteiras,carteira_nominal,logical,13,0,2
analise_carteiras,numero_escolas,integer,13,0,5
analise_carteiras,matriculas_anos_iniciais_total,numeric,13,0,13
analise_carteiras,escolas_com_matriculas_disponiveis,integer,13,0,5
analise_carteiras,turmas_anos_iniciais_total,numeric,12,1,11
analise_carteiras,escolas_com_turmas_disponiveis,integer,13,0,5
analise_carteiras,etapas_amplas_total,numeric,13,0,9
analise_carteiras,series_com_resultado_2026_total,numeric,13,0,5
analise_carteiras,series_comparaveis_total,numeric,13,0,7
analise_carteiras,escolas_painel_completo,integer,13,0,6
analise_carteiras,escolas_painel_incompleto,integer,13,0,2
analise_carteiras,previstos_total_2026_carteira,numeric,13,0,13
analise_carteiras,avaliados_total_2026_carteira,numeric,13,0,13
analise_carteiras,taxa_participacao_agregada_2026,numeric,13,0,13
analise_carteiras,proficiencia_multisserie_2026_ponderada,numeric,13,0,13
analise_carteiras,pct_defasagem_multisserie_2026_ponderado,numeric,13,0,13
analise_carteiras,pct_intermediario_multisserie_2026_ponderado,numeric,13,0,13
analise_carteiras,pct_adequado_multisserie_2026_ponderado,numeric,13,0,13
analise_carteiras,carga_potencial_total,numeric,13,0,13
analise_carteiras,indice_carga_potencial_medio,numeric,13,0,13
analise_carteiras,indice_carga_potencial_mediano,numeric,13,0,13
analise_carteiras,indice_carga_potencial_desvio,numeric,12,1,12
analise_carteiras,indice_carga_potencial_iqr,numeric,12,1,12
analise_carteiras,indice_carga_potencial_minimo,numeric,13,0,13
analise_carteiras,indice_carga_potencial_maximo,numeric,13,0,13
analise_carteiras,indice_carga_potencial_amplitude,numeric,13,0,13
analise_carteiras,coeficiente_variacao_indice,numeric,12,1,12
analise_carteiras,dimensao_volume_media,numeric,13,0,13
analise_carteiras,dimensao_estrutural_media,numeric,13,0,13
analise_carteiras,dimensao_educacional_media,numeric,13,0,13
analise_carteiras,dimensao_administrativa_media,numeric,13,0,6
analise_carteiras,contribuicao_volume_total,numeric,13,0,13
analise_carteiras,contribuicao_estrutural_total,numeric,13,0,13
analise_carteiras,contribuicao_educacional_total,numeric,13,0,13
analise_carteiras,contribuicao_administrativa_total,numeric,13,0,4
analise_carteiras,numero_escolas_faixa_1,integer,13,0,4
analise_carteiras,numero_escolas_faixa_2,integer,13,0,3
analise_carteiras,numero_escolas_faixa_3,integer,13,0,3
analise_carteiras,numero_escolas_faixa_4,integer,13,0,4
analise_carteiras,percentual_escolas_faixa_4,numeric,13,0,7
analise_carteiras,numero_escolas_faixas_3_4,integer,13,0,4
analise_carteiras,percentual_escolas_faixas_3_4,numeric,13,0,8
analise_carteiras,numero_escolas_complexidade_administrativa,integer,13,0,3
analise_carteiras,numero_escolas_interpretacao_cautelosa,integer,13,0,2
analise_carteiras,numero_escolas_sensibilidade_elevada,integer,13,0,4
analise_carteiras,numero_escolas_alerta_composicao,integer,13,0,6
analise_carteiras,numero_escolas_participacao_2026_abaixo_80,integer,13,0,3
analise_carteiras,numero_escolas_leitura_detalhada,integer,13,0,5
analise_carteiras,participacao_maior_escola_carga_total_pct,numeric,13,0,13
analise_carteiras,participacao_duas_maiores_escolas_carga_total_pct,numeric,13,0,12
analise_carteiras,hhi_concentracao_carga_interna,numeric,13,0,13
analise_carteiras,nome_escola_maior_indice,character,13,0,13
analise_carteiras,maior_indice_escola,numeric,13,0,13
analise_carteiras,participacao_volume_contribuicoes_pct,numeric,13,0,13
analise_carteiras,participacao_estrutural_contribuicoes_pct,numeric,13,0,13
analise_carteiras,participacao_educacional_contribuicoes_pct,numeric,13,0,13
analise_carteiras,participacao_administrativa_contribuicoes_pct,numeric,13,0,6
analise_carteiras,participacao_escolas_rede_pct,numeric,13,0,5
analise_carteiras,participacao_matriculas_rede_pct,numeric,13,0,13
analise_carteiras,participacao_turmas_rede_pct,numeric,12,1,11
analise_carteiras,participacao_carga_potencial_rede_pct,numeric,13,0,13
analise_carteiras,razao_participacao_carga_sobre_escolas,numeric,13,0,13
analise_carteiras,diferenca_escolas_referencia_nominal,numeric,11,2,3
analise_carteiras,razao_matriculas_referencia_nominal,numeric,11,2,11
analise_carteiras,razao_turmas_referencia_nominal,numeric,11,2,10
analise_carteiras,razao_carga_potencial_referencia_nominal,numeric,11,2,11
analise_carteiras,diferenca_carga_potencial_referencia_nominal,numeric,11,2,11
analise_carteiras,percentil_carga_total_entre_carteiras_nominais,numeric,11,2,11
analise_carteiras,faixa_carga_total_entre_carteiras_nominais,character,11,2,4
analise_carteiras,percentil_indice_medio_entre_carteiras_nominais,numeric,11,2,11
analise_carteiras,faixa_indice_medio_entre_carteiras_nominais,character,11,2,4
detalhe_escolas,assessora_gerencial,character,56,0,13
detalhe_escolas,tipo_carteira,character,56,0,3
detalhe_escolas,carteira_nominal,logical,56,0,2
detalhe_escolas,ordem_interna_carga_potencial,integer,56,0,6
detalhe_escolas,id_escola,character,56,0,56
detalhe_escolas,codigo_inep,character,56,0,56
detalhe_escolas,nome_canonico,character,56,0,56
detalhe_escolas,matriculas_anos_iniciais,numeric,56,0,51
detalhe_escolas,turmas_anos_iniciais,numeric,56,0,20
detalhe_escolas,turmas_anos_iniciais_validas,numeric,55,1,19
detalhe_escolas,numero_etapas_amplas_ofertadas,numeric,56,0,4
detalhe_escolas,numero_series_resultado_2026,integer,56,0,2
detalhe_escolas,numero_series_comparaveis,integer,56,0,4
detalhe_escolas,painel_completo_cinco_series,logical,56,0,2
detalhe_escolas,qualidade_evidencia_educacional,character,56,0,2
detalhe_escolas,interpretacao_educacional_cautelosa,logical,56,0,2
detalhe_escolas,score_dimensao_volume,numeric,56,0,56
detalhe_escolas,score_dimensao_estrutural,numeric,56,0,56
detalhe_escolas,score_dimensao_educacional,numeric,56,0,56
detalhe_escolas,score_dimensao_administrativa,numeric,56,0,6
detalhe_escolas,indice_carga_potencial,numeric,56,0,56
detalhe_escolas,percentil_indice_carga_potencial,numeric,56,0,56
detalhe_escolas,faixa_indice_carga_potencial,character,56,0,4
detalhe_escolas,indice_carga_potencial_operacional,numeric,56,0,56
detalhe_escolas,faixa_indice_operacional,character,56,0,4
detalhe_escolas,indice_carga_potencial_desafio_educacional,numeric,56,0,56
detalhe_escolas,faixa_indice_desafio_educacional,character,56,0,4
detalhe_escolas,indice_carga_potencial_transicao_administrativa,numeric,56,0,56
detalhe_escolas,faixa_indice_transicao_administrativa,character,56,0,4
detalhe_escolas,contribuicao_volume_indice_principal,numeric,56,0,56
detalhe_escolas,contribuicao_estrutural_indice_principal,numeric,56,0,56
detalhe_escolas,contribuicao_educacional_indice_principal,numeric,56,0,56
detalhe_escolas,contribuicao_administrativa_indice_principal,numeric,56,0,6
detalhe_escolas,numero_cenarios_com_mudanca_faixa,integer,56,0,4
detalhe_escolas,sensibilidade_faixa,character,56,0,3
detalhe_escolas,possui_complexidade_administrativa,logical,56,0,2
detalhe_escolas,interpretacao_indice_cautelosa,logical,56,0,2
detalhe_escolas,painel_incompleto,logical,56,0,2
detalhe_escolas,possui_alerta_composicao,logical,56,0,2
detalhe_escolas,participacao_2026_abaixo_80,logical,56,0,2
detalhe_escolas,caso_para_leitura_detalhada,logical,56,0,2
detalhe_escolas,entre_duas_maiores_cargas_da_carteira,logical,56,0,2
detalhe_escolas,participacao_indice_na_carteira_pct,numeric,56,0,56
detalhe_escolas,participacao_acumulada_indice_carteira_pct,numeric,56,0,45
detalhe_escolas,tipo_vinculo_rede_final,character,56,0,5
detalhe_escolas,status_rede_2025_final,character,56,0,3
detalhe_escolas,municipalizada_apos_2024,logical,56,0,2
detalhe_escolas,escola_nova_recente,logical,56,0,2
cenarios_carteiras,cenario,character,52,0,4
