fonte,coluna_obrigatoria,presente
analise_carteiras,assessora_gerencial,TRUE
analise_carteiras,tipo_carteira,TRUE
analise_carteiras,carteira_nominal,TRUE
analise_carteiras,numero_escolas,TRUE
analise_carteiras,matriculas_anos_iniciais_total,TRUE
analise_carteiras,turmas_anos_iniciais_total,TRUE
analise_carteiras,series_comparaveis_total,TRUE
analise_carteiras,escolas_painel_incompleto,TRUE
analise_carteiras,taxa_participacao_agregada_2026,TRUE
analise_carteiras,carga_potencial_total,TRUE
analise_carteiras,indice_carga_potencial_medio,TRUE
analise_carteiras,indice_carga_potencial_mediano,TRUE
analise_carteiras,indice_carga_potencial_minimo,TRUE
analise_carteiras,indice_carga_potencial_maximo,TRUE
analise_carteiras,dimensao_volume_media,TRUE
analise_carteiras,dimensao_estrutural_media,TRUE
analise_carteiras,dimensao_educacional_media,TRUE
analise_carteiras,dimensao_administrativa_media,TRUE
analise_carteiras,numero_escolas_faixa_1,TRUE
analise_carteiras,numero_escolas_faixa_2,TRUE
analise_carteiras,numero_escolas_faixa_3,TRUE
analise_carteiras,numero_escolas_faixa_4,TRUE
analise_carteiras,numero_escolas_faixas_3_4,TRUE
analise_carteiras,numero_escolas_complexidade_administrativa,TRUE
analise_carteiras,numero_escolas_interpretacao_cautelosa,TRUE
analise_carteiras,numero_escolas_sensibilidade_elevada,TRUE
analise_carteiras,numero_escolas_alerta_composicao,TRUE
analise_carteiras,participacao_maior_escola_carga_total_pct,TRUE
analise_carteiras,participacao_duas_maiores_escolas_carga_total_pct,TRUE
analise_carteiras,nome_escola_maior_indice,TRUE
analise_carteiras,maior_indice_escola,TRUE
analise_carteiras,participacao_escolas_rede_pct,TRUE
analise_carteiras,participacao_matriculas_rede_pct,TRUE
analise_carteiras,participacao_turmas_rede_pct,TRUE
analise_carteiras,participacao_carga_potencial_rede_pct,TRUE
analise_carteiras,razao_carga_potencial_referencia_nominal,TRUE
analise_carteiras,faixa_carga_total_entre_carteiras_nominais,TRUE
analise_carteiras,faixa_indice_medio_entre_carteiras_nominais,TRUE
detalhe_escolas,assessora_gerencial,TRUE
detalhe_escolas,tipo_carteira,TRUE
detalhe_escolas,carteira_nominal,TRUE
detalhe_escolas,ordem_interna_carga_potencial,TRUE
detalhe_escolas,id_escola,TRUE
detalhe_escolas,codigo_inep,TRUE
detalhe_escolas,nome_canonico,TRUE
detalhe_escolas,matriculas_anos_iniciais,TRUE
detalhe_escolas,turmas_anos_iniciais,TRUE
detalhe_escolas,numero_series_resultado_2026,TRUE
detalhe_escolas,numero_series_comparaveis,TRUE
detalhe_escolas,painel_completo_cinco_series,TRUE
detalhe_escolas,qualidade_evidencia_educacional,TRUE
detalhe_escolas,score_dimensao_volume,TRUE
detalhe_escolas,score_dimensao_estrutural,TRUE
detalhe_escolas,score_dimensao_educacional,TRUE
detalhe_escolas,score_dimensao_administrativa,TRUE
detalhe_escolas,indice_carga_potencial,TRUE
detalhe_escolas,faixa_indice_carga_potencial,TRUE
detalhe_escolas,sensibilidade_faixa,TRUE
detalhe_escolas,possui_complexidade_administrativa,TRUE
detalhe_escolas,interpretacao_indice_cautelosa,TRUE
detalhe_escolas,painel_incompleto,TRUE
detalhe_escolas,possui_alerta_composicao,TRUE
detalhe_escolas,participacao_2026_abaixo_80,TRUE
detalhe_escolas,participacao_indice_na_carteira_pct,TRUE
detalhe_escolas,tipo_vinculo_rede_final,TRUE
detalhe_escolas,status_rede_2025_final,TRUE
cenarios_carteiras,cenario,TRUE
cenarios_carteiras,descricao_cenario,TRUE
cenarios_carteiras,assessora_gerencial,TRUE
cenarios_carteiras,tipo_carteira,TRUE
cenarios_carteiras,carteira_nominal,TRUE
cenarios_carteiras,numero_escolas,TRUE
cenarios_carteiras,carga_potencial_total_cenario,TRUE
cenarios_carteiras,indice_medio_cenario,TRUE
cenarios_carteiras,participacao_carga_rede_cenario_pct,TRUE
cenarios_carteiras,ordem_carga_total_carteiras_nominais,TRUE
cenarios_carteiras,faixa_carga_total_cenario_carteiras_nominais,TRUE
cenarios_carteiras,diferenca_carga_total_para_equilibrado,TRUE
cenarios_carteiras,mudanca_ordem_nominais_para_equilibrado,TRUE
cenarios_carteiras,mudou_faixa_carga_total_carteira,TRUE
fichas_escolas,id_escola,TRUE
fichas_escolas,assessora_gerencial,TRUE
fichas_escolas,arquivo_html,TRUE
fichas_escolas,observacoes_composicao_limpa,TRUE
fichas_escolas,status_geracao,TRUE
fichas_escolas,html_existe,TRUE
