base,coluna,classe,valores_nao_ausentes,valores_ausentes,valores_distintos
base_fichas_carteiras,assessora_gerencial,character,13,0,13
base_fichas_carteiras,nome_exibicao,character,13,0,13
base_fichas_carteiras,tipo_carteira,character,13,0,3
base_fichas_carteiras,carteira_nominal,logical,13,0,2
base_fichas_carteiras,numero_escolas,integer,13,0,5
base_fichas_carteiras,matriculas_anos_iniciais_total,numeric,13,0,13
base_fichas_carteiras,turmas_anos_iniciais_total,numeric,12,1,11
base_fichas_carteiras,series_comparaveis_total,numeric,13,0,7
base_fichas_carteiras,escolas_painel_completo,integer,13,0,6
base_fichas_carteiras,escolas_painel_incompleto,integer,13,0,2
base_fichas_carteiras,taxa_participacao_agregada_2026,numeric,13,0,13
base_fichas_carteiras,carga_potencial_total,numeric,13,0,13
base_fichas_carteiras,indice_carga_potencial_medio,numeric,13,0,13
base_fichas_carteiras,indice_carga_potencial_mediano,numeric,13,0,13
base_fichas_carteiras,indice_carga_potencial_minimo,numeric,13,0,13
base_fichas_carteiras,indice_carga_potencial_maximo,numeric,13,0,13
base_fichas_carteiras,dimensao_volume_media,numeric,13,0,13
base_fichas_carteiras,dimensao_estrutural_media,numeric,13,0,13
base_fichas_carteiras,dimensao_educacional_media,numeric,13,0,13
base_fichas_carteiras,dimensao_administrativa_media,numeric,13,0,6
base_fichas_carteiras,numero_escolas_faixa_1,integer,13,0,4
base_fichas_carteiras,numero_escolas_faixa_2,integer,13,0,3
base_fichas_carteiras,numero_escolas_faixa_3,integer,13,0,3
base_fichas_carteiras,numero_escolas_faixa_4,integer,13,0,4
base_fichas_carteiras,numero_escolas_complexidade_administrativa,integer,13,0,3
base_fichas_carteiras,numero_escolas_interpretacao_cautelosa,integer,13,0,2
base_fichas_carteiras,numero_escolas_sensibilidade_elevada,integer,13,0,4
base_fichas_carteiras,numero_escolas_alerta_composicao,integer,13,0,6
base_fichas_carteiras,numero_escolas_participacao_2026_abaixo_80,integer,13,0,3
base_fichas_carteiras,participacao_maior_escola_carga_total_pct,numeric,13,0,13
base_fichas_carteiras,participacao_duas_maiores_escolas_carga_total_pct,numeric,13,0,12
base_fichas_carteiras,nome_escola_maior_indice,character,13,0,13
base_fichas_carteiras,maior_indice_escola,numeric,13,0,13
base_fichas_carteiras,participacao_escolas_rede_pct,numeric,13,0,5
base_fichas_carteiras,participacao_matriculas_rede_pct,numeric,13,0,13
base_fichas_carteiras,participacao_turmas_rede_pct,numeric,12,1,11
base_fichas_carteiras,participacao_carga_potencial_rede_pct,numeric,13,0,13
base_fichas_carteiras,razao_escolas_referencia_nominal,numeric,13,0,5
base_fichas_carteiras,razao_matriculas_referencia_nominal_ficha,numeric,13,0,13
base_fichas_carteiras,razao_turmas_referencia_nominal_ficha,numeric,12,1,11
base_fichas_carteiras,razao_carga_referencia_nominal_ficha,numeric,13,0,13
base_fichas_carteiras,razao_indice_medio_referencia_nominal,numeric,13,0,13
base_fichas_carteiras,faixa_carga_total_entre_carteiras_nominais,character,11,2,4
base_fichas_carteiras,faixa_indice_medio_entre_carteiras_nominais,character,11,2,4
base_fichas_carteiras,perfil_carga_descritivo,character,13,0,7
base_fichas_carteiras,exige_validacao_qualitativa_prioritaria,logical,13,0,2
base_fichas_carteiras,arquivo_html,character,13,0,13
base_fichas_carteiras,arquivo_grafico_carga,character,13,0,13
base_fichas_carteiras,arquivo_grafico_dimensoes,character,13,0,13
base_fichas_carteiras,arquivo_grafico_escolas,character,13,0,13
base_fichas_carteiras,arquivo_grafico_cenarios,character,13,0,13
base_fichas_carteiras,status_geracao,character,13,0,1
base_fichas_carteiras,mensagem_erro,character,0,13,0
base_fichas_carteiras,html_existe,logical,13,0,1
base_fichas_carteiras,grafico_carga_existe,logical,13,0,1
base_fichas_carteiras,grafico_dimensoes_existe,logical,13,0,1
base_fichas_carteiras,grafico_escolas_existe,logical,13,0,1
base_fichas_carteiras,grafico_cenarios_existe,logical,13,0,1
