arquivo,caminho,existe,tamanho_bytes,md5,md5_esperado,hash_aprovado
analise_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.csv,TRUE,6717,09a39c8ff8e99a2e08fa8dcaf1934c8d,09a39c8ff8e99a2e08fa8dcaf1934c8d,TRUE
analise_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/analise_carteiras_assessoras.rds,TRUE,2051,fd5e0f3a600d7effe9fb49b8f94ae43a,fd5e0f3a600d7effe9fb49b8f94ae43a,TRUE
detalhe_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.csv,TRUE,24570,b67c3e52c04086242866809eed56089c,b67c3e52c04086242866809eed56089c,TRUE
detalhe_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.rds,TRUE,4071,2ff7621b617715722b652d956d5e2b11,2ff7621b617715722b652d956d5e2b11,TRUE
composicao_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.csv,TRUE,19967,1381da73d8e195fd691e41ee8d873274,1381da73d8e195fd691e41ee8d873274,TRUE
composicao_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/composicao_operacional_carteiras.rds,TRUE,1318,82d8ea30fb598c6a9380d500219fa79c,82d8ea30fb598c6a9380d500219fa79c,TRUE
diagnostico_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.csv,TRUE,6653,8526e7bb50d2a85ac34e60197ec94595,8526e7bb50d2a85ac34e60197ec94595,TRUE
diagnostico_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/diagnostico_educacional_carteiras.rds,TRUE,1699,4f471bbb40ec0020ddea61a6cfec230b,4f471bbb40ec0020ddea61a6cfec230b,TRUE
universo_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.csv,TRUE,9009,e2e9d076ae09d8f605c994a97afb722c,e2e9d076ae09d8f605c994a97afb722c,TRUE
universo_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.rds,TRUE,2051,36cb738f4233fdab02e38ca0344f0db4,36cb738f4233fdab02e38ca0344f0db4,TRUE
fichas_escolas_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_fichas_escolas.csv,TRUE,46457,3c4dfc1808301f00d4fc8d3ffddc90bf,3c4dfc1808301f00d4fc8d3ffddc90bf,TRUE
fichas_escolas_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/base_fichas_escolas.rds,TRUE,11357,8e088b4d02ef27b585c767f9f035f5fc,8e088b4d02ef27b585c767f9f035f5fc,TRUE
indice_escolas_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_escolas.csv,TRUE,29423,4123a146f31a23d6a6077806d8aa04d2,4123a146f31a23d6a6077806d8aa04d2,TRUE
indice_escolas_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_fichas_escolas.rds,TRUE,4103,5a14e9f191d7c1505e3389931052607d,5a14e9f191d7c1505e3389931052607d,TRUE
