assessora_gerencial_2026,status_geracao,mensagem_erro,arquivo_html,html_existe,arquivo_grafico_dimensoes,grafico_dimensoes_existe,arquivo_grafico_composicao,grafico_composicao_existe,arquivo_grafico_participacao,grafico_participacao_existe,arquivo_grafico_proficiencia,grafico_proficiencia_existe
amanda,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/html/carteira_amanda.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_amanda_dimensoes.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_amanda_composicao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_amanda_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_amanda_proficiencia.png,TRUE
andreia,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/html/carteira_andreia.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_andreia_dimensoes.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_andreia_composicao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_andreia_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_andreia_proficiencia.png,TRUE
clarissa,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/html/carteira_clarissa.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_clarissa_dimensoes.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_clarissa_composicao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_clarissa_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_clarissa_proficiencia.png,TRUE
eliane,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/html/carteira_eliane.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_eliane_dimensoes.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_eliane_composicao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_eliane_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_eliane_proficiencia.png,TRUE
graziela,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/html/carteira_graziela.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_graziela_dimensoes.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_graziela_composicao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_graziela_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_graziela_proficiencia.png,TRUE
jalize,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/html/carteira_jalize.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_jalize_dimensoes.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_jalize_composicao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_jalize_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_jalize_proficiencia.png,TRUE
julia,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/html/carteira_julia.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_julia_dimensoes.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_julia_composicao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_julia_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_julia_proficiencia.png,TRUE
marian,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/html/carteira_marian.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_marian_dimensoes.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_marian_composicao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_marian_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_marian_proficiencia.png,TRUE
nathalia,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/html/carteira_nathalia.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_nathalia_dimensoes.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_nathalia_composicao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_nathalia_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_nathalia_proficiencia.png,TRUE
priscila,SUCESSO,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/html/carteira_priscila.html,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_priscila_dimensoes.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_priscila_composicao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_priscila_participacao.png,TRUE,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_carteiras/transacoes/execucao_20260730_212403/candidatos/graficos/carteira_priscila_proficiencia.png,TRUE
