teste,categoria,severidade,valor_observado,criterio,resultado,nivel,observacao
Branch,execucao,erro,refatoracao_modulo_21,refatoracao_modulo_21,TRUE,OK,
HEAD,execucao,erro,08909963e394556d32711ceba66d18b80664efff,08909963e394556d32711ceba66d18b80664efff,TRUE,OK,
Entradas equivalentes,integridade,erro,7,7,TRUE,OK,
Carteiras,universo,erro,11,11,TRUE,OK,
Escolas,universo,erro,53,53,TRUE,OK,
Composição,universo,erro,99,99,TRUE,OK,
Diagnóstico,universo,erro,11,11,TRUE,OK,
Base,produto,erro,11,11,TRUE,OK,
Índice fichas,produto,erro,11,11,TRUE,OK,
HTMLs,produto,erro,11,11,TRUE,OK,
Gráficos,produto,erro,44,44,TRUE,OK,
HTML compilado,produto,erro,TRUE,TRUE,TRUE,OK,
Candidatos equivalentes,integridade,erro,2,2,TRUE,OK,
