produto,ordem_coluna,variavel,classe_r,observacao_metodologica
base_fichas_carteiras,1,assessora_gerencial_2026,character,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,2,numero_escolas,integer,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,3,matriculas_anos_iniciais_total,numeric,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,4,turmas_anos_iniciais_total,numeric,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,5,carga_operacional_total,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,6,indice_operacional_medio,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,7,indice_operacional_mediano,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,8,indice_operacional_minimo,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,9,indice_operacional_maximo,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,10,dimensao_volume_media,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,11,dimensao_estrutural_media,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,12,dimensao_administrativa_media,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,13,contribuicao_volume_total,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,14,contribuicao_estrutura_total,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,15,contribuicao_administracao_total,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,16,participacao_maior_escola_pct,numeric,Resultado educacional descritivo; não avalia a assessora.
base_fichas_carteiras,17,participacao_duas_maiores_pct,numeric,Resultado educacional descritivo; não avalia a assessora.
base_fichas_carteiras,18,ref_carga,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,19,ref_indice,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,20,ref_volume,numeric,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,21,ref_estrutura,numeric,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,22,ref_administracao,numeric,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,23,diferenca_carga_referencia,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,24,diferenca_indice_referencia,numeric,Medida operacional relativa; não equivale à carga real total.
base_fichas_carteiras,25,html_nome,character,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,26,g_dim,character,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,27,g_comp,character,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,28,g_part,character,Usar com leitura contextual e qualitativa.
base_fichas_carteiras,29,g_prof,character,Usar com leitura contextual e qualitativa.
indice_fichas_carteiras,1,assessora_gerencial_2026,character,Usar com leitura contextual e qualitativa.
indice_fichas_carteiras,2,status_geracao,character,Usar com leitura contextual e qualitativa.
indice_fichas_carteiras,3,mensagem_erro,character,Usar com leitura contextual e qualitativa.
indice_fichas_carteiras,4,arquivo_html,character,Usar com leitura contextual e qualitativa.
indice_fichas_carteiras,5,arquivo_grafico_dimensoes,character,Usar com leitura contextual e qualitativa.
indice_fichas_carteiras,6,arquivo_grafico_composicao,character,Usar com leitura contextual e qualitativa.
indice_fichas_carteiras,7,arquivo_grafico_participacao,character,Resultado educacional descritivo; não avalia a assessora.
indice_fichas_carteiras,8,arquivo_grafico_proficiencia,character,Resultado educacional descritivo; não avalia a assessora.
indice_fichas_carteiras,9,html_existe,logical,Usar com leitura contextual e qualitativa.
indice_fichas_carteiras,10,grafico_dimensoes_existe,logical,Usar com leitura contextual e qualitativa.
indice_fichas_carteiras,11,grafico_composicao_existe,logical,Usar com leitura contextual e qualitativa.
indice_fichas_carteiras,12,grafico_participacao_existe,logical,Resultado educacional descritivo; não avalia a assessora.
indice_fichas_carteiras,13,grafico_proficiencia_existe,logical,Resultado educacional descritivo; não avalia a assessora.
