ordem,variavel,classe,descricao,numero_na,percentual_na
1,id_escola,character,Identificador interno estável da escola.,0,0
2,codigo_inep,character,Código INEP da escola.,0,0
3,nome_canonico,character,Nome canônico da escola.,0,0
4,assessora_gerencial,character,Categoria administrativa utilizada para organizar a carteira.,0,0
5,tipo_carteira,character,"Classificação da carteira como nominal, residual ou sem vinculação.",0,0
6,grupo_administrativo_2024_final,character,Variável grupo administrativo 2024 final. Consulte os módulos 16 a 19 para a definição operacional.,0,0
7,tipo_vinculo_rede_final,character,Variável tipo vinculo rede final. Consulte os módulos 16 a 19 para a definição operacional.,0,0
8,status_rede_2025_final,character,Variável status rede 2025 final. Consulte os módulos 16 a 19 para a definição operacional.,0,0
9,matriculas_anos_iniciais,numeric,Variável matriculas anos iniciais. Consulte os módulos 16 a 19 para a definição operacional.,0,0
10,turmas_anos_iniciais,numeric,Variável turmas anos iniciais. Consulte os módulos 16 a 19 para a definição operacional.,0,0
11,numero_series_resultado_2025,integer,Variável numero series resultado 2025. Consulte os módulos 16 a 19 para a definição operacional.,0,0
12,numero_series_resultado_2026,integer,Variável numero series resultado 2026. Consulte os módulos 16 a 19 para a definição operacional.,0,0
13,numero_series_comparaveis,integer,Variável numero series comparaveis. Consulte os módulos 16 a 19 para a definição operacional.,0,0
14,taxa_participacao_escola_2025,numeric,Variável taxa participacao escola 2025. Consulte os módulos 16 a 19 para a definição operacional.,2,3.5714285714285716
15,taxa_participacao_escola_2026,numeric,Variável taxa participacao escola 2026. Consulte os módulos 16 a 19 para a definição operacional.,0,0
16,delta_participacao_escola,numeric,Variável delta participacao escola. Consulte os módulos 16 a 19 para a definição operacional.,2,3.5714285714285716
17,proficiencia_multisserie_ponderada_2025,numeric,Variável proficiencia multisserie ponderada 2025. Consulte os módulos 16 a 19 para a definição operacional.,2,3.5714285714285716
18,proficiencia_multisserie_ponderada_2026,numeric,Variável proficiencia multisserie ponderada 2026. Consulte os módulos 16 a 19 para a definição operacional.,0,0
19,delta_proficiencia_multisserie_ponderada,numeric,Variável delta proficiencia multisserie ponderada. Consulte os módulos 16 a 19 para a definição operacional.,2,3.5714285714285716
20,score_dimensao_volume,numeric,Variável score dimensao volume. Consulte os módulos 16 a 19 para a definição operacional.,0,0
21,score_dimensao_estrutural,numeric,Variável score dimensao estrutural. Consulte os módulos 16 a 19 para a definição operacional.,0,0
22,score_dimensao_educacional,numeric,Variável score dimensao educacional. Consulte os módulos 16 a 19 para a definição operacional.,0,0
23,score_dimensao_administrativa,numeric,Variável score dimensao administrativa. Consulte os módulos 16 a 19 para a definição operacional.,0,0
24,indice_carga_potencial,numeric,"Escore relativo e descritivo de carga potencial, de 0 a 100.",0,0
25,faixa_indice_carga_potencial,character,Quartil relativo do índice de carga potencial.,0,0
26,qualidade_evidencia_educacional,character,Variável qualidade evidencia educacional. Consulte os módulos 16 a 19 para a definição operacional.,0,0
27,interpretacao_educacional_cautelosa,logical,Variável interpretacao educacional cautelosa. Consulte os módulos 16 a 19 para a definição operacional.,0,0
28,interpretacao_indice_cautelosa,logical,Variável interpretacao indice cautelosa. Consulte os módulos 16 a 19 para a definição operacional.,0,0
29,possui_complexidade_administrativa,logical,Variável possui complexidade administrativa. Consulte os módulos 16 a 19 para a definição operacional.,0,0
30,possui_alerta_composicao,logical,Variável possui alerta composicao. Consulte os módulos 16 a 19 para a definição operacional.,0,0
31,painel_incompleto,logical,Variável painel incompleto. Consulte os módulos 16 a 19 para a definição operacional.,0,0
32,sensibilidade_faixa,character,Variável sensibilidade faixa. Consulte os módulos 16 a 19 para a definição operacional.,0,0
33,participacao_indice_na_carteira_pct,numeric,Variável participacao indice na carteira pct. Consulte os módulos 16 a 19 para a definição operacional.,0,0
34,observacoes_composicao_limpa,character,"Síntese textual de alertas de composição, sem mensagens contraditórias.",0,0
35,arquivo_html,character,Caminho do arquivo HTML individual da ficha escolar.,0,0
36,arquivo_grafico_dimensoes,character,Variável arquivo grafico dimensoes. Consulte os módulos 16 a 19 para a definição operacional.,0,0
37,arquivo_grafico_participacao,character,Variável arquivo grafico participacao. Consulte os módulos 16 a 19 para a definição operacional.,0,0
38,arquivo_grafico_proficiencia,character,Variável arquivo grafico proficiencia. Consulte os módulos 16 a 19 para a definição operacional.,0,0
39,status_geracao,character,Situação da geração da ficha individual.,0,0
40,mensagem_erro,character,Variável mensagem erro. Consulte os módulos 16 a 19 para a definição operacional.,56,100
41,html_existe,logical,Variável html existe. Consulte os módulos 16 a 19 para a definição operacional.,0,0
42,grafico_dimensoes_existe,logical,Variável grafico dimensoes existe. Consulte os módulos 16 a 19 para a definição operacional.,0,0
43,grafico_participacao_existe,logical,Variável grafico participacao existe. Consulte os módulos 16 a 19 para a definição operacional.,0,0
44,grafico_proficiencia_existe,logical,Variável grafico proficiencia existe. Consulte os módulos 16 a 19 para a definição operacional.,0,0
