fonte,coluna_obrigatoria,presente
perfil_escola,id_escola,TRUE
perfil_escola,codigo_inep,TRUE
perfil_escola,nome_canonico,TRUE
perfil_escola,assessora_gerencial,TRUE
perfil_escola,grupo_administrativo_2024_final,TRUE
perfil_escola,tipo_vinculo_rede_final,TRUE
perfil_escola,status_rede_2025_final,TRUE
perfil_escola,observacao_administrativa_final,TRUE
perfil_escola,municipalizada_apos_2024,TRUE
perfil_escola,escola_nova_recente,TRUE
perfil_escola,matriculas_anos_iniciais,TRUE
perfil_escola,turmas_anos_iniciais,TRUE
perfil_escola,docentes_anos_iniciais,TRUE
perfil_escola,alunos_por_turma_anos_iniciais,TRUE
perfil_escola,alunos_por_docente_anos_iniciais,TRUE
perfil_escola,porte_anos_iniciais,TRUE
perfil_escola,numero_etapas_amplas_ofertadas,TRUE
perfil_escola,oferta_educacao_infantil,TRUE
perfil_escola,oferta_anos_finais,TRUE
perfil_escola,oferta_eja,TRUE
perfil_escola,oferta_educacao_especial,TRUE
perfil_escola,pct_matriculas_anos_iniciais_integral,TRUE
perfil_escola,pct_matriculas_educacao_especial,TRUE
perfil_escola,pct_matriculas_transporte_publico,TRUE
perfil_escola,indice_infraestrutura_basica,TRUE
perfil_escola,numero_itens_infraestrutura_presentes,TRUE
perfil_escola,quantidade_sala_utilizada,TRUE
perfil_escola,possui_espaco_leitura,TRUE
perfil_escola,possui_recurso_acessibilidade,TRUE
perfil_escola,laboratorio_ciencias,TRUE
perfil_escola,laboratorio_informatica,TRUE
perfil_escola,quadra_esportes,TRUE
perfil_escola,internet_aprendizagem,TRUE
perfil_escola,internet_alunos,TRUE
perfil_escola,sala_atendimento_especial,TRUE
perfil_escola,numero_series_resultado_2025,TRUE
perfil_escola,numero_series_resultado_2026,TRUE
perfil_escola,numero_series_comparaveis,TRUE
perfil_escola,painel_completo_cinco_series,TRUE
perfil_escola,previstos_total_2025,TRUE
perfil_escola,avaliados_total_2025,TRUE
perfil_escola,taxa_participacao_escola_2025,TRUE
perfil_escola,proficiencia_multisserie_ponderada_2025,TRUE
perfil_escola,previstos_total_2026,TRUE
perfil_escola,avaliados_total_2026,TRUE
perfil_escola,taxa_participacao_escola_2026,TRUE
perfil_escola,proficiencia_multisserie_ponderada_2026,TRUE
perfil_escola,pct_defasagem_multisserie_ponderado_2026,TRUE
perfil_escola,pct_intermediario_multisserie_ponderado_2026,TRUE
perfil_escola,pct_adequado_multisserie_ponderado_2026,TRUE
perfil_escola,delta_participacao_escola,TRUE
perfil_escola,delta_proficiencia_multisserie_ponderada,TRUE
perfil_escola,possui_alerta_composicao,TRUE
perfil_escola,observacoes_composicao,TRUE
perfil_serie,id_escola,TRUE
perfil_serie,codigo_inep,TRUE
perfil_serie,nome_canonico,TRUE
perfil_serie,assessora_gerencial,TRUE
perfil_serie,ano_escolar,TRUE
perfil_serie,componente,TRUE
perfil_serie,painel_resultado_balanceado,TRUE
perfil_serie,previstos_2025,TRUE
perfil_serie,avaliados_2025,TRUE
perfil_serie,taxa_participacao_2025,TRUE
perfil_serie,proficiencia_media_2025,TRUE
perfil_serie,pct_defasagem_2025,TRUE
perfil_serie,pct_intermediario_2025,TRUE
perfil_serie,pct_adequado_2025,TRUE
perfil_serie,previstos_2026,TRUE
perfil_serie,avaliados_2026,TRUE
perfil_serie,taxa_participacao_2026,TRUE
perfil_serie,proficiencia_media_2026,TRUE
perfil_serie,pct_defasagem_2026,TRUE
perfil_serie,pct_intermediario_2026,TRUE
perfil_serie,pct_adequado_2026,TRUE
perfil_serie,delta_participacao,TRUE
perfil_serie,delta_proficiencia,TRUE
perfil_serie,alerta_composicao_serie,TRUE
perfil_serie,observacao_composicao,TRUE
indice_escola,id_escola,TRUE
indice_escola,score_dimensao_volume,TRUE
indice_escola,score_dimensao_estrutural,TRUE
indice_escola,score_dimensao_educacional,TRUE
indice_escola,score_dimensao_administrativa,TRUE
indice_escola,indice_carga_potencial,TRUE
indice_escola,faixa_indice_carga_potencial,TRUE
indice_escola,qualidade_evidencia_educacional,TRUE
indice_escola,interpretacao_educacional_cautelosa,TRUE
indice_escola,interpretacao_indice_cautelosa,TRUE
detalhe_carteira,id_escola,TRUE
detalhe_carteira,tipo_carteira,TRUE
detalhe_carteira,carteira_nominal,TRUE
detalhe_carteira,participacao_indice_na_carteira_pct,TRUE
detalhe_carteira,sensibilidade_faixa,TRUE
detalhe_carteira,possui_complexidade_administrativa,TRUE
detalhe_carteira,painel_incompleto,TRUE
detalhe_carteira,caso_para_leitura_detalhada,TRUE
