id_escola,codigo_inep,nome_canonico,assessora_gerencial,presente_perfil_escola,presente_perfil_serie,presente_indice_escola,presente_detalhe_carteira,cobertura_completa_insumos
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_004,43105459,EMEF AMERICA,nathalia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_005,43105467,EMEF ARAMY SILVA,priscila,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,andreia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_007,43187560,EMEF CHAPEU DO SOL,ruti,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_008,43177581,EMEF CHICO MENDES,eliane,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_009,43105475,EMEF DECIO MARTINS COSTA,nathalia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_011,43109225,EMEF DEP VICTOR ISSLER,clarissa,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,jalize,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_013,43106331,EMEF ESPIRITO SANTO,priscila,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,jalize,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_015,43109233,EMEF GABRIEL OBINO,amanda,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,clarissa,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,jalize,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_019,43172474,EMEF JEAN PIAGET,clarissa,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_027,43183018,EMEF MARIO QUINTANA,ruti,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_028,43177018,EMEF MIGRANTES,nathalia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,julia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_034,43105521,EMEF PEPITA DE LEAO,nathalia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_035,43048200,EMEF PORTO NOVO,marian,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_037,43105530,EMEF PRESIDENTE VARGAS,eliane,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,eliane,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_040,43109071,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_043,43293050,EMEF RINCAO,jalize,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_044,43167179,EMEF SAINT HILAIRE,andreia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_045,43167535,EMEF SAO PEDRO,marian,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,julia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_047,43189253,EMEF TIMBAUVA,nathalia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,clarissa,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,priscila,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_050,43109101,EMEF VER MARTIM ARANHA,priscila,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_051,43175120,EMEF VILA MONTE CRISTO,graziela,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_052,43173721,EMEF WENCESLAU FONTOURA,eliane,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_053,43105246,EMEM EMILIO MEYER,ruti,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,TRUE,TRUE,TRUE,TRUE,TRUE
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,TRUE,TRUE,TRUE,TRUE,TRUE
