fonte,ordem,variavel,classe,numero_na,percentual_na
perfil_escola,1,id_escola,character,0,0
perfil_escola,2,codigo_inep,character,0,0
perfil_escola,3,nome_canonico,character,0,0
perfil_escola,4,nome_inep,character,0,0
perfil_escola,5,assessora_gerencial,character,0,0
perfil_escola,6,assessora,character,1,1.7857142857142858
perfil_escola,7,grupo_administrativo_2024_final,character,0,0
perfil_escola,8,tipo_vinculo_rede_final,character,0,0
perfil_escola,9,status_rede_2025_final,character,0,0
perfil_escola,10,dependencia_administrativa_2024,character,0,0
perfil_escola,11,situacao_funcionamento_2024,character,0,0
perfil_escola,12,municipalizada_apos_2024,logical,0,0
perfil_escola,13,possivel_municipalizacao_recente,logical,0,0
perfil_escola,14,escola_nova_recente,character,0,0
perfil_escola,15,privada_vinculada_final,logical,0,0
perfil_escola,16,caso_historico_administrativo,character,0,0
perfil_escola,17,observacao_administrativa_final,character,0,0
perfil_escola,18,requer_revisao_tecnica,logical,0,0
perfil_escola,19,divergencia_censo_cadastro,logical,0,0
perfil_escola,20,contexto_2024_encontrado,logical,0,0
perfil_escola,21,estratos_corrigidos_disponiveis,logical,0,0
perfil_escola,22,incluir_universo_municipal_direto_2024,logical,0,0
perfil_escola,23,incluir_universo_municipal_ampliado_2024,logical,0,0
perfil_escola,24,incluir_rede_municipal_operacional_2025,logical,0,0
perfil_escola,25,quantidade_matricula_educacao_basica,numeric,0,0
perfil_escola,26,matriculas_anos_iniciais,numeric,0,0
perfil_escola,27,turmas_anos_iniciais,numeric,0,0
perfil_escola,28,docentes_anos_iniciais,numeric,0,0
perfil_escola,29,alunos_por_turma_anos_iniciais,numeric,1,1.7857142857142858
perfil_escola,30,alunos_por_docente_anos_iniciais,numeric,1,1.7857142857142858
perfil_escola,31,porte_anos_iniciais,character,0,0
perfil_escola,32,quartil_porte_anos_iniciais,numeric,0,0
perfil_escola,33,faixa_porte_contextual_escola,character,2,3.5714285714285716
perfil_escola,34,numero_etapas_amplas_ofertadas,numeric,0,0
perfil_escola,35,oferta_educacao_infantil,logical,0,0
perfil_escola,36,oferta_anos_finais,logical,0,0
perfil_escola,37,oferta_eja,logical,0,0
perfil_escola,38,oferta_educacao_especial,logical,0,0
perfil_escola,39,pct_matriculas_anos_iniciais_integral,numeric,0,0
perfil_escola,40,pct_matriculas_educacao_especial,numeric,0,0
perfil_escola,41,pct_matriculas_transporte_publico,numeric,0,0
perfil_escola,42,pct_matriculas_preta_parda_indigena,numeric,0,0
perfil_escola,43,indice_infraestrutura_basica,numeric,0,0
perfil_escola,44,quartil_infraestrutura_escola,character,2,3.5714285714285716
perfil_escola,45,numero_itens_infraestrutura_presentes,numeric,0,0
perfil_escola,46,quantidade_sala_utilizada,numeric,0,0
perfil_escola,47,quantidade_sala_utilizada_climatizada,numeric,0,0
perfil_escola,48,quantidade_sala_utilizada_acessivel,numeric,0,0
perfil_escola,49,possui_espaco_leitura,logical,0,0
perfil_escola,50,possui_recurso_acessibilidade,logical,0,0
perfil_escola,51,laboratorio_ciencias,numeric,0,0
perfil_escola,52,laboratorio_informatica,numeric,0,0
perfil_escola,53,quadra_esportes,numeric,0,0
perfil_escola,54,internet_aprendizagem,numeric,0,0
perfil_escola,55,internet_alunos,numeric,0,0
perfil_escola,56,sala_atendimento_especial,numeric,0,0
perfil_escola,57,quantidade_computador_portatil_aluno,numeric,0,0
perfil_escola,58,quantidade_tablet_aluno,numeric,0,0
perfil_escola,59,quantidade_profissional_coordenador,numeric,0,0
perfil_escola,60,quantidade_profissional_psicologo,numeric,0,0
perfil_escola,61,quantidade_profissional_assistente_social,numeric,0,0
perfil_escola,62,quantidade_profissional_monitor,numeric,0,0
perfil_escola,63,quantidade_profissional_pedagogia,numeric,0,0
perfil_escola,64,numero_series_esperadas,integer,0,0
perfil_escola,65,numero_series_presentes_2025,integer,0,0
perfil_escola,66,numero_series_presentes_2026,integer,0,0
perfil_escola,67,numero_series_resultado_2025,integer,0,0
perfil_escola,68,numero_series_resultado_2026,integer,0,0
perfil_escola,69,numero_series_comparaveis,integer,0,0
perfil_escola,70,proporcao_series_comparaveis,numeric,0,0
perfil_escola,71,painel_completo_cinco_series,logical,0,0
perfil_escola,72,previstos_total_2025,numeric,2,3.5714285714285716
perfil_escola,73,avaliados_total_2025,numeric,2,3.5714285714285716
perfil_escola,74,taxa_participacao_escola_2025,numeric,2,3.5714285714285716
perfil_escola,75,faixa_participacao_escola_2025,character,2,3.5714285714285716
perfil_escola,76,proficiencia_multisserie_ponderada_2025,numeric,2,3.5714285714285716
perfil_escola,77,pct_defasagem_multisserie_ponderado_2025,numeric,2,3.5714285714285716
perfil_escola,78,pct_intermediario_multisserie_ponderado_2025,numeric,2,3.5714285714285716
perfil_escola,79,pct_adequado_multisserie_ponderado_2025,numeric,2,3.5714285714285716
perfil_escola,80,previstos_total_2026,numeric,0,0
perfil_escola,81,avaliados_total_2026,numeric,0,0
perfil_escola,82,taxa_participacao_escola_2026,numeric,0,0
perfil_escola,83,faixa_participacao_escola_2026,character,0,0
perfil_escola,84,proficiencia_multisserie_ponderada_2026,numeric,0,0
perfil_escola,85,pct_defasagem_multisserie_ponderado_2026,numeric,0,0
perfil_escola,86,pct_intermediario_multisserie_ponderado_2026,numeric,0,0
perfil_escola,87,pct_adequado_multisserie_ponderado_2026,numeric,0,0
perfil_escola,88,delta_participacao_escola,numeric,2,3.5714285714285716
perfil_escola,89,direcao_delta_participacao_escola,character,0,0
perfil_escola,90,delta_proficiencia_multisserie_ponderada,numeric,2,3.5714285714285716
perfil_escola,91,direcao_delta_proficiencia_multisserie,character,0,0
perfil_escola,92,delta_pct_defasagem_multisserie_ponderado,numeric,2,3.5714285714285716
perfil_escola,93,delta_pct_intermediario_multisserie_ponderado,numeric,2,3.5714285714285716
perfil_escola,94,delta_pct_adequado_multisserie_ponderado,numeric,2,3.5714285714285716
perfil_escola,95,variacao_relativa_previstos_escola,numeric,2,3.5714285714285716
perfil_escola,96,variacao_relativa_avaliados_escola,numeric,2,3.5714285714285716
perfil_escola,97,amplitude_participacao_series_2025,numeric,2,3.5714285714285716
perfil_escola,98,amplitude_participacao_series_2026,numeric,0,0
perfil_escola,99,desvio_participacao_series_2025,numeric,2,3.5714285714285716
perfil_escola,100,desvio_participacao_series_2026,numeric,1,1.7857142857142858
perfil_escola,101,amplitude_proficiencia_series_2025,numeric,2,3.5714285714285716
perfil_escola,102,amplitude_proficiencia_series_2026,numeric,0,0
perfil_escola,103,desvio_proficiencia_series_2025,numeric,2,3.5714285714285716
perfil_escola,104,desvio_proficiencia_series_2026,numeric,1,1.7857142857142858
perfil_escola,105,numero_series_delta_proficiencia_positivo,integer,0,0
perfil_escola,106,numero_series_delta_proficiencia_negativo,integer,0,0
perfil_escola,107,proporcao_series_delta_proficiencia_positivo,numeric,2,3.5714285714285716
perfil_escola,108,numero_series_participacao_abaixo_70_2025,integer,0,0
perfil_escola,109,numero_series_participacao_abaixo_70_2026,integer,0,0
perfil_escola,110,numero_series_participacao_abaixo_80_2025,integer,0,0
perfil_escola,111,numero_series_participacao_abaixo_80_2026,integer,0,0
perfil_escola,112,numero_series_participacao_abaixo_90_2025,integer,0,0
perfil_escola,113,numero_series_participacao_abaixo_90_2026,integer,0,0
perfil_escola,114,numero_series_aumento_participacao_10pp,integer,0,0
perfil_escola,115,numero_series_queda_participacao_10pp,integer,0,0
perfil_escola,116,numero_series_mudanca_previstos_20pct,integer,0,0
perfil_escola,117,numero_series_alerta_composicao,integer,0,0
perfil_escola,118,possui_alerta_composicao,logical,0,0
perfil_escola,119,observacoes_composicao,character,0,0
perfil_serie,1,id_escola,character,0,0
perfil_serie,2,codigo_inep,character,0,0
perfil_serie,3,nome_canonico,character,0,0
perfil_serie,4,assessora_gerencial,character,0,0
perfil_serie,5,ano_escolar,integer,0,0
perfil_serie,6,componente,character,0,0
perfil_serie,7,grupo_administrativo_2024_final,character,0,0
perfil_serie,8,tipo_vinculo_rede_final,character,0,0
perfil_serie,9,status_rede_2025_final,character,0,0
perfil_serie,10,painel_resultado_balanceado,logical,0,0
perfil_serie,11,amostra_principal_descritiva,logical,0,0
perfil_serie,12,previstos_2025,numeric,11,3.9285714285714284
perfil_serie,13,avaliados_2025,numeric,11,3.9285714285714284
perfil_serie,14,taxa_participacao_2025,numeric,11,3.9285714285714284
perfil_serie,15,proficiencia_media_2025,numeric,11,3.9285714285714284
perfil_serie,16,pct_defasagem_2025,numeric,11,3.9285714285714284
perfil_serie,17,pct_intermediario_2025,numeric,11,3.9285714285714284
perfil_serie,18,pct_adequado_2025,numeric,11,3.9285714285714284
perfil_serie,19,previstos_2026,numeric,4,1.4285714285714286
perfil_serie,20,avaliados_2026,numeric,4,1.4285714285714286
perfil_serie,21,taxa_participacao_2026,numeric,4,1.4285714285714286
perfil_serie,22,proficiencia_media_2026,numeric,4,1.4285714285714286
perfil_serie,23,pct_defasagem_2026,numeric,4,1.4285714285714286
perfil_serie,24,pct_intermediario_2026,numeric,4,1.4285714285714286
perfil_serie,25,pct_adequado_2026,numeric,4,1.4285714285714286
perfil_serie,26,delta_participacao,numeric,15,5.357142857142857
perfil_serie,27,delta_proficiencia,numeric,15,5.357142857142857
perfil_serie,28,delta_pct_defasagem,numeric,15,5.357142857142857
perfil_serie,29,delta_pct_intermediario,numeric,15,5.357142857142857
perfil_serie,30,delta_pct_adequado,numeric,15,5.357142857142857
perfil_serie,31,variacao_relativa_previstos,numeric,15,5.357142857142857
perfil_serie,32,variacao_relativa_avaliados,numeric,15,5.357142857142857
perfil_serie,33,aumento_participacao_10pp,logical,15,5.357142857142857
perfil_serie,34,queda_participacao_10pp,logical,15,5.357142857142857
perfil_serie,35,mudanca_previstos_20pct,logical,15,5.357142857142857
perfil_serie,36,observacao_composicao,character,0,0
perfil_serie,37,faixa_participacao_2025_serie,character,11,3.9285714285714284
perfil_serie,38,faixa_participacao_2026_serie,character,4,1.4285714285714286
perfil_serie,39,direcao_delta_participacao,character,0,0
perfil_serie,40,direcao_delta_proficiencia,character,0,0
perfil_serie,41,alerta_composicao_serie,logical,0,0
indice_escola,1,id_escola,character,0,0
indice_escola,2,codigo_inep,character,0,0
indice_escola,3,nome_canonico,character,0,0
indice_escola,4,assessora_gerencial,character,0,0
indice_escola,5,grupo_administrativo_2024_final,character,0,0
indice_escola,6,tipo_vinculo_rede_final,character,0,0
indice_escola,7,status_rede_2025_final,character,0,0
indice_escola,8,matriculas_anos_iniciais,numeric,0,0
indice_escola,9,turmas_anos_iniciais,numeric,0,0
indice_escola,10,numero_etapas_amplas_ofertadas,numeric,0,0
indice_escola,11,indice_infraestrutura_basica,numeric,0,0
indice_escola,12,alunos_por_turma_anos_iniciais,numeric,1,1.7857142857142858
indice_escola,13,alunos_por_docente_anos_iniciais,numeric,1,1.7857142857142858
indice_escola,14,pct_matriculas_educacao_especial,numeric,0,0
indice_escola,15,pct_matriculas_anos_iniciais_integral,numeric,0,0
indice_escola,16,pct_matriculas_transporte_publico,numeric,0,0
indice_escola,17,numero_series_resultado_2026,integer,0,0
indice_escola,18,numero_series_comparaveis,integer,0,0
indice_escola,19,painel_completo_cinco_series,logical,0,0
indice_escola,20,score_volume_matriculas,numeric,0,0
indice_escola,21,score_volume_turmas,numeric,1,1.7857142857142858
indice_escola,22,score_volume_etapas,numeric,0,0
indice_escola,23,score_estrutural_infraestrutura,numeric,0,0
indice_escola,24,score_estrutural_alunos_turma,numeric,1,1.7857142857142858
indice_escola,25,score_estrutural_alunos_docente,numeric,1,1.7857142857142858
indice_escola,26,score_estrutural_educacao_especial,numeric,0,0
indice_escola,27,score_estrutural_tempo_integral,numeric,0,0
indice_escola,28,score_estrutural_transporte,numeric,0,0
indice_escola,29,score_educacional_desempenho,numeric,0,0
indice_escola,30,score_educacional_baixa_participacao,numeric,0,0
indice_escola,31,score_educacional_instabilidade_composicao,numeric,2,3.5714285714285716
indice_escola,32,score_educacional_heterogeneidade,numeric,1,1.7857142857142858
indice_escola,33,heterogeneidade_desempenho_bruta,numeric,1,1.7857142857142858
indice_escola,34,numero_series_resultado_2026_calculado,integer,0,0
indice_escola,35,numero_series_participacao_2026_calculado,integer,0,0
indice_escola,36,numero_series_comparaveis_calculado,integer,0,0
indice_escola,37,proporcao_series_resultado_2026_indice,numeric,0,0
indice_escola,38,proporcao_series_comparaveis_indice,numeric,0,0
indice_escola,39,qualidade_evidencia_educacional,character,0,0
indice_escola,40,interpretacao_educacional_cautelosa,logical,0,0
indice_escola,41,score_administrativo_arranjo_especial,numeric,0,0
indice_escola,42,score_administrativo_transicao_recente,numeric,0,0
indice_escola,43,score_administrativo_historico_cadastral,numeric,0,0
indice_escola,44,score_administrativo_sem_vinculo,numeric,0,0
indice_escola,45,score_dimensao_volume,numeric,0,0
indice_escola,46,score_dimensao_estrutural,numeric,0,0
indice_escola,47,score_dimensao_educacional,numeric,0,0
indice_escola,48,score_dimensao_administrativa,numeric,0,0
indice_escola,49,cobertura_componentes_volume,numeric,0,0
indice_escola,50,cobertura_componentes_estrutural,numeric,0,0
indice_escola,51,cobertura_componentes_educacional,numeric,0,0
indice_escola,52,cobertura_componentes_administrativa,numeric,0,0
indice_escola,53,indice_carga_potencial_equilibrado,numeric,0,0
indice_escola,54,indice_carga_potencial_operacional,numeric,0,0
indice_escola,55,indice_carga_potencial_desafio_educacional,numeric,0,0
indice_escola,56,indice_carga_potencial_transicao_administrativa,numeric,0,0
indice_escola,57,cobertura_indice_equilibrado,numeric,0,0
indice_escola,58,cobertura_indice_operacional,numeric,0,0
indice_escola,59,cobertura_indice_desafio_educacional,numeric,0,0
indice_escola,60,cobertura_indice_transicao_administrativa,numeric,0,0
indice_escola,61,faixa_indice_equilibrado,character,0,0
indice_escola,62,faixa_indice_operacional,character,0,0
indice_escola,63,faixa_indice_desafio_educacional,character,0,0
indice_escola,64,faixa_indice_transicao_administrativa,character,0,0
indice_escola,65,faixa_indice_carga_potencial,character,0,0
indice_escola,66,indice_carga_potencial,numeric,0,0
indice_escola,67,percentil_indice_carga_potencial,numeric,0,0
indice_escola,68,contribuicao_volume_indice_principal,numeric,0,0
indice_escola,69,contribuicao_estrutural_indice_principal,numeric,0,0
indice_escola,70,contribuicao_educacional_indice_principal,numeric,0,0
indice_escola,71,contribuicao_administrativa_indice_principal,numeric,0,0
indice_escola,72,interpretacao_indice_cautelosa,logical,0,0
detalhe_carteira,1,assessora_gerencial,character,0,0
detalhe_carteira,2,tipo_carteira,character,0,0
detalhe_carteira,3,carteira_nominal,logical,0,0
detalhe_carteira,4,ordem_interna_carga_potencial,integer,0,0
detalhe_carteira,5,id_escola,character,0,0
detalhe_carteira,6,codigo_inep,character,0,0
detalhe_carteira,7,nome_canonico,character,0,0
detalhe_carteira,8,matriculas_anos_iniciais,numeric,0,0
detalhe_carteira,9,turmas_anos_iniciais,numeric,0,0
detalhe_carteira,10,turmas_anos_iniciais_validas,numeric,1,1.7857142857142858
detalhe_carteira,11,numero_etapas_amplas_ofertadas,numeric,0,0
detalhe_carteira,12,numero_series_resultado_2026,integer,0,0
detalhe_carteira,13,numero_series_comparaveis,integer,0,0
detalhe_carteira,14,painel_completo_cinco_series,logical,0,0
detalhe_carteira,15,qualidade_evidencia_educacional,character,0,0
detalhe_carteira,16,interpretacao_educacional_cautelosa,logical,0,0
detalhe_carteira,17,score_dimensao_volume,numeric,0,0
detalhe_carteira,18,score_dimensao_estrutural,numeric,0,0
detalhe_carteira,19,score_dimensao_educacional,numeric,0,0
detalhe_carteira,20,score_dimensao_administrativa,numeric,0,0
detalhe_carteira,21,indice_carga_potencial,numeric,0,0
detalhe_carteira,22,percentil_indice_carga_potencial,numeric,0,0
detalhe_carteira,23,faixa_indice_carga_potencial,character,0,0
detalhe_carteira,24,indice_carga_potencial_operacional,numeric,0,0
detalhe_carteira,25,faixa_indice_operacional,character,0,0
detalhe_carteira,26,indice_carga_potencial_desafio_educacional,numeric,0,0
detalhe_carteira,27,faixa_indice_desafio_educacional,character,0,0
detalhe_carteira,28,indice_carga_potencial_transicao_administrativa,numeric,0,0
detalhe_carteira,29,faixa_indice_transicao_administrativa,character,0,0
detalhe_carteira,30,contribuicao_volume_indice_principal,numeric,0,0
detalhe_carteira,31,contribuicao_estrutural_indice_principal,numeric,0,0
detalhe_carteira,32,contribuicao_educacional_indice_principal,numeric,0,0
detalhe_carteira,33,contribuicao_administrativa_indice_principal,numeric,0,0
detalhe_carteira,34,numero_cenarios_com_mudanca_faixa,integer,0,0
detalhe_carteira,35,sensibilidade_faixa,character,0,0
detalhe_carteira,36,possui_complexidade_administrativa,logical,0,0
detalhe_carteira,37,interpretacao_indice_cautelosa,logical,0,0
detalhe_carteira,38,painel_incompleto,logical,0,0
detalhe_carteira,39,possui_alerta_composicao,logical,0,0
detalhe_carteira,40,participacao_2026_abaixo_80,logical,0,0
detalhe_carteira,41,caso_para_leitura_detalhada,logical,0,0
detalhe_carteira,42,entre_duas_maiores_cargas_da_carteira,logical,0,0
detalhe_carteira,43,participacao_indice_na_carteira_pct,numeric,0,0
detalhe_carteira,44,participacao_acumulada_indice_carteira_pct,numeric,0,0
detalhe_carteira,45,tipo_vinculo_rede_final,character,0,0
detalhe_carteira,46,status_rede_2025_final,character,0,0
detalhe_carteira,47,municipalizada_apos_2024,logical,0,0
detalhe_carteira,48,escola_nova_recente,logical,0,0
