teste,resultado,valor_observado,valor_esperado,criticidade,status
Escolas únicas na base de fichas,TRUE,56,56,Erro,Aprovado
Número de escolas preservado,TRUE,56,56,Erro,Aprovado
Uma ficha HTML por escola,TRUE,56,56,Erro,Aprovado
Três gráficos por escola,TRUE,56,56,Erro,Aprovado
HTML compilado criado,TRUE,351650,> 0 bytes,Erro,Aprovado
Nenhuma ficha com erro de geração,TRUE,0,0,Erro,Aprovado
Cinco linhas por escola na base por série,TRUE,5,5,Erro,Aprovado
Índice de carga entre 0 e 100,TRUE,"22,66 a 58,42",0 a 100,Erro,Aprovado
Participações escolares entre 0 e 100,TRUE,Verificado,0 a 100,Erro,Aprovado
PDF tratado como produto opcional,TRUE,Gerado,Não bloqueante,Informativo,Aprovado
