arquivo,caminho,existe,tamanho_bytes,md5,md5_esperado,hash_aprovado
perfil_gerencial_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.csv,TRUE,96095,35e75d94b2f8b6e84a5a51708afb76e6,35e75d94b2f8b6e84a5a51708afb76e6,TRUE
perfil_gerencial_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_gerencial.rds,TRUE,22605,ba49b4fe72596f4b0c16b7dc7f830646,ba49b4fe72596f4b0c16b7dc7f830646,TRUE
perfil_serie_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.csv,TRUE,247852,9ddb99063daea52ac4efa712fd9fad8b,9ddb99063daea52ac4efa712fd9fad8b,TRUE
perfil_serie_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/perfil_escola_serie_compacto.rds,TRUE,33017,116a2d0c97085a90aac716d911f75c89,116a2d0c97085a90aac716d911f75c89,TRUE
indice_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.csv,TRUE,16326,8cfb06412611985459ffa7a8c2963828,8cfb06412611985459ffa7a8c2963828,TRUE
indice_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/indice_carga_potencial_escola.rds,TRUE,3404,7c91709044f94ccfc3b09183f6082a51,7c91709044f94ccfc3b09183f6082a51,TRUE
diagnostico_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.csv,TRUE,100732,c6a452965a7398de2ea6892e1113a833,c6a452965a7398de2ea6892e1113a833,TRUE
diagnostico_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/componentes_educacionais_escola_serie.rds,TRUE,17332,37996354b10460a4d2bcc3969a7ed667,37996354b10460a4d2bcc3969a7ed667,TRUE
detalhe_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.csv,TRUE,24570,b67c3e52c04086242866809eed56089c,b67c3e52c04086242866809eed56089c,TRUE
detalhe_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/carteira_escola_detalhe.rds,TRUE,4071,2ff7621b617715722b652d956d5e2b11,2ff7621b617715722b652d956d5e2b11,TRUE
universo_csv,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.csv,TRUE,9009,e2e9d076ae09d8f605c994a97afb722c,e2e9d076ae09d8f605c994a97afb722c,TRUE
universo_rds,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/dados_finais/universo_institucional_carteiras.rds,TRUE,2051,36cb738f4233fdab02e38ca0344f0db4,36cb738f4233fdab02e38ca0344f0db4,TRUE
