teste,categoria,severidade,valor_observado,criterio,resultado,nivel,observacao
Branch,execucao,erro,refatoracao_modulo_21,refatoracao_modulo_21,TRUE,OK,
HEAD,execucao,erro,d098ad77be7233829bc235112aaa1fe86f9b86a5,d098ad77be7233829bc235112aaa1fe86f9b86a5,TRUE,OK,
Entradas equivalentes,integridade,erro,6,6,TRUE,OK,
Perfil 56,universo,erro,56,56,TRUE,OK,
Perfil série 280,universo,erro,280,280,TRUE,OK,
Índice 53,universo,erro,53,53,TRUE,OK,
Diagnóstico 265,universo,erro,265,265,TRUE,OK,
Detalhe 53,universo,erro,53,53,TRUE,OK,
Universo 56,universo,erro,56,56,TRUE,OK,
Exclusões exatas,universo,erro,ESC_001; ESC_055; ESC_056,ESC_001; ESC_055; ESC_056,TRUE,OK,
Assessoras,universo,erro,11,11,TRUE,OK,
Base 56,produto,erro,56,56,TRUE,OK,
Operacionais 53,produto,erro,53,53,TRUE,OK,
Não operacionais 3,produto,erro,3,3,TRUE,OK,
Não operacionais sem índice,metodologia,erro,0,0,TRUE,OK,
Educacional fora do índice,metodologia,erro,0,0,TRUE,OK,
Peso educacional zero,metodologia,erro,0,0,TRUE,OK,
HTMLs,produto,erro,56,56,TRUE,OK,
Gráficos operacionais,produto,erro,53,53,TRUE,OK,
Gráficos participação,produto,erro,56,56,TRUE,OK,
Gráficos proficiência,produto,erro,56,56,TRUE,OK,
HTML compilado,produto,erro,TRUE,TRUE,TRUE,OK,
Candidatos equivalentes,integridade,erro,2,2,TRUE,OK,
