produto,ordem_coluna,variavel,classe_r,observacao_metodologica
base_fichas_escolas,1,id_escola,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,2,codigo_inep,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,3,nome_canonico,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,4,tipo_ficha,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,5,incluida_analise_operacional,logical,Usar com leitura contextual e qualitativa.
base_fichas_escolas,6,motivo_nao_inclusao,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,7,nota_institucional,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,8,assessora_gerencial_2026,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,9,assessora_vinculo_administrativo,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,10,divergencia_vinculo_gerencial,logical,Usar com leitura contextual e qualitativa.
base_fichas_escolas,11,elegivel_assessoramento_2026,logical,Usar com leitura contextual e qualitativa.
base_fichas_escolas,12,recebe_assessoramento_2026,logical,Usar com leitura contextual e qualitativa.
base_fichas_escolas,13,incluir_indice_carga_2026,logical,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,14,status_carga_operacional_2026,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,15,grupo_exposicao_2026,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,16,grupo_administrativo_2024_final,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,17,tipo_vinculo_rede_final,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,18,status_rede_2025_final,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,19,observacao_administrativa_final,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,20,municipalizada_apos_2024,logical,Usar com leitura contextual e qualitativa.
base_fichas_escolas,21,escola_nova_recente,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,22,matriculas_anos_iniciais,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,23,turmas_anos_iniciais,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,24,docentes_anos_iniciais,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,25,alunos_por_turma_anos_iniciais,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,26,alunos_por_docente_anos_iniciais,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,27,pct_matriculas_educacao_especial,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,28,pct_matriculas_anos_iniciais_integral,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,29,pct_matriculas_transporte_publico,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,30,indice_infraestrutura_basica,numeric,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,31,numero_etapas_amplas_ofertadas,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,32,score_dimensao_volume,numeric,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,33,score_dimensao_estrutural,numeric,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,34,score_dimensao_administrativa,numeric,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,35,contribuicao_volume,numeric,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,36,contribuicao_estrutural,numeric,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,37,contribuicao_administrativa,numeric,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,38,indice_carga_potencial_operacional,numeric,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,39,cobertura_indice_operacional,numeric,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,40,interpretacao_cautelosa,logical,Usar com leitura contextual e qualitativa.
base_fichas_escolas,41,resultados_educacionais_no_indice,logical,Medida relativa operacional; não equivale à carga real total.
base_fichas_escolas,42,previstos_total_2025,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,43,avaliados_total_2025,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,44,participacao_2025,numeric,Resultado educacional descritivo; não representa efeito ou desempenho da assessora.
base_fichas_escolas,45,proficiencia_2025,numeric,Resultado educacional descritivo; não representa efeito ou desempenho da assessora.
base_fichas_escolas,46,previstos_total_2026,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,47,avaliados_total_2026,numeric,Usar com leitura contextual e qualitativa.
base_fichas_escolas,48,participacao_2026,numeric,Resultado educacional descritivo; não representa efeito ou desempenho da assessora.
base_fichas_escolas,49,proficiencia_2026,numeric,Resultado educacional descritivo; não representa efeito ou desempenho da assessora.
base_fichas_escolas,50,series_alerta_composicao,integer,Usar com leitura contextual e qualitativa.
base_fichas_escolas,51,html_nome,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,52,grafico_operacional_nome,character,Usar com leitura contextual e qualitativa.
base_fichas_escolas,53,grafico_participacao_nome,character,Resultado educacional descritivo; não representa efeito ou desempenho da assessora.
base_fichas_escolas,54,grafico_proficiencia_nome,character,Resultado educacional descritivo; não representa efeito ou desempenho da assessora.
indice_fichas_escolas,1,id_escola,character,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,2,codigo_inep,character,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,3,nome_canonico,character,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,4,tipo_ficha,character,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,5,assessora_gerencial_2026,character,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,6,status_geracao,character,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,7,mensagem_erro,character,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,8,arquivo_html,character,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,9,arquivo_grafico_operacional,character,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,10,arquivo_grafico_participacao,character,Resultado educacional descritivo; não representa efeito ou desempenho da assessora.
indice_fichas_escolas,11,arquivo_grafico_proficiencia,character,Resultado educacional descritivo; não representa efeito ou desempenho da assessora.
indice_fichas_escolas,12,html_existe,logical,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,13,grafico_operacional_existe,logical,Usar com leitura contextual e qualitativa.
indice_fichas_escolas,14,grafico_participacao_existe,logical,Resultado educacional descritivo; não representa efeito ou desempenho da assessora.
indice_fichas_escolas,15,grafico_proficiencia_existe,logical,Resultado educacional descritivo; não representa efeito ou desempenho da assessora.
