ordem_coluna,variavel,classe_r,descricao
1,id_escola,character,Variável do módulo 17: id escola. Consulte os parâmetros de componentes e pesos para a definição operacional.
2,codigo_inep,character,Variável do módulo 17: codigo inep. Consulte os parâmetros de componentes e pesos para a definição operacional.
3,nome_canonico,character,Variável do módulo 17: nome canonico. Consulte os parâmetros de componentes e pesos para a definição operacional.
4,assessora_gerencial,character,Variável do módulo 17: assessora gerencial. Consulte os parâmetros de componentes e pesos para a definição operacional.
5,grupo_administrativo_2024_final,character,Variável do módulo 17: grupo administrativo 2024 final. Consulte os parâmetros de componentes e pesos para a definição operacional.
6,tipo_vinculo_rede_final,character,Variável do módulo 17: tipo vinculo rede final. Consulte os parâmetros de componentes e pesos para a definição operacional.
7,status_rede_2025_final,character,Variável do módulo 17: status rede 2025 final. Consulte os parâmetros de componentes e pesos para a definição operacional.
8,matriculas_anos_iniciais,numeric,Variável do módulo 17: matriculas anos iniciais. Consulte os parâmetros de componentes e pesos para a definição operacional.
9,turmas_anos_iniciais,numeric,Variável do módulo 17: turmas anos iniciais. Consulte os parâmetros de componentes e pesos para a definição operacional.
10,numero_etapas_amplas_ofertadas,numeric,Variável do módulo 17: numero etapas amplas ofertadas. Consulte os parâmetros de componentes e pesos para a definição operacional.
11,indice_infraestrutura_basica,numeric,Variável do módulo 17: indice infraestrutura basica. Consulte os parâmetros de componentes e pesos para a definição operacional.
12,alunos_por_turma_anos_iniciais,numeric,Variável do módulo 17: alunos por turma anos iniciais. Consulte os parâmetros de componentes e pesos para a definição operacional.
13,alunos_por_docente_anos_iniciais,numeric,Variável do módulo 17: alunos por docente anos iniciais. Consulte os parâmetros de componentes e pesos para a definição operacional.
14,pct_matriculas_educacao_especial,numeric,Variável do módulo 17: pct matriculas educacao especial. Consulte os parâmetros de componentes e pesos para a definição operacional.
15,pct_matriculas_anos_iniciais_integral,numeric,Variável do módulo 17: pct matriculas anos iniciais integral. Consulte os parâmetros de componentes e pesos para a definição operacional.
16,pct_matriculas_transporte_publico,numeric,Variável do módulo 17: pct matriculas transporte publico. Consulte os parâmetros de componentes e pesos para a definição operacional.
17,numero_series_resultado_2026,integer,Variável do módulo 17: numero series resultado 2026. Consulte os parâmetros de componentes e pesos para a definição operacional.
18,numero_series_comparaveis,integer,Variável do módulo 17: numero series comparaveis. Consulte os parâmetros de componentes e pesos para a definição operacional.
19,painel_completo_cinco_series,logical,Variável do módulo 17: painel completo cinco series. Consulte os parâmetros de componentes e pesos para a definição operacional.
20,score_volume_matriculas,numeric,Variável do módulo 17: score volume matriculas. Consulte os parâmetros de componentes e pesos para a definição operacional.
21,score_volume_turmas,numeric,Variável do módulo 17: score volume turmas. Consulte os parâmetros de componentes e pesos para a definição operacional.
22,score_volume_etapas,numeric,Variável do módulo 17: score volume etapas. Consulte os parâmetros de componentes e pesos para a definição operacional.
23,score_estrutural_infraestrutura,numeric,Variável do módulo 17: score estrutural infraestrutura. Consulte os parâmetros de componentes e pesos para a definição operacional.
24,score_estrutural_alunos_turma,numeric,Variável do módulo 17: score estrutural alunos turma. Consulte os parâmetros de componentes e pesos para a definição operacional.
25,score_estrutural_alunos_docente,numeric,Variável do módulo 17: score estrutural alunos docente. Consulte os parâmetros de componentes e pesos para a definição operacional.
26,score_estrutural_educacao_especial,numeric,Variável do módulo 17: score estrutural educacao especial. Consulte os parâmetros de componentes e pesos para a definição operacional.
27,score_estrutural_tempo_integral,numeric,Variável do módulo 17: score estrutural tempo integral. Consulte os parâmetros de componentes e pesos para a definição operacional.
28,score_estrutural_transporte,numeric,Variável do módulo 17: score estrutural transporte. Consulte os parâmetros de componentes e pesos para a definição operacional.
29,score_educacional_desempenho,numeric,Variável do módulo 17: score educacional desempenho. Consulte os parâmetros de componentes e pesos para a definição operacional.
30,score_educacional_baixa_participacao,numeric,Variável do módulo 17: score educacional baixa participacao. Consulte os parâmetros de componentes e pesos para a definição operacional.
31,score_educacional_instabilidade_composicao,numeric,Variável do módulo 17: score educacional instabilidade composicao. Consulte os parâmetros de componentes e pesos para a definição operacional.
32,score_educacional_heterogeneidade,numeric,Variável do módulo 17: score educacional heterogeneidade. Consulte os parâmetros de componentes e pesos para a definição operacional.
33,heterogeneidade_desempenho_bruta,numeric,Variável do módulo 17: heterogeneidade desempenho bruta. Consulte os parâmetros de componentes e pesos para a definição operacional.
34,numero_series_resultado_2026_calculado,integer,Variável do módulo 17: numero series resultado 2026 calculado. Consulte os parâmetros de componentes e pesos para a definição operacional.
35,numero_series_participacao_2026_calculado,integer,Variável do módulo 17: numero series participacao 2026 calculado. Consulte os parâmetros de componentes e pesos para a definição operacional.
36,numero_series_comparaveis_calculado,integer,Variável do módulo 17: numero series comparaveis calculado. Consulte os parâmetros de componentes e pesos para a definição operacional.
37,proporcao_series_resultado_2026_indice,numeric,Variável do módulo 17: proporcao series resultado 2026 indice. Consulte os parâmetros de componentes e pesos para a definição operacional.
38,proporcao_series_comparaveis_indice,numeric,Variável do módulo 17: proporcao series comparaveis indice. Consulte os parâmetros de componentes e pesos para a definição operacional.
39,qualidade_evidencia_educacional,character,Classificação da quantidade de séries com resultados de 2026 disponíveis.
40,interpretacao_educacional_cautelosa,logical,Indica cobertura educacional limitada ou cobertura insuficiente de componentes.
41,score_administrativo_arranjo_especial,numeric,Variável do módulo 17: score administrativo arranjo especial. Consulte os parâmetros de componentes e pesos para a definição operacional.
42,score_administrativo_transicao_recente,numeric,Variável do módulo 17: score administrativo transicao recente. Consulte os parâmetros de componentes e pesos para a definição operacional.
