id_escola,codigo_inep,nome_canonico,assessora_gerencial,indice_equilibrado,faixa_equilibrado,indice_operacional,faixa_operacional,diferenca_operacional_equilibrado,indice_desafio_educacional,faixa_desafio_educacional,diferenca_desafio_equilibrado,indice_transicao_administrativa,faixa_transicao_administrativa,diferenca_transicao_equilibrado,numero_cenarios_com_mudanca_faixa,sensibilidade_faixa
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,40.84911616161616,Faixa 3 — intermediária superior,32.23888888888889,Faixa 1 — menor carga potencial relativa,-8.610227272727272,34.42558922558922,Faixa 1 — menor carga potencial relativa,-6.4235269360269385,47.194191919191915,Faixa 4 — maior carga potencial relativa,6.345075757575756,3,Sensibilidade elevada
ESC_055,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,34.175925925925924,Faixa 2 — intermediária inferior,29.22979797979798,Faixa 1 — menor carga potencial relativa,-4.946127946127945,31.6510101010101,Faixa 1 — menor carga potencial relativa,-2.524915824915823,37.77563131313131,Faixa 3 — intermediária superior,3.5997053872053897,3,Sensibilidade elevada
ESC_023,43169490,EMEF JOSE MARIANO BECK,nathalia,33.33754208754209,Faixa 1 — menor carga potencial relativa,36.640993265993266,Faixa 2 — intermediária inferior,3.3034511784511764,41.154124579124584,Faixa 2 — intermediária inferior,7.816582491582494,30.014183501683505,Faixa 2 — intermediária inferior,-3.3233585858585855,3,Sensibilidade elevada
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,47.10180995475113,Faixa 4 — maior carga potencial relativa,38.92480460715755,Faixa 2 — intermediária inferior,-8.177005347593585,47.196462361168244,Faixa 3 — intermediária superior,0.09465240641711148,50.69481694775813,Faixa 4 — maior carga potencial relativa,3.5930069930069948,2,Sensibilidade elevada
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,43.01662457912458,Faixa 3 — intermediária superior,39.94250841750842,Faixa 2 — intermediária inferior,-3.0741161616161605,46.04671717171718,Faixa 3 — intermediária superior,3.0300925925925952,43.165319865319866,Faixa 4 — maior carga potencial relativa,0.14869528619528438,2,Sensibilidade elevada
ESC_013,43106331,EMEF ESPIRITO SANTO,priscila,41.61141507669285,Faixa 3 — intermediária superior,31.557650579872803,Faixa 1 — menor carga potencial relativa,-10.053764496820047,43.974392068836515,Faixa 3 — intermediária superior,2.3629769921436647,46.91852787130565,Faixa 4 — maior carga potencial relativa,5.307112794612799,2,Sensibilidade elevada
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,39.68202861952862,Faixa 3 — intermediária superior,48.75841750841751,Faixa 3 — intermediária superior,9.076388888888886,39.111111111111114,Faixa 2 — intermediária inferior,-0.5709175084175087,32.66607744107744,Faixa 2 — intermediária inferior,-7.015951178451182,2,Sensibilidade elevada
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,39.11132154882155,Faixa 2 — intermediária inferior,43.61060606060606,Faixa 3 — intermediária superior,4.499284511784509,45.00841750841751,Faixa 3 — intermediária superior,5.8970959595959584,34.06287878787879,Faixa 2 — intermediária inferior,-5.048442760942763,2,Sensibilidade elevada
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,38.048190235690235,Faixa 2 — intermediária inferior,42.71060606060607,Faixa 3 — intermediária superior,4.662415824915833,45.36498316498317,Faixa 3 — intermediária superior,7.316792929292937,33.765151515151516,Faixa 2 — intermediária inferior,-4.28303872053872,2,Sensibilidade elevada
ESC_019,43172474,EMEF JEAN PIAGET,clarissa,34.43834175084175,Faixa 2 — intermediária inferior,40.49149831649832,Faixa 2 — intermediária inferior,6.053156565656572,38.23745791245792,Faixa 1 — menor carga potencial relativa,3.799116161616169,29.731986531986536,Faixa 1 — menor carga potencial relativa,-4.706355218855215,2,Sensibilidade elevada
