base,ordem_coluna,variavel,classe_r,valores_ausentes,valores_distintos
indice_carga_potencial_escola,1,id_escola,character,0,56
indice_carga_potencial_escola,2,codigo_inep,character,0,56
indice_carga_potencial_escola,3,nome_canonico,character,0,56
indice_carga_potencial_escola,4,assessora_gerencial,character,0,13
indice_carga_potencial_escola,5,grupo_administrativo_2024_final,character,0,5
indice_carga_potencial_escola,6,tipo_vinculo_rede_final,character,0,5
indice_carga_potencial_escola,7,status_rede_2025_final,character,0,3
indice_carga_potencial_escola,8,matriculas_anos_iniciais,numeric,0,51
indice_carga_potencial_escola,9,turmas_anos_iniciais,numeric,0,20
indice_carga_potencial_escola,10,numero_etapas_amplas_ofertadas,numeric,0,4
indice_carga_potencial_escola,11,indice_infraestrutura_basica,numeric,0,5
indice_carga_potencial_escola,12,alunos_por_turma_anos_iniciais,numeric,1,50
indice_carga_potencial_escola,13,alunos_por_docente_anos_iniciais,numeric,1,55
indice_carga_potencial_escola,14,pct_matriculas_educacao_especial,numeric,0,56
indice_carga_potencial_escola,15,pct_matriculas_anos_iniciais_integral,numeric,0,38
indice_carga_potencial_escola,16,pct_matriculas_transporte_publico,numeric,0,42
indice_carga_potencial_escola,17,numero_series_resultado_2026,integer,0,2
indice_carga_potencial_escola,18,numero_series_comparaveis,integer,0,4
indice_carga_potencial_escola,19,painel_completo_cinco_series,logical,0,2
indice_carga_potencial_escola,20,score_volume_matriculas,numeric,0,51
indice_carga_potencial_escola,21,score_volume_turmas,numeric,1,19
indice_carga_potencial_escola,22,score_volume_etapas,numeric,0,4
indice_carga_potencial_escola,23,score_estrutural_infraestrutura,numeric,0,5
indice_carga_potencial_escola,24,score_estrutural_alunos_turma,numeric,1,50
indice_carga_potencial_escola,25,score_estrutural_alunos_docente,numeric,1,55
indice_carga_potencial_escola,26,score_estrutural_educacao_especial,numeric,0,56
indice_carga_potencial_escola,27,score_estrutural_tempo_integral,numeric,0,38
indice_carga_potencial_escola,28,score_estrutural_transporte,numeric,0,42
indice_carga_potencial_escola,29,score_educacional_desempenho,numeric,0,56
indice_carga_potencial_escola,30,score_educacional_baixa_participacao,numeric,0,56
indice_carga_potencial_escola,31,score_educacional_instabilidade_composicao,numeric,2,7
indice_carga_potencial_escola,32,score_educacional_heterogeneidade,numeric,1,55
indice_carga_potencial_escola,33,heterogeneidade_desempenho_bruta,numeric,1,55
indice_carga_potencial_escola,34,numero_series_resultado_2026_calculado,integer,0,2
indice_carga_potencial_escola,35,numero_series_participacao_2026_calculado,integer,0,2
indice_carga_potencial_escola,36,numero_series_comparaveis_calculado,integer,0,4
indice_carga_potencial_escola,37,proporcao_series_resultado_2026_indice,numeric,0,2
indice_carga_potencial_escola,38,proporcao_series_comparaveis_indice,numeric,0,4
indice_carga_potencial_escola,39,qualidade_evidencia_educacional,character,0,2
indice_carga_potencial_escola,40,interpretacao_educacional_cautelosa,logical,0,2
indice_carga_potencial_escola,41,score_administrativo_arranjo_especial,numeric,0,2
indice_carga_potencial_escola,42,score_administrativo_transicao_recente,numeric,0,2
indice_carga_potencial_escola,43,score_administrativo_historico_cadastral,numeric,0,2
indice_carga_potencial_escola,44,score_administrativo_sem_vinculo,numeric,0,2
indice_carga_potencial_escola,45,score_dimensao_volume,numeric,0,56
indice_carga_potencial_escola,46,score_dimensao_estrutural,numeric,0,56
indice_carga_potencial_escola,47,score_dimensao_educacional,numeric,0,56
indice_carga_potencial_escola,48,score_dimensao_administrativa,numeric,0,6
indice_carga_potencial_escola,49,cobertura_componentes_volume,numeric,0,2
indice_carga_potencial_escola,50,cobertura_componentes_estrutural,numeric,0,2
indice_carga_potencial_escola,51,cobertura_componentes_educacional,numeric,0,3
indice_carga_potencial_escola,52,cobertura_componentes_administrativa,numeric,0,1
indice_carga_potencial_escola,53,indice_carga_potencial_equilibrado,numeric,0,56
indice_carga_potencial_escola,54,indice_carga_potencial_operacional,numeric,0,56
indice_carga_potencial_escola,55,indice_carga_potencial_desafio_educacional,numeric,0,56
indice_carga_potencial_escola,56,indice_carga_potencial_transicao_administrativa,numeric,0,56
indice_carga_potencial_escola,57,cobertura_indice_equilibrado,numeric,0,1
indice_carga_potencial_escola,58,cobertura_indice_operacional,numeric,0,1
indice_carga_potencial_escola,59,cobertura_indice_desafio_educacional,numeric,0,1
indice_carga_potencial_escola,60,cobertura_indice_transicao_administrativa,numeric,0,1
indice_carga_potencial_escola,61,faixa_indice_equilibrado,character,0,4
indice_carga_potencial_escola,62,faixa_indice_operacional,character,0,4
indice_carga_potencial_escola,63,faixa_indice_desafio_educacional,character,0,4
indice_carga_potencial_escola,64,faixa_indice_transicao_administrativa,character,0,4
indice_carga_potencial_escola,65,faixa_indice_carga_potencial,character,0,4
indice_carga_potencial_escola,66,indice_carga_potencial,numeric,0,56
indice_carga_potencial_escola,67,percentil_indice_carga_potencial,numeric,0,56
indice_carga_potencial_escola,68,contribuicao_volume_indice_principal,numeric,0,56
indice_carga_potencial_escola,69,contribuicao_estrutural_indice_principal,numeric,0,56
indice_carga_potencial_escola,70,contribuicao_educacional_indice_principal,numeric,0,56
