id_escola,n_codigo,n_nome,n_assessora,n_incluir,numero_series,numero_linhas,aprovado
ESC_002,1,1,1,1,5,5,TRUE
ESC_003,1,1,1,1,5,5,TRUE
ESC_004,1,1,1,1,5,5,TRUE
ESC_005,1,1,1,1,5,5,TRUE
ESC_006,1,1,1,1,5,5,TRUE
ESC_007,1,1,1,1,5,5,TRUE
ESC_008,1,1,1,1,5,5,TRUE
ESC_009,1,1,1,1,5,5,TRUE
ESC_010,1,1,1,1,5,5,TRUE
ESC_011,1,1,1,1,5,5,TRUE
ESC_012,1,1,1,1,5,5,TRUE
ESC_013,1,1,1,1,5,5,TRUE
ESC_014,1,1,1,1,5,5,TRUE
ESC_015,1,1,1,1,5,5,TRUE
ESC_016,1,1,1,1,5,5,TRUE
ESC_017,1,1,1,1,5,5,TRUE
ESC_018,1,1,1,1,5,5,TRUE
ESC_019,1,1,1,1,5,5,TRUE
ESC_020,1,1,1,1,5,5,TRUE
ESC_021,1,1,1,1,5,5,TRUE
ESC_022,1,1,1,1,5,5,TRUE
ESC_023,1,1,1,1,5,5,TRUE
ESC_024,1,1,1,1,5,5,TRUE
ESC_025,1,1,1,1,5,5,TRUE
ESC_026,1,1,1,1,5,5,TRUE
ESC_027,1,1,1,1,5,5,TRUE
ESC_028,1,1,1,1,5,5,TRUE
ESC_029,1,1,1,1,5,5,TRUE
ESC_030,1,1,1,1,5,5,TRUE
ESC_031,1,1,1,1,5,5,TRUE
ESC_032,1,1,1,1,5,5,TRUE
ESC_033,1,1,1,1,5,5,TRUE
ESC_034,1,1,1,1,5,5,TRUE
ESC_035,1,1,1,1,5,5,TRUE
ESC_036,1,1,1,1,5,5,TRUE
ESC_037,1,1,1,1,5,5,TRUE
ESC_038,1,1,1,1,5,5,TRUE
ESC_039,1,1,1,1,5,5,TRUE
ESC_040,1,1,1,1,5,5,TRUE
ESC_041,1,1,1,1,5,5,TRUE
ESC_042,1,1,1,1,5,5,TRUE
ESC_043,1,1,1,1,5,5,TRUE
ESC_044,1,1,1,1,5,5,TRUE
ESC_045,1,1,1,1,5,5,TRUE
ESC_046,1,1,1,1,5,5,TRUE
ESC_047,1,1,1,1,5,5,TRUE
ESC_048,1,1,1,1,5,5,TRUE
ESC_049,1,1,1,1,5,5,TRUE
ESC_050,1,1,1,1,5,5,TRUE
ESC_051,1,1,1,1,5,5,TRUE
ESC_052,1,1,1,1,5,5,TRUE
ESC_053,1,1,1,1,5,5,TRUE
ESC_054,1,1,1,1,5,5,TRUE
