fonte,ordem_coluna,variavel,classe_r,numero_na,numero_distintos
indice_carga_potencial_escola,1,id_escola,character,0,53
indice_carga_potencial_escola,2,codigo_inep,character,0,53
indice_carga_potencial_escola,3,nome_canonico,character,0,53
indice_carga_potencial_escola,4,assessora_vinculo_administrativo,character,0,11
indice_carga_potencial_escola,5,assessora_gerencial_2026,character,0,11
indice_carga_potencial_escola,6,incluir_indice_carga_2026,logical,0,1
indice_carga_potencial_escola,7,matriculas_anos_iniciais,numeric,0,49
indice_carga_potencial_escola,8,turmas_anos_iniciais,numeric,0,19
indice_carga_potencial_escola,9,turmas_anos_iniciais_validas,numeric,0,19
indice_carga_potencial_escola,10,numero_etapas_amplas_ofertadas,numeric,0,4
indice_carga_potencial_escola,11,score_dimensao_volume,numeric,0,52
indice_carga_potencial_escola,12,cobertura_dimensao_volume,numeric,0,1
indice_carga_potencial_escola,13,score_dimensao_estrutural,numeric,0,53
indice_carga_potencial_escola,14,cobertura_dimensao_estrutural,numeric,0,1
indice_carga_potencial_escola,15,score_dimensao_administrativa,numeric,0,4
indice_carga_potencial_escola,16,cobertura_dimensao_administrativa,numeric,0,1
indice_carga_potencial_escola,17,contribuicao_volume,numeric,0,52
indice_carga_potencial_escola,18,contribuicao_estrutural,numeric,0,53
indice_carga_potencial_escola,19,contribuicao_administrativa,numeric,0,4
indice_carga_potencial_escola,20,indice_carga_potencial_operacional,numeric,0,53
indice_carga_potencial_escola,21,cobertura_indice_operacional,numeric,0,1
indice_carga_potencial_escola,22,interpretacao_cautelosa,logical,0,1
indice_carga_potencial_escola,23,resultados_educacionais_no_indice,logical,0,1
indice_carga_potencial_escola,24,nota_uso,character,0,1
componentes_indice_carga_potencial,1,id_escola,character,0,53
componentes_indice_carga_potencial,2,codigo_inep,character,0,53
componentes_indice_carga_potencial,3,nome_canonico,character,0,53
componentes_indice_carga_potencial,4,assessora_gerencial_2026,character,0,11
componentes_indice_carga_potencial,5,dimensao,character,0,3
componentes_indice_carga_potencial,6,componente,character,0,12
componentes_indice_carga_potencial,7,variavel_origem,character,0,12
componentes_indice_carga_potencial,8,valor_origem,numeric,0,299
componentes_indice_carga_potencial,9,score_relativo,numeric,0,71
componentes_indice_carga_potencial,10,peso_na_dimensao,numeric,0,9
componentes_indice_carga_potencial,11,peso_no_indice,numeric,0,11
componentes_indice_carga_potencial,12,uso_no_indice,logical,0,1
componentes_educacionais_escola_serie,1,id_escola,character,0,53
componentes_educacionais_escola_serie,2,codigo_inep,character,0,53
componentes_educacionais_escola_serie,3,nome_canonico,character,0,53
componentes_educacionais_escola_serie,4,assessora_gerencial_2026,character,0,11
componentes_educacionais_escola_serie,5,ano_escolar,integer,0,5
componentes_educacionais_escola_serie,6,componente,character,0,1
componentes_educacionais_escola_serie,7,previstos_2026,numeric,0,100
componentes_educacionais_escola_serie,8,avaliados_2026,numeric,0,99
componentes_educacionais_escola_serie,9,taxa_participacao_2026,numeric,0,217
componentes_educacionais_escola_serie,10,proficiencia_media_2026,numeric,0,260
componentes_educacionais_escola_serie,11,pct_defasagem_2026,numeric,0,255
componentes_educacionais_escola_serie,12,pct_intermediario_2026,numeric,0,256
componentes_educacionais_escola_serie,13,pct_adequado_2026,numeric,0,256
componentes_educacionais_escola_serie,14,posicao_relativa_menor_proficiencia_2026,numeric,0,54
componentes_educacionais_escola_serie,15,posicao_relativa_maior_defasagem_2026,numeric,0,55
componentes_educacionais_escola_serie,16,posicao_relativa_menor_participacao_2026,numeric,0,66
componentes_educacionais_escola_serie,17,painel_resultado_balanceado,logical,0,2
componentes_educacionais_escola_serie,18,delta_participacao,numeric,11,252
componentes_educacionais_escola_serie,19,delta_proficiencia,numeric,11,254
componentes_educacionais_escola_serie,20,variacao_relativa_previstos,numeric,11,210
componentes_educacionais_escola_serie,21,aumento_participacao_10pp,logical,11,2
componentes_educacionais_escola_serie,22,queda_participacao_10pp,logical,11,2
componentes_educacionais_escola_serie,23,mudanca_previstos_20pct,logical,11,2
componentes_educacionais_escola_serie,24,alerta_composicao_serie,logical,0,2
componentes_educacionais_escola_serie,25,uso_no_indice_carga_operacional,logical,0,1
componentes_educacionais_escola_serie,26,peso_no_indice_carga_operacional,numeric,0,1
componentes_educacionais_escola_serie,27,natureza,character,0,1
