arquivo,ano,ano_escolar,componente,avaliacao,numero_linhas,numero_colunas,numero_habilidades,primeira_habilidade,ultima_habilidade,numero_escolas,numero_turmas
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,2025,1,Língua Portuguesa,1ª Avaliação Formativa,175,26,9,H 01 (%),H 09 (%),54,175
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,2025,2,Língua Portuguesa,1ª Avaliação Formativa,171,26,9,H 01 (%),H 09 (%),54,171
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,2025,3,Língua Portuguesa,1ª Avaliação Formativa,185,27,10,H 01 (%),H 10 (%),54,185
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,2025,4,Língua Portuguesa,1ª Avaliação Formativa,175,27,10,H 01 (%),H 10 (%),54,175
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,2025,5,Língua Portuguesa,1ª Avaliação Formativa,164,27,10,H 01 (%),H 10 (%),53,164
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,2026,1,Língua Portuguesa,1ª Avaliação Formativa,190,24,9,H 01 (%),H 09 (%),56,190
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,2026,2,Língua Portuguesa,1ª Avaliação Formativa,170,28,13,H 01 (%),H 13 (%),55,170
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,2026,3,Língua Portuguesa,1ª Avaliação Formativa,181,28,13,H 01 (%),H 13 (%),55,181
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,2026,4,Língua Portuguesa,1ª Avaliação Formativa,176,26,11,H 01 (%),H 11 (%),55,176
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,2026,5,Língua Portuguesa,1ª Avaliação Formativa,168,27,12,H 01 (%),H 12 (%),55,168
