arquivo,coluna,ano,ano_escolar,presente,coluna_habilidade
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Ano Escolar,2025,1,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Ano Escolar,2025,2,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Ano Escolar,2025,3,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Ano Escolar,2025,4,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Ano Escolar,2025,5,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Ano Escolar,2026,1,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Ano Escolar,2026,2,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Ano Escolar,2026,3,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Ano Escolar,2026,4,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Ano Escolar,2026,5,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Aprendizado adequado,2025,1,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Aprendizado adequado,2025,2,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Aprendizado adequado,2025,3,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Aprendizado adequado,2025,4,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Aprendizado adequado,2025,5,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Aprendizado adequado,2026,1,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Aprendizado adequado,2026,2,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Aprendizado adequado,2026,3,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Aprendizado adequado,2026,4,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Aprendizado adequado,2026,5,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Aprendizado intermediário,2025,1,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Aprendizado intermediário,2025,2,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Aprendizado intermediário,2025,3,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Aprendizado intermediário,2025,4,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Aprendizado intermediário,2025,5,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Aprendizado intermediário,2026,1,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Aprendizado intermediário,2026,2,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Aprendizado intermediário,2026,3,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Aprendizado intermediário,2026,4,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Aprendizado intermediário,2026,5,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Avaliados,2025,1,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Avaliados,2025,2,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Avaliados,2025,3,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Avaliados,2025,4,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Avaliados,2025,5,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Avaliados,2026,1,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Avaliados,2026,2,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Avaliados,2026,3,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Avaliados,2026,4,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Avaliados,2026,5,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Avaliados (%),2025,1,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Avaliados (%),2025,2,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Avaliados (%),2025,3,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Avaliados (%),2025,4,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Avaliados (%),2025,5,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Avaliados (%),2026,1,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Avaliados (%),2026,2,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Avaliados (%),2026,3,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Avaliados (%),2026,4,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Avaliados (%),2026,5,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Avaliação,2025,1,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Avaliação,2025,2,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Avaliação,2025,3,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Avaliação,2025,4,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Avaliação,2025,5,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Avaliação,2026,1,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Avaliação,2026,2,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Avaliação,2026,3,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Avaliação,2026,4,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Avaliação,2026,5,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Componente Curricular,2025,1,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Componente Curricular,2025,2,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Componente Curricular,2025,3,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Componente Curricular,2025,4,TRUE,FALSE
2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Componente Curricular,2025,5,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv,Componente Curricular,2026,1,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv,Componente Curricular,2026,2,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv,Componente Curricular,2026,3,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv,Componente Curricular,2026,4,TRUE,FALSE
2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv,Componente Curricular,2026,5,TRUE,FALSE
